Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4297.34/ETH,TxnFee(ETH),TxnFee(USD),Method,Status,DateTimeNew
0x59e73ebcb8013f358b0ad953d3b716901bb3dbb3c90598e8731b9bdce6c11fc1,6985807,1637753881,11/24/21 11:38,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x27ab5848c5bf127b9fc8e6e6583b324ca5b2253e,0,0,0,0.000417077,1.792320542,Accepire-BT Contract,,24/11/21 11:38
0x08273d7a10499ec1c36547217366d94e870edce654c85fdab20f146a35f0e0dc,6985809,1637753881,11/24/21 11:38,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x27ab5848c5bf127b9fc8e6e6583b324ca5b2253e,,0,0,0,1.61E-05,0.069401551,Set Sales Agreement,,24/11/21 11:38
0x616895fc194544e21cb58c4a67a8f9d8666f992fe4e7f44ddf7435159240db2b,6985814,1637753881,11/24/21 11:38,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x27ab5848c5bf127b9fc8e6e6583b324ca5b2253e,,0,0,0,2.33E-05,0.099979854,Add Order,,24/11/21 11:38
0xf6b0c26b64b7b82696b31d48a007543048ba3cea395c3225c0813ef1fa7123eb,6985820,1637753881,11/24/21 11:38,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x27ab5848c5bf127b9fc8e6e6583b324ca5b2253e,,0,0,0,1.62E-05,0.069788087,Create Invoice,,24/11/21 11:38
0x246f247737ee7292fe47d5022e85dc72d4677af2e83d1af0916181e708f79f35,6985830,1637753881,11/24/21 11:38,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x27ab5848c5bf127b9fc8e6e6583b324ca5b2253e,,0,0,0,9.46E-06,0.040651271,Confirm Invoice,,24/11/21 11:38
0x21c33e6cd11ad4a996a059e458cd70c4813e89fde0ff707a854c1d055f30e470,6985832,1637753941,11/24/21 11:39,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x27ab5848c5bf127b9fc8e6e6583b324ca5b2253e,,0,0,0,9.46E-06,0.040658737,Confirm Order,,24/11/21 11:38
0xf9557959ce706c410f8f7512f2b4734f30a8082fbfd3541c2389f8c1a72974fb,6985836,1637753941,11/24/21 11:39,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x27ab5848c5bf127b9fc8e6e6583b324ca5b2253e,,0,0,0,1.82E-05,0.078292601,Set Financial Agreement Parties,,24/11/21 11:38
0x491d35d6cb044177aaf4616eb5777a82692bec4afe83413c98f037d298189ef8,6985840,1637753941,11/24/21 11:39,0x9049ce69906d3cd891556810c39f09ea921fc087,0x27ab5848c5bf127b9fc8e6e6583b324ca5b2253e,,0,0,0,7.36E-06,0.031647291,Confirm Financial Agreement,,24/11/21 11:38
0x58e67423c8cbee07347e9d644a11833fb28751b7daa572da580d9ca6b7876284,6985844,1637753941,11/24/21 11:39,0x9049ce69906d3cd891556810c39f09ea921fc087,0x27ab5848c5bf127b9fc8e6e6583b324ca5b2253e,,0,0,0,1.87E-05,0.080185091,Set LC Agreement,,24/11/21 11:38
0x62e61be0e98edcbcb9aa51486dbe8f3f98608a23361524437bef3a62ccc9f3f5,6985845,1637753941,11/24/21 11:39,0x9049ce69906d3cd891556810c39f09ea921fc087,0x27ab5848c5bf127b9fc8e6e6583b324ca5b2253e,,0,0,0,9.60E-06,0.041262549,Add Document,,24/11/21 11:38
0x2486b01e0e503daa6426ec3a2e4377e1ea24f1ec2e6c3bdee77d09d68db640df,6985850,1637754001,11/24/21 11:40,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x27ab5848c5bf127b9fc8e6e6583b324ca5b2253e,,0,0,0,9.62E-06,0.041336494,Validate Document,,24/11/21 11:38
0xa9585e1dbf7ddeaf15d4242719db28ac8e2f546a04cd57f9a7ad7a4bd8df629a,6985852,1637754001,11/24/21 11:40,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x27ab5848c5bf127b9fc8e6e6583b324ca5b2253e,,0,0,0,2.41E-05,0.103722273,Set Shipping Agreement,,24/11/21 11:38
0x1ce3e8d0ae3315a0dd62ff0b098b93500324e3c5b7dabd344f1a196f8f976890,6985856,1637754001,11/24/21 11:40,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x27ab5848c5bf127b9fc8e6e6583b324ca5b2253e,,0,0,0,7.36E-06,0.031646307,Verify Goods,,24/11/21 11:38
