Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4326.83/ETH,TxnFee(ETH),TxnFee(USD),Method,Status,DateTimeNew
0x84a2b4de0f32d831fd840b850ff02903fe064b9f8bae48004fb82aadc595aa53,6999059,1637803260,11/25/21 1:21,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xcee508c51f1e1c21256cfba49e73b205bfbe5462,0,0,0.000231116,0.000412198,1.783512537,Accepire-BT Contract,,25/11/21 1:21
0xc5cea71cb3b3314c250ce068a3d5940d3bdd6828983e1ccb029b42d211998716,6999064,1637803260,11/25/21 1:21,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcee508c51f1e1c21256cfba49e73b205bfbe5462,,0,0,0.000231116,1.59E-05,0.068998871,Set Sales Agreement,,25/11/21 1:21
0xa94e1d00508be9f08e24f602561a184da0dacd49c6f54c99efd957b340f32651,6999070,1637803260,11/25/21 1:21,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcee508c51f1e1c21256cfba49e73b205bfbe5462,,0,0,0.000231116,2.30E-05,0.099549843,Add Order,,25/11/21 1:21
0x1094da5d00138533e85579ac9aaed8d7fc55f53a7b196e5f102778e8edbd1ebb,6999071,1637803260,11/25/21 1:21,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xcee508c51f1e1c21256cfba49e73b205bfbe5462,,0,0,0.000231116,1.61E-05,0.069445923,Create Invoice,,25/11/21 1:21
0x689f2b20d50f801a92a81442f93b0c174507eefd78d59a5d865dc483ae1a3d47,6999074,1637803260,11/25/21 1:21,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcee508c51f1e1c21256cfba49e73b205bfbe5462,,0,0,0.000231116,9.33E-06,0.040390833,Confirm Invoice,,25/11/21 1:21
0xd2e9c68285f771afb704d057fb5e478fa0aa0a863ddcf117beeb7dc5e077702e,6999079,1637803320,11/25/21 1:22,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xcee508c51f1e1c21256cfba49e73b205bfbe5462,,0,0,0.000231116,9.34E-06,0.040398173,Confirm Order,,25/11/21 1:21
0x39bae002447431f70b489921d49cc7ee4924141926d5d22e41a14f2805a66dbd,6999085,1637803320,11/25/21 1:22,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcee508c51f1e1c21256cfba49e73b205bfbe5462,,0,0,0.000231116,1.80E-05,0.077905612,Set Financial Agreement Parties,,25/11/21 1:21
0x3af6bb5d3fadf1ebcc8d175936029e4ab226739fc1c531152f16b788a93aabb7,6999091,1637803320,11/25/21 1:22,0x9049ce69906d3cd891556810c39f09ea921fc087,0xcee508c51f1e1c21256cfba49e73b205bfbe5462,,0,0,0.000231116,7.28E-06,0.031492366,Confirm Financial Agreement,,25/11/21 1:21
0x518e8bec6df02a780ca2529af98d4e1f98ced880ab2965a9a1b5dd8ee66fad93,6999097,1637803320,11/25/21 1:22,0x9049ce69906d3cd891556810c39f09ea921fc087,0xcee508c51f1e1c21256cfba49e73b205bfbe5462,,0,0,0.000231116,1.84E-05,0.079789823,Set LC Agreement,,25/11/21 1:21
0x80bd8d5cbbbd5fd2aadd1c5cf8f1dd2334039eec476dfe7d25dd65463484a415,6999099,1637803320,11/25/21 1:22,0x9049ce69906d3cd891556810c39f09ea921fc087,0xcee508c51f1e1c21256cfba49e73b205bfbe5462,,0,0,0.000231116,9.50E-06,0.041121847,Add Document,,25/11/21 1:21
