Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4118.86/ETH,TxnFee(ETH),TxnFee(USD),Method,Status,DateTimeNew
0x581e8b390542fa6c3d92372a94ad9383eb30d768618f050dd996f9881262831c,7050324,1637990127,11/27/21 5:15,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x7bf191e4de51f9e0567ee1d38e1a022dc373bf70,0,0,0,0.000403732,1.662913821,Accepire-BT Contract,,27/11/21 5:15
0xe84bbad6d34163bcfcc904d89df3e377fd5116ebf59a165d1ed082bfed6ce82c,7050326,1637990127,11/27/21 5:15,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x7bf191e4de51f9e0567ee1d38e1a022dc373bf70,,0,0,0,1.56E-05,0.064276232,Set Sales Agreement,,27/11/21 5:15
0xfda8bde441b78be4d7b64b283872c703bfb46926c7687e03cad7bd6f0455aa33,7050328,1637990127,11/27/21 5:15,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x7bf191e4de51f9e0567ee1d38e1a022dc373bf70,,0,0,0,2.25E-05,0.092760247,Add Order,,27/11/21 5:15
0xdbed6e32b8a0b16e5295b9547516ac3c49de00031302e594e7636157ddd901e5,7050331,1637990187,11/27/21 5:16,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x7bf191e4de51f9e0567ee1d38e1a022dc373bf70,,0,0,0,1.57E-05,0.064692101,Create Invoice,,27/11/21 5:15
0x8e8b65b497273cb13a1e422debcc60f7c2164941d5d4cdd9902fada0476fdb53,7050337,1637990187,11/27/21 5:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x7bf191e4de51f9e0567ee1d38e1a022dc373bf70,,0,0,0,9.14E-06,0.037658982,Confirm Invoice,,27/11/21 5:15
0x5b35a6fe9266194be187f032cc6d548bf299580da33f2ed7528171eb38e04a3a,7050338,1637990187,11/27/21 5:16,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x7bf191e4de51f9e0567ee1d38e1a022dc373bf70,,0,0,0,9.14E-06,0.037665909,Confirm Order,,27/11/21 5:15
0x5b81b5866da6766f9c62a01cac64db76a4ff9a822189610addeb28e4520a61e5,7050340,1637990187,11/27/21 5:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x7bf191e4de51f9e0567ee1d38e1a022dc373bf70,,0,0,0,1.76E-05,0.072637875,Set Financial Agreement Parties,,27/11/21 5:15
0x6e6b4ed5b622be9756b14777742516fc3b1df22eeb8db519de5aea262d1a81ef,7050343,1637990187,11/27/21 5:16,0x9049ce69906d3cd891556810c39f09ea921fc087,0x7bf191e4de51f9e0567ee1d38e1a022dc373bf70,,0,0,0,7.11E-06,0.029305096,Confirm Financial Agreement,,27/11/21 5:15
0xba08bc6bd4263f16b3412ba1ebc5838e2360644ff1e97b1793253060e972cccf,7050346,1637990187,11/27/21 5:16,0x9049ce69906d3cd891556810c39f09ea921fc087,0x7bf191e4de51f9e0567ee1d38e1a022dc373bf70,,0,0,0,1.81E-05,0.074393726,Set LC Agreement,,27/11/21 5:15
0x6de0960dd64ca08eb3a6dc712650939d27307baa93ea780c4c6264c0a51e2cbd,7050348,1637990247,11/27/21 5:17,0x9049ce69906d3cd891556810c39f09ea921fc087,0x7bf191e4de51f9e0567ee1d38e1a022dc373bf70,,0,0,0,9.28E-06,0.038226126,Add Document,,27/11/21 5:15
