Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4338.93/ETH,TxnFee(ETH),TxnFee(USD),Method,Status,DateTime
0xc9b36e9585d02b859dc7da3369f967358a38c629ffa62d45b565e6fd02fe4e30,7092332,1638149557,11/29/21 1:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x35533489ec4707b398412bcb2d3875a7a05b83c4,0,0,0,0.000402269,1.745418812,Accepire-BT Contract,,29/11/21 1:32
0x57a7f76c372fb5ab67f3f6b638a69850c61ed863c7daf9c33e96f36a91d54748,7092334,1638149557,11/29/21 1:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,1.56E-05,0.06752199,Set Sales Agreement,,29/11/21 1:32
0xe3ff2297cc88ee9b7ee72ddf9e94a42454776c84d120939d262714eec24b1139,7092335,1638149557,11/29/21 1:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,2.24E-05,0.097359168,Add Order,,29/11/21 1:32
0xceae07cd74c1ca9071596e760222deb82fdfd1073edf2fcf86d5934613552ec7,7092339,1638149557,11/29/21 1:32,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,1.57E-05,0.067959523,Create Invoice,,29/11/21 1:32
0xe5e6897c86656d8c6c116257ca42aed9620f96f7c0fb3530ec3ce36b94c34462,7092341,1638149557,11/29/21 1:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,9.12E-06,0.03958614,Confirm Invoice,,29/11/21 1:32
0x5d38eaf327662845aa6a1f7c80a4c3a88ad6fc3739c8a81ba2eccbcf94cf54e6,7092345,1638149557,11/29/21 1:32,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,9.11E-06,0.039533332,Confirm Order,,29/11/21 1:32
0x8dcfec157ebf5e6ed8b2553ceca2c80bbc9516615032d2cf92a81740af67f295,7092350,1638149617,11/29/21 1:33,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,1.76E-05,0.076239157,Set Financial Agreement Parties,,29/11/21 1:32
0x63dfa6f1996357ca3e42f0dcb7db34576006b5c55c884749926d791f5847b817,7092352,1638149617,11/29/21 1:33,0x9049ce69906d3cd891556810c39f09ea921fc087,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,7.12E-06,0.030878159,Confirm Financial Agreement,,29/11/21 1:32
0x316bf139f15b4b3b71854a266f6e067b7c385f6026d838ec253773ae6512cf8f,7092354,1638149617,11/29/21 1:33,0x9049ce69906d3cd891556810c39f09ea921fc087,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,1.80E-05,0.078144186,Set LC Agreement,,29/11/21 1:32
0x3cfd610fdd32ede3d8a490efb44daeff67cf23654ed8fbdac1c6b1b27683046c,7092355,1638149617,11/29/21 1:33,0x9049ce69906d3cd891556810c39f09ea921fc087,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,9.26E-06,0.040181402,Add Document,,29/11/21 1:32
0xd99a6b0abfce7fd57be247c65645ed487d3fd5b3720b6cf5a4dd183941e71376,7092361,1638149617,11/29/21 1:33,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,9.28E-06,0.04025341,Validate Document,,29/11/21 1:32
0x86827d484d409da14c85738730f5a0dcd110b931ca8516c6fe53d9443f6e62f6,7092364,1638149617,11/29/21 1:33,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,2.33E-05,0.100943494,Set Shipping Agreement,,29/11/21 1:32
0xf5324f4dbca55c942e338baf9caf80e57f6d9c4b79fe25949c7bd7fd02c757d5,7092368,1638149677,11/29/21 1:34,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,7.12E-06,0.030877201,Verify Goods,,29/11/21 1:32
0x6da539c0859556b4f44a47b4b39bbd713f8a5d4d4a78fcc31d1e9ea5a4047b31,7092371,1638149677,11/29/21 1:34,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,7.10E-06,0.030823,Verify Goods,,29/11/21 1:32
0x17d6178ab1d5d6a671401ecacb94db45fccd4ad1a7caa38bab508720952ea48c,7092373,1638149677,11/29/21 1:34,0x209b153a796c1924b675e5cd9476384cd38e9387,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,7.12E-06,0.030892265,Initiate Shipment,,29/11/21 1:32
0x07df88230806f8e0ec55c318f018cf3adc5671a5cf61087ce5ede37d49f1e065,7092374,1638149677,11/29/21 1:34,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x35533489ec4707b398412bcb2d3875a7a05b83c4,,0,0,0,7.10E-06,0.030824698,Verify Goods,,29/11/21 1:32
