Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4332.06/ETH,TxnFee(ETH),TxnFee(USD),Method,Status,DateTime
0x5ed72f454bbcb3eb55bfb9b4958209517749d5a99ad2740001c3fa35116e32d3,7097591,1638165190,11/29/21 5:53,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x36e59cbfef094149d80631f957889aab55756fed,0,0,0,0.000402156,1.74216437,Accepire-BT Contract,,29/11/21 5:53
0x51c103f737cf2a02c00ed978a5e1ecca4806ab9e49e82e9f766b8df5a4d3a361,7097594,1638165205,11/29/21 5:53,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x36e59cbfef094149d80631f957889aab55756fed,,0,0,0,1.56E-05,0.067532917,Set Sales Agreement,,29/11/21 5:53
0x3ed2198ab030418c6e3046f94a6f52d79a60bdc4e17c24fed90094af92746d5e,7097598,1638165205,11/29/21 5:53,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x36e59cbfef094149d80631f957889aab55756fed,,0,0,0,2.25E-05,0.097314139,Add Order,,29/11/21 5:53
0xd13cc473d68a72f7beef67035a8c5dc8bd82a453741cd907e35076963fb0bbe6,7097602,1638165205,11/29/21 5:53,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x36e59cbfef094149d80631f957889aab55756fed,,0,0,0,1.56E-05,0.067768733,Create Invoice,,29/11/21 5:53
0x8b9ffa82a922477fb07db996106668b651fcd4c6d5ab4d50edb4753d639b233a,7097604,1638165205,11/29/21 5:53,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x36e59cbfef094149d80631f957889aab55756fed,,0,0,0,9.11E-06,0.03947054,Confirm Invoice,,29/11/21 5:53
0x1c0a05751a2dd0b6da45a69c180814b516915079033bc202bde4a4fb201205d1,7097609,1638165205,11/29/21 5:53,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x36e59cbfef094149d80631f957889aab55756fed,,0,0,0,9.11E-06,0.039457809,Confirm Order,,29/11/21 5:53
0x2100cfcd0c5e60b49118f76381ffd945a1c833958b22acfce3289c54d9b28d1c,7097616,1638165205,11/29/21 5:53,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x36e59cbfef094149d80631f957889aab55756fed,,0,0,0,1.76E-05,0.076173467,Set Financial Agreement Parties,,29/11/21 5:53
0xb10b1a0c50b2b1013af3ea5ccb46ba066383427b5cc6eae77fa3b84e351fd8cd,7097623,1638165265,11/29/21 5:54,0x9049ce69906d3cd891556810c39f09ea921fc087,0x36e59cbfef094149d80631f957889aab55756fed,,0,0,0,7.10E-06,0.030759206,Confirm Financial Agreement,,29/11/21 5:53
0x8ba0b828e3f30861dc1766c9b82f46f3978c2f73f50e315e38cf67487bd7f4f5,7097633,1638165265,11/29/21 5:54,0x9049ce69906d3cd891556810c39f09ea921fc087,0x36e59cbfef094149d80631f957889aab55756fed,,0,0,0,1.80E-05,0.077933941,Set LC Agreement,,29/11/21 5:53
0x8d64ea1dd9886b20f23fa48aa5cd5adfe3ce6c083e9308621540ce9bcac7d72c,7097636,1638165265,11/29/21 5:54,0x9049ce69906d3cd891556810c39f09ea921fc087,0x36e59cbfef094149d80631f957889aab55756fed,,0,0,0,9.27E-06,0.040164605,Add Document,,29/11/21 5:53
