Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4329.62/ETH,TxnFee(ETH),TxnFee(USD),Method,Status,DateTimeNew
0xc31f6b17f8445da704f994002d516bf9ff2938125f00a72e726275f6c36fa9e3,7103576,1638185833,11/29/21 11:37,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xaa46443369890f851e344f056285363210be5db4,0,0,0,0.000401968,1.740370025,Accepire-BT Contract,,29/11/21 11:37
0x2c01de5b5764f106c907e4586819a8729a0e0160b500ed0e452062687832354c,7103577,1638185833,11/29/21 11:37,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,1.56E-05,0.067467723,Set Sales Agreement,,29/11/21 11:37
0x8b0f58b550caf6fc05905a1301f7cba6c19478a9bb6c49a247d022cb7a335526,7103581,1638185833,11/29/21 11:37,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,2.24E-05,0.097156309,Add Order,,29/11/21 11:37
0xe30be1eeff5422e1daa540a92c93dd73433797111ddc559f12a67a822b94c865,7103584,1638185833,11/29/21 11:37,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,1.56E-05,0.067702262,Create Invoice,,29/11/21 11:37
0x410a9ad0974702b4a3c52df60f5a68c2ebf1ba19f48a244e4f93073a5a89c6e2,7103587,1638185893,11/29/21 11:38,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,9.13E-06,0.039551054,Confirm Invoice,,29/11/21 11:37
0xa9cfbd77ed060a3b84463912cab53ac5324b011118bb928d3f7e502d11d0d586,7103591,1638185893,11/29/21 11:38,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,9.10E-06,0.039418526,Confirm Order,,29/11/21 11:37
0x1a9ecf07d5ddba00a39b13738a89246832af2cfad92ec86cb5a449fb14d1e0fd,7103598,1638185893,11/29/21 11:38,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,1.76E-05,0.076158534,Set Financial Agreement Parties,,29/11/21 11:37
0xa491e087124b94701ae8149063edf8744d2ee1d2ce832373a3b3fbe970f1227f,7103600,1638185893,11/29/21 11:38,0x9049ce69906d3cd891556810c39f09ea921fc087,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,7.10E-06,0.030728583,Confirm Financial Agreement,,29/11/21 11:37
0x4485ccee68b14658e559c38a6efb38b2ab97055e22513240e3a86d1a20e23d27,7103605,1638185893,11/29/21 11:38,0x9049ce69906d3cd891556810c39f09ea921fc087,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,1.80E-05,0.077916256,Set LC Agreement,,29/11/21 11:37
0x13b94b6a623e860a20dcff5c6eff80dadb9fea4441bcb9cbc1ddd0bbcd7eb416,7103608,1638185953,11/29/21 11:39,0x9049ce69906d3cd891556810c39f09ea921fc087,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,9.27E-06,0.040124619,Add Document,,29/11/21 11:37
0x50dac1ad435d438ba2eccfa9dcda718f46116a80e7776e55af67546b4067fa4f,7103616,1638185953,11/29/21 11:39,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,9.27E-06,0.040136513,Validate Document,,29/11/21 11:37
0xcf4d1e7ec7ec35099083b142d9caa46fa4f131ddd1183d1b94cde0bc0c2e8ca7,7103621,1638185953,11/29/21 11:39,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,2.33E-05,0.100710258,Set Shipping Agreement,,29/11/21 11:37
0xf7370ea9f55ccb4df2f24d9d5e6c8a45bbfee0d05d92bd0ca9c47a49f7151c55,7103623,1638185953,11/29/21 11:39,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,7.10E-06,0.030727628,Verify Goods,,29/11/21 11:37
0x59a94498cdf052fab65bf2c346df5e268c39eeef64e71d160d76d33b06dffb1c,7103625,1638185953,11/29/21 11:39,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,7.11E-06,0.030793393,Verify Goods,,29/11/21 11:37
0x5983d70c001a12795d818d03127a3a0445a550aee9a0b1a8dbf6a643aee5a203,7103627,1638185953,11/29/21 11:39,0x209b153a796c1924b675e5cd9476384cd38e9387,0xaa46443369890f851e344f056285363210be5db4,,0,0,0,7.10E-06,0.030742648,Initiate Shipment,,29/11/21 11:37
