Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4609.25/ETH,TxnFee(ETH),TxnFee(USD),Method,Status,DateTimeNew
0x836d99131980826489f54d6f0f2636c085c88d877ad16af7d11a781ecb66d5b3,7107253,1638198416,11/29/21 15:06,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,0,0,0,0.00040187,1.852318092,Accepire-BT Contract,,29/11/21 15:06
0x4f51caebbd4ae436e9409d4785cff7a58bc6b49ed1605854d79c4698da62bf55,7107256,1638198416,11/29/21 15:06,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,1.56E-05,0.071743404,Set Sales Agreement,,29/11/21 15:06
0xe388d31744815fe6cf8846f8b7383aadb1ac6e37081125e5bc6869b356650d0f,7107257,1638198416,11/29/21 15:06,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,2.24E-05,0.103471655,Add Order,,29/11/21 15:06
0x274558dc48d22906db7cc3d0e319510d7191cd45b94fcd0de4a3b654e68be216,7107260,1638198416,11/29/21 15:06,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,1.56E-05,0.072057804,Create Invoice,,29/11/21 15:06
0x75e795935cae59eb594fb02616711c92551878670b5be78df8953b9015d776dd,7107261,1638198416,11/29/21 15:06,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,9.12E-06,0.042032857,Confirm Invoice,,29/11/21 15:06
0x425508dfcb28fc4861625b5b3ef62985adbd59192c5cf4ebbf739cd4aace65e6,7107263,1638198476,11/29/21 15:07,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,9.12E-06,0.042019274,Confirm Order,,29/11/21 15:06
0x1596e31268b41449faa4ca52096b5f054dedfc637182b2fcecb6013a1dc2fcf8,7107271,1638198476,11/29/21 15:07,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,1.76E-05,0.081057129,Set Financial Agreement Parties,,29/11/21 15:06
0xc971a07c89501829a57284472f51a153ecb8997bda028aa4a43e0edd035420d2,7107273,1638198476,11/29/21 15:07,0x9049ce69906d3cd891556810c39f09ea921fc087,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,7.11E-06,0.032770231,Confirm Financial Agreement,,29/11/21 15:06
0x2b2557aea5ad55cae869e755150e69df849affd997429851fb99692f220e95c2,7107275,1638198476,11/29/21 15:07,0x9049ce69906d3cd891556810c39f09ea921fc087,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,1.80E-05,0.082866234,Set LC Agreement,,29/11/21 15:06
0xc4f9a3dde38ed407cab6c28ac46483a5ba44e0bf7c87dbcfa38dc5888ca5a461,7107279,1638198476,11/29/21 15:07,0x9049ce69906d3cd891556810c39f09ea921fc087,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,9.27E-06,0.042707027,Add Document,,29/11/21 15:06
0xb196edd9376c07e0e3ad14146dab1498ce323af7c7f91dea0e047381a7c0aa7f,7107280,1638198536,11/29/21 15:08,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,9.27E-06,0.042719732,Validate Document,,29/11/21 15:06
0xccc036fbf659ca04b242bf3d1677b2b43f484ebfebcb2d542abd883571184e0b,7107283,1638198536,11/29/21 15:08,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,2.33E-05,0.107189291,Set Shipping Agreement,,29/11/21 15:06
0xdfb8da79e6525bf193391afddef530edd16d0b4751480dc0cb8edc33bb1d7377,7107285,1638198536,11/29/21 15:08,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,7.11E-06,0.032769214,Verify Goods,,29/11/21 15:06
0x1e41e03265febbb9dad4ba7875053e66258729cb6d9da98d7f744f244881095a,7107287,1638198536,11/29/21 15:08,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,7.10E-06,0.032711693,Verify Goods,,29/11/21 15:06
0xb0f1a910553f91207f5024810385ecff91d171cd8d3f4b0ad94654a90c349819,7107290,1638198536,11/29/21 15:08,0x209b153a796c1924b675e5cd9476384cd38e9387,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,7.10E-06,0.032721442,Initiate Shipment,,29/11/21 15:06
0x91a18a7b7ef7e794de3fc3b097324d2ca2ede276371b465aa51e1f49b393595c,7107292,1638198536,11/29/21 15:08,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,7.11E-06,0.032777253,Verify Goods,,29/11/21 15:06
0x105c3eb260030499677f2bf934b88fb1967bd07256e327659fdbfa5a0ea903c8,7107295,1638198536,11/29/21 15:08,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,7.10E-06,0.032731791,Confirm Shipment,,29/11/21 15:06
0x9a05a9b011d1a55d9fa0151bdad41343e6ab9b4d2ae26b4bd14071ffb6991536,7107298,1638198596,11/29/21 15:09,0x9049ce69906d3cd891556810c39f09ea921fc087,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,1.64E-05,0.07564335,Set Payment Agreement,,29/11/21 15:06
0xd489c9252bf154052b0c2ae4f6acb08f6130f9c8cc3b13b2a1ea5724e2ce5f92,7107303,1638198596,11/29/21 15:09,0x9049ce69906d3cd891556810c39f09ea921fc087,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,7.08E-06,0.032648582,Initiate Payment,,29/11/21 15:06
0x5c637fb925f0a329e5a604faf5a92c5c54c3f29e7f020dcf9955fc7afa9e6c63,7107304,1638198596,11/29/21 15:09,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x27c823fc0d66d3c536f1c65ef65af2f54e8a5a24,,0,0,0,7.11E-06,0.032774296,Processpayment,,29/11/21 15:06
