Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $122.03/AVAX,TxnFee(AVAX),TxnFee(USD),Method,Status,ErrCode,
0xc7a7ed9508f8300d7ee17ac9d6fd85de4ff8b0c193fd2e68bbd25ad5bcde0c0e,2827423,1637803874,2021-11-25 01:31:14,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x668f74ed66c8340b47902e07fabbecc03cd7c0fa,0,0,0,0.129509675,15.80406564025,Accepire-BT Contract,,,
0x794ab15763b7707d4b15386404fdcc5c54eb9d4963a16b52a08da52a00f416cb,2827426,1637803880,2021-11-25 01:31:20,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x668f74ed66c8340b47902e07fabbecc03cd7c0fa,,0,0,0,0.002801375,0.34185179125,Set Sales Agreement,,,
0xe681b7ff626a8e3ddf2da22737004ac6062b32b342f091aed2373932437be1ad,2827429,1637803886,2021-11-25 01:31:26,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x668f74ed66c8340b47902e07fabbecc03cd7c0fa,,0,0,0,0.00479075,0.5846152225,Add Order,,,
0x3ec7730cbeaadaa1ad2a76d408e740398ea949993a69e3e7506ca61ba7306476,2827433,1637803895,2021-11-25 01:31:35,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x668f74ed66c8340b47902e07fabbecc03cd7c0fa,,0,0,0,0.00301265,0.3676336795,Create Invoice,,,
0x6deb3bd07742b9069293055283f8cf859941903702969e1c1d0bda710d7a5eaa,2827436,1637803901,2021-11-25 01:31:41,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x668f74ed66c8340b47902e07fabbecc03cd7c0fa,,0,0,0,0.001165075,0.14217410225,Confirm Invoice,,,
0x2aab6de64020ab9ca0ecc38aa8a2a721c6d44594cdd33baca58926d6b1a61434,2827439,1637803907,2021-11-25 01:31:47,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x668f74ed66c8340b47902e07fabbecc03cd7c0fa,,0,0,0,0.001228475,0.14991080425,Confirm Order,,,
0xfd42eb1b220a50eec31c184d52eacd1d09c47350b92daa62126ff74bade916d1,2827443,1637803921,2021-11-25 01:32:01,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x668f74ed66c8340b47902e07fabbecc03cd7c0fa,,0,0,0,0.003473875,0.42391696625,Set Financial Agreement Parties,,,
0x9789f431f27bddf6b9aa7819da95963a8c6e8ffc34dbb82646c4c769c17b8221,2827446,1637803928,2021-11-25 01:32:08,0x9049ce69906d3cd891556810c39f09ea921fc087,0x668f74ed66c8340b47902e07fabbecc03cd7c0fa,,0,0,0,0.00074245,0.0906011735,Confirm Financial Agreement,,,
0x009b6a8e71cfb3d00ec6dc953ecb146c6fa3ed68799a80135351da8ff71e8cfe,2827450,1637803938,2021-11-25 01:32:18,0x9049ce69906d3cd891556810c39f09ea921fc087,0x668f74ed66c8340b47902e07fabbecc03cd7c0fa,,0,0,0,0.003479475,0.42460033425,Set LC Agreement,,,
0x16118397a0c6abd9c2ab75b20500fa4f98d9113a30241d047aac6857b7c0bb0c,2827452,1637803943,2021-11-25 01:32:23,0x9049ce69906d3cd891556810c39f09ea921fc087,0x668f74ed66c8340b47902e07fabbecc03cd7c0fa,,0,0,0,0.001342925,0.16387713775,Add Document,,,
