Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $106.44/AVAX,TxnFee(AVAX),TxnFee(USD),Method,Status,ErrCode,
0xe0761585bf337563ca9c9a05d6c71f05d5faece481b604ec1fa3e19214633574,2892319,1637976600,2021-11-27 01:30:00,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x3e7ab59909ff7a1b910c99a873466466ece6068f,0,0,0,0.129509675,13.785009807,Accepire-BT Contract,,,
0xcd9e40640f2d0ec45e9cc2e5e8fe558f94c6e7205ea253e1c51127f61d1205f6,2892320,1637976605,2021-11-27 01:30:05,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.002801375,0.298178355,Set Sales Agreement,,,
0xd1480373af099362a004d49f559c9cc7e064ee1b5b74002bdce9b75d76ba86bb,2892326,1637976617,2021-11-27 01:30:17,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00479075,0.50992743,Add Order,,,
0xa705c0ebdd2d84269a0f9dfbb92eaff8e78ee70d827d010eb57ba8714546100a,2892327,1637976621,2021-11-27 01:30:21,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00301265,0.320666466,Create Invoice,,,
0xd64bcc33a15ee34e853e1c84f655653809d33ee645565d890294c4cf323beca7,2892329,1637976627,2021-11-27 01:30:27,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.001165075,0.124010583,Confirm Invoice,,,
0x7c362ee953b83e7fa18110b58b8ce3715edeb4333fa4e2bdcc7cc795b9537d36,2892333,1637976637,2021-11-27 01:30:37,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.001228475,0.130758879,Confirm Order,,,
0xdc23f04ab5d7b994fc26723e7ecf60940259c17e0ab94b39a257115d81a0e991,2892335,1637976647,2021-11-27 01:30:47,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.003473875,0.369759255,Set Financial Agreement Parties,,,
0xa0205bbf1cd616b9b214228a4217c069f6b9a77d1cd61d85b7f0a9a091e89f7d,2892336,1637976653,2021-11-27 01:30:53,0x9049ce69906d3cd891556810c39f09ea921fc087,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00074245,0.079026378,Confirm Financial Agreement,,,
0xe583e5e8ddacf4a5fe07d5d96626af358942b771801363539b754d918106a05b,2892338,1637976657,2021-11-27 01:30:57,0x9049ce69906d3cd891556810c39f09ea921fc087,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.003479475,0.370355319,Set LC Agreement,,,
0x9422d4248d6f1bb1c5cb82c8b55b46bbbb1204e26128d99c0ad6b3e41b3b8577,2892341,1637976667,2021-11-27 01:31:07,0x9049ce69906d3cd891556810c39f09ea921fc087,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.001342925,0.142940937,Add Document,,,
