Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $108.51/AVAX,TxnFee(AVAX),TxnFee(USD),Method,Status,ErrCode,
0xd8f2970f8e7f61cd8688e7398e676836b51e795e987581db7666d122ed47bfc5,2941050,1638099475,2021-11-28 11:37:55,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,0,0,0,0.129509675,14.05309483425,Accepire-BT Contract,,,
0xaf6e25910bdb606e7eee98a5c95f4ba5fabe9a78571111edb3d91abda05dc523,2941053,1638099481,2021-11-28 11:38:01,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.002801375,0.30397720125,Set Sales Agreement,,,
0xeee87d742ce8e4aba0a6ba3add1fb648b32a721fb0c9fea8c57124b67bf43b87,2941054,1638099491,2021-11-28 11:38:11,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.00479075,0.5198442825,Add Order,,,
0xb9a9bbca042e9c82132e3e07147e43bf14be66e05d2e4c60fbffe06c03b350ed,2941057,1638099497,2021-11-28 11:38:17,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.00301265,0.3269026515,Create Invoice,,,
0xade141fdbd873face4c47f036c2b432a0ff6ddfbf7644c8599bd11c52a6997d6,2941060,1638099505,2021-11-28 11:38:25,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.001165075,0.12642228825,Confirm Invoice,,,
0x8af21bb39b5e3a315471f926d41bacb434154dda2963fde549b421ee993b9e65,2941062,1638099513,2021-11-28 11:38:33,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.001228475,0.13330182225,Confirm Order,,,
0x8be4d046790b2043b18768369593623a8aa294d25cceb505e359e8d0e84e11c8,2941067,1638099525,2021-11-28 11:38:45,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.003473875,0.37695017625,Set Financial Agreement Parties,,,
0xda418010eba145592c1068796bb7602bbfa245d902ace90a4f81e6c0ac05b1e1,2941069,1638099530,2021-11-28 11:38:50,0x9049ce69906d3cd891556810c39f09ea921fc087,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.00074245,0.0805632495,Confirm Financial Agreement,,,
0x6bd9d6e04c02ca521b42ad5d75d92723a63aa0d2ed4f3ce94ee08dbf23ff828b,2941072,1638099536,2021-11-28 11:38:56,0x9049ce69906d3cd891556810c39f09ea921fc087,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.003479475,0.37755783225,Set LC Agreement,,,
0x05248fe291325437f61d886b4372ee46959be166ea03cec7cea24634c97f55e5,2941076,1638099546,2021-11-28 11:39:06,0x9049ce69906d3cd891556810c39f09ea921fc087,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.001342925,0.14572079175,Add Document,,,
0xc2abd7f95a0dbc747a4cfc5a9e236a050ab0093771f5eae2a99b865590a84340,2941081,1638099555,2021-11-28 11:39:15,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.001193025,0.12945514275,Validate Document,,,
0x73dfe96c086c30f5ec10974642c272cf5221821c0bf59cc62d4efc66fa1e4466,2941082,1638099561,2021-11-28 11:39:21,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.0047217,0.512351667,Set Shipping Agreement,,,
0x30583cf26676a91b7d683a3b81a727f2ac767e92c8d490d46e080016808bb40e,2941086,1638099569,2021-11-28 11:39:29,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.000736175,0.07988234925,Verify Goods,,,
0x71d9caa3a78154e22723e739958474452801b3348695314b89c5b0e945d35edb,2941088,1638099574,2021-11-28 11:39:34,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.00085005,0.0922389255,Verify Goods,,,
0x534eb48efd9ef0f1a3d984bbfeaa994c087dc203c0ecd43f2d923d10fdc42921,2941090,1638099585,2021-11-28 11:39:45,0x209b153a796c1924b675e5cd9476384cd38e9387,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.000813225,0.08824304475,Initiate Shipment,,,
0xbc151cb0beccdb5219bc504c3bf55a161e415b6f822e934016cb2c8c6f2cfbb6,2941093,1638099591,2021-11-28 11:39:51,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.00085125,0.0923691375,Verify Goods,,,
0x59b0718463d014210f4e25f4f87c0a083753890532d3b18f0168834e0c93d032,2941097,1638099602,2021-11-28 11:40:02,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.0007449,0.080829099,Confirm Shipment,,,
0x6d11d313bf4d9368c16351fbe90f24a21783ed18e91f31c7142d1a071fbf5c82,2941098,1638099608,2021-11-28 11:40:08,0x9049ce69906d3cd891556810c39f09ea921fc087,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.002883525,0.31289129775,Set Payment Agreement,,,
0xf3fb6615ea3cfa4920eaa916f56a40dc10c4895c3d46950a37da8399b2f9fb92,2941101,1638099619,2021-11-28 11:40:19,0x9049ce69906d3cd891556810c39f09ea921fc087,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.00080145,0.0869653395,Initiate Payment,,,
0xb3ee74861581116ff2af1ab1a165b4ed1475aab351037deae92f54b998c5bc37,2941104,1638099625,2021-11-28 11:40:25,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.0007463,0.080981013,Processpayment,,,
0x153612c950889ede9c8b602957b083f0950214295daae5f668f60349817e5bfb,2941106,1638099637,2021-11-28 11:40:37,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.000755875,0.08201999625,Payment Received,,,
