Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $113.1/AVAX,TxnFee(AVAX),TxnFee(USD),Historical $Price/AVAX,Status,ErrCode,Method
0x11e17f735bd3e015b63beec4cf9759067b7e3a9b9fe38dfbf042b723a6afab92,2945023,1638112363,2021-11-28 15:12:43,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,0,0,0,0.129509675,14.6475442425,110.63,,,Accepire-BT Contract
0x16a4b475845e6e8c3c54476ef07b943d6c1066f832bb4df926cc4fc667f02eb6,2945026,1638112369,2021-11-28 15:12:49,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.002801375,0.3168355125,110.63,,,Set Sales Agreement
0x79e61489759b7fe8c813ec8da9b565f91b73b579961e06e9b075b9d43b1dc16b,2945032,1638112381,2021-11-28 15:13:01,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.00479075,0.541833825,110.63,,,Add Order
0x478e7fc643146047e626e398663851eb54d4459ff749a7cd9233a8cc3947fe6a,2945035,1638112391,2021-11-28 15:13:11,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.00301265,0.340730715,110.63,,,Create Invoice
0x4a42f620fee790e0487445a255d8440dce6189526e9599ed86cf858c2a7924fc,2945041,1638112405,2021-11-28 15:13:25,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.001165075,0.1317699825,110.63,,,Confirm Invoice
0x0d70f1beedf70ab2496a91fee111c4340f3fa8514c75440250c926ea2514302b,2945044,1638112413,2021-11-28 15:13:33,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.001228475,0.1389405225,110.63,,,Confirm Order
0x6fca222b4d10efa9cab8370cdda549bf4985e9335eabdb0b529e70056b254a00,2945048,1638112424,2021-11-28 15:13:44,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.003473875,0.3928952625,110.63,,,Set Financial Agreement Parties
0x3b966394b1a0b2c000a610d4d4cf43eb98c60b5a4b85275eecf4ae6b8b4ec730,2945051,1638112434,2021-11-28 15:13:54,0x9049ce69906d3cd891556810c39f09ea921fc087,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.00074245,0.083971095,110.63,,,Confirm Financial Agreement
0xd2289dd18e2157d0903bce955e45d9fcbdd977e8e137cbc5e53f2a64d68bdc5f,2945054,1638112443,2021-11-28 15:14:03,0x9049ce69906d3cd891556810c39f09ea921fc087,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.003479475,0.3935286225,110.63,,,Set LC Agreement
0x76fbcbe8230a7073e9233dc65797869509c0700c811afaf2c6e5a43e28672cfe,2945059,1638112455,2021-11-28 15:14:15,0x9049ce69906d3cd891556810c39f09ea921fc087,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.001342925,0.1518848175,110.63,,,Add Document
0x05ca9f55d4c084ef2c0589091bd1d6a2700acfb04d557e121e1b741a2977b3b2,2945067,1638112471,2021-11-28 15:14:31,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.001193025,0.1349311275,110.63,,,Validate Document
0x43d013d3f737c2df1fd1a9cecbe9db096b9186f8915c78f25ba59b7c35bb80de,2945070,1638112480,2021-11-28 15:14:40,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.0047217,0.53402427,110.63,,,Set Shipping Agreement
0x620fdf22edb57af05f2277eaf160baa421c8d044ef3188c3540a53a87b242f2e,2945073,1638112486,2021-11-28 15:14:46,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.000736175,0.0832613925,110.63,,,Verify Goods
0x262f6ed4ef77df0589a7bc4f08055d25fd3b30c76a2417c8c464b5b015a5524a,2945077,1638112496,2021-11-28 15:14:56,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.00085005,0.096140655,110.63,,,Verify Goods
0x905877b5b0fbfd34d8b8cf510358ad4ab8d94464a4cf84f23e0d7211067ad025,2945079,1638112507,2021-11-28 15:15:07,0x209b153a796c1924b675e5cd9476384cd38e9387,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.000813225,0.0919757475,110.63,,,Initiate Shipment
0x92169e1c42421db6546e78f2fd0f3f3e9766af4d9824ee29ad876edbdffc3baf,2945085,1638112519,2021-11-28 15:15:19,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.00085125,0.096276375,110.63,,,Verify Goods
0xd1f2968d80b91df924e39273bb83d547218081ff462fa47c93f1771899e15ea7,2945088,1638112529,2021-11-28 15:15:29,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.0007449,0.08424819,110.63,,,Confirm Shipment
0x7e9479aaa9193f0233755ef8e932888e45c69adfdfd8cbb3e1e608e8dd6fe89e,2945092,1638112537,2021-11-28 15:15:37,0x9049ce69906d3cd891556810c39f09ea921fc087,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.002883525,0.3261266775,110.63,,,Set Payment Agreement
0x250917c93abf40b2c1d8dfde479af636c428327a629efbe48a78b471ce908544,2945096,1638112545,2021-11-28 15:15:45,0x9049ce69906d3cd891556810c39f09ea921fc087,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.00080145,0.090643995,110.63,,,Initiate Payment
