Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $113.29/AVAX,TxnFee(AVAX),TxnFee(USD),Method,Status,ErrCode,
0xf07c1344d536ef6f05f09547562d09990ad91b8ef00d8655577068775e7375da,2956528,1638150348,2021-11-29 01:45:48,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x5adee014cda4ab88871276dc277db0cf8c081cd7,0,0,0,0.129509675,14.67215108075,Accepire-BT Contract,,,
0x2ac7b1f2546f895f57c4d1365d587bf9b22f9f1b113d73c879b3b2d95e7fe593,2956531,1638150355,2021-11-29 01:45:55,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x5adee014cda4ab88871276dc277db0cf8c081cd7,,0,0,0,0.002801375,0.31736777375,Set Sales Agreement,,,
0xfff6cfe4f064f2395bac0158d6768786ffa4c680a28411f2904e657016c9f2fd,2956532,1638150362,2021-11-29 01:46:02,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x5adee014cda4ab88871276dc277db0cf8c081cd7,,0,0,0,0.00479075,0.5427440675,Add Order,,,
0x6ffa6f558e17e2ac37cee496d9a35db4d89a5c8892574c171750170a53913d9c,2956533,1638150368,2021-11-29 01:46:08,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x5adee014cda4ab88871276dc277db0cf8c081cd7,,0,0,0,0.00301265,0.3413031185,Create Invoice,,,
0x842243614ffeb7b4f79c1c67e7548bf9567969451f872af76cabf9b6ee9cfd96,2956538,1638150380,2021-11-29 01:46:20,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x5adee014cda4ab88871276dc277db0cf8c081cd7,,0,0,0,0.001165075,0.13199134675,Confirm Invoice,,,
0x54167d5c370e9f18410e6a8729e51f92496aea42b4144c49114824b1d617ae0c,2956539,1638150389,2021-11-29 01:46:29,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x5adee014cda4ab88871276dc277db0cf8c081cd7,,0,0,0,0.001228475,0.13917393275,Confirm Order,,,
0x591865e6646d962779a3fc4e9dd6d6eb06c15c52b8120825facc0b1207e8f6c6,2956544,1638150400,2021-11-29 01:46:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x5adee014cda4ab88871276dc277db0cf8c081cd7,,0,0,0,0.003473875,0.39355529875,Set Financial Agreement Parties,,,
0xd3daaae2e2f3f33064c59997c445d06e1f1502cc7af11e055412a6e4b4dfc899,2956548,1638150408,2021-11-29 01:46:48,0x9049ce69906d3cd891556810c39f09ea921fc087,0x5adee014cda4ab88871276dc277db0cf8c081cd7,,0,0,0,0.00074245,0.0841121605,Confirm Financial Agreement,,,
0x3a0ee5d72125cab4333e760dab2c195091cec2c39ef01e79544c30a7a57a66de,2956551,1638150416,2021-11-29 01:46:56,0x9049ce69906d3cd891556810c39f09ea921fc087,0x5adee014cda4ab88871276dc277db0cf8c081cd7,,0,0,0,0.003479475,0.39418972275,Set LC Agreement,,,
0xafd38412c370bf557eb0051181a704239f9e81d9512d54714c08cc81c54255f8,2956554,1638150422,2021-11-29 01:47:02,0x9049ce69906d3cd891556810c39f09ea921fc087,0x5adee014cda4ab88871276dc277db0cf8c081cd7,,0,0,0,0.001342925,0.15213997325,Add Document,,,
0xedab697733adc8d790aea1a8cbf14e083650a8ff9d6926820f038afe9faa51e6,2956556,1638150433,2021-11-29 01:47:13,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x5adee014cda4ab88871276dc277db0cf8c081cd7,,0,0,0,0.001193025,0.13515780225,Validate Document,,,
0xd1a6b391dd1b29acd95580040a6c186d3d4b2faf85ab87aeed2478b37bef4a72,2956559,1638150440,2021-11-29 01:47:20,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x5adee014cda4ab88871276dc277db0cf8c081cd7,,0,0,0,0.0047217,0.534921393,Set Shipping Agreement,,,
0xad83e0152ea8b913174ac00ce5e925174caac3c8293195189b0240608d96492b,2956563,1638150448,2021-11-29 01:47:28,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x5adee014cda4ab88871276dc277db0cf8c081cd7,,0,0,0,0.000736175,0.08340126575,Verify Goods,,,
0x260fb5344d14fe9ecfa7b8ebeb42dfc51b77bb9c7ee7604930f4571423f2a1d7,2956565,1638150453,2021-11-29 01:47:33,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x5adee014cda4ab88871276dc277db0cf8c081cd7,,0,0,0,0.00085005,0.0963021645,Verify Goods,,,
