Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $111.26/AVAX,TxnFee(AVAX),TxnFee(USD),Method,Status,ErrCode,
0x7943b0b0a032cebf4b6d70132a5dd60fb011f4358c8f16fd2e92d54810e32e79,2960740,1638165196,2021-11-29 05:53:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xa60b3e3589540318ab9d79f3575a609da4f77f97,0,0,0,0.129509675,14.4092464405,Accepire-BT Contract,,,
0xf72064f6acb1c003222d9c7bb9c361e066220fa0d4f43126d9545735343d722b,2960742,1638165201,2021-11-29 05:53:21,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xa60b3e3589540318ab9d79f3575a609da4f77f97,,0,0,0,0.002801375,0.3116809825,Set Sales Agreement,,,
0x0e7a674247ce29d3184aef682a4e8533a74a137b18ea3cf66e60b118f603ce3a,2960745,1638165208,2021-11-29 05:53:28,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xa60b3e3589540318ab9d79f3575a609da4f77f97,,0,0,0,0.00479075,0.533018845,Add Order,,,
0xb6be97110738e2bc60e3ee4b1bcce110ffcf748d8aa3ef25588792fa54cdf586,2960746,1638165215,2021-11-29 05:53:35,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xa60b3e3589540318ab9d79f3575a609da4f77f97,,0,0,0,0.00301265,0.335187439,Create Invoice,,,
0xc2e1754b1b29cc5d571be070a1eb5a85ad2012f9087b56dde6d832e6cfb15eee,2960749,1638165226,2021-11-29 05:53:46,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xa60b3e3589540318ab9d79f3575a609da4f77f97,,0,0,0,0.001165075,0.1296262445,Confirm Invoice,,,
0x8c1e3dad826be20ed58e034ca42956a719fdea18793a2183888d4dbd15580844,2960750,1638165230,2021-11-29 05:53:50,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xa60b3e3589540318ab9d79f3575a609da4f77f97,,0,0,0,0.001228475,0.1366801285,Confirm Order,,,
0x4ec4e0f23b7ea69ec48e85deef3cb9e2dcbafa9b3d960a057bd576171394c60d,2960756,1638165250,2021-11-29 05:54:10,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xa60b3e3589540318ab9d79f3575a609da4f77f97,,0,0,0,0.003473875,0.3865033325,Set Financial Agreement Parties,,,
0xac52a05287505cf948b6935fd4a9a297acaee52f5753a668f6611db89907df25,2960758,1638165263,2021-11-29 05:54:23,0x9049ce69906d3cd891556810c39f09ea921fc087,0xa60b3e3589540318ab9d79f3575a609da4f77f97,,0,0,0,0.00074245,0.082604987,Confirm Financial Agreement,,,
0xfd72a48d87bacf14ff38e3982dafb3bef61849c5eb6c73c1ee51032bc10c42a9,2960761,1638165270,2021-11-29 05:54:30,0x9049ce69906d3cd891556810c39f09ea921fc087,0xa60b3e3589540318ab9d79f3575a609da4f77f97,,0,0,0,0.003479475,0.3871263885,Set LC Agreement,,,
0x3a7b8beb3be1a860f4ba4bd47501f6bb3b06aae90dc1dec582460e67be5dbb87,2960762,1638165278,2021-11-29 05:54:38,0x9049ce69906d3cd891556810c39f09ea921fc087,0xa60b3e3589540318ab9d79f3575a609da4f77f97,,0,0,0,0.001342925,0.1494138355,Add Document,,,
