Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $118.18/AVAX,TxnFee(AVAX),TxnFee(USD),Historical $Price/AVAX,Method,ErrCode,
0xef632d8ff7a0f67d73cbaa85860d63a6c5d68fcd0cc4d10d86f0f845f2b87070,2966770,1638185856,2021-11-29 11:37:36,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x87ee119d3e744fa08ead167e03be44514b835b63,0,0,0,0.129509675,15.3054533915,120.81,Accepire-BT Contract,,
0xf5f9460b2b360edb131f827d1eab8796e9f2006c66856fd569b64d1d053185da,2966774,1638185866,2021-11-29 11:37:46,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x87ee119d3e744fa08ead167e03be44514b835b63,,0,0,0,0.002801375,0.3310664975,120.81,Set Sales Agreement,,
0x122803d9c8a58adeb47e98c3b00d9e0173bdf283ebaf5715a3916e7d38fb027a,2966775,1638185870,2021-11-29 11:37:50,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x87ee119d3e744fa08ead167e03be44514b835b63,,0,0,0,0.00479075,0.566170835,120.81,Add Order,,
0x3f0ff14a44cdec7fa111dcbd50aa36411e1d501ab4713fe12fffaba629669e9b,2966778,1638185877,2021-11-29 11:37:57,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x87ee119d3e744fa08ead167e03be44514b835b63,,0,0,0,0.00301265,0.356034977,120.81,Create Invoice,,
0x05be7364b59661b4e900827a9ceb2ec8d64bded9d53d9393435b691d3999693a,2966782,1638185885,2021-11-29 11:38:05,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x87ee119d3e744fa08ead167e03be44514b835b63,,0,0,0,0.001165075,0.1376885635,120.81,Confirm Invoice,,
0xde57dff447451e6e27c672c413c9399570377d350576b90adad1298852c3eb75,2966785,1638185891,2021-11-29 11:38:11,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x87ee119d3e744fa08ead167e03be44514b835b63,,0,0,0,0.001228475,0.1451811755,120.81,Confirm Order,,
0xe3da528160ef16b5aa9ade7aef3cd61dfc135fb5e6a3fab727549921610c1a59,2966790,1638185904,2021-11-29 11:38:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x87ee119d3e744fa08ead167e03be44514b835b63,,0,0,0,0.003473875,0.4105425475,120.81,Set Financial Agreement Parties,,
0x8471529197f6572189f44381cc3399263c2f9314f55da9b32d6fc7c6cc46a95a,2966793,1638185910,2021-11-29 11:38:30,0x9049ce69906d3cd891556810c39f09ea921fc087,0x87ee119d3e744fa08ead167e03be44514b835b63,,0,0,0,0.00074245,0.087742741,120.81,Confirm Financial Agreement,,
0x693a4c2219071cba5b5f259ceb75ea8842180e5af55aa79b9df8783ca58808a4,2966796,1638185920,2021-11-29 11:38:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0x87ee119d3e744fa08ead167e03be44514b835b63,,0,0,0,0.003479475,0.4112043555,120.81,Set LC Agreement,,
0x6fed5af9aafe08ecc78e48cc953eaed15dc6c0a51699349ef63f4ff7c05d9aae,2966799,1638185926,2021-11-29 11:38:46,0x9049ce69906d3cd891556810c39f09ea921fc087,0x87ee119d3e744fa08ead167e03be44514b835b63,,0,0,0,0.001342925,0.1587068765,120.81,Add Document,,
