Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $118.33/AVAX,TxnFee(AVAX),TxnFee(USD),Historical $Price/AVAX,Method,ErrCode,
0xc6425293159e0e1b410bceeb3f1f321c9d051ab7783db50aa7c18ef992ee73e0,2970748,1638198427,2021-11-29 15:07:07,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,0,0,0,0.129509675,15.32487984275,120.81,Accepire-BT Contract,,
0xd3de0f5935cc7f6988d1bd425fde88cf5bda0232c0af43ee6bc4b9d8c45cff17,2970750,1638198434,2021-11-29 15:07:14,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.002801375,0.33148670375,120.81,Set Sales Agreement,,
0xecd39fc8c0d5332d67ececa387e56170d44b351dbd5a8af433f3c5b1308b1646,2970751,1638198440,2021-11-29 15:07:20,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.00479075,0.5668894475,120.81,Add Order,,
0x44b0aaf2731b3cfb29898bd7828b72a0fb9c2c3e562812e6156aa79676898027,2970754,1638198448,2021-11-29 15:07:28,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.00301265,0.3564868745,120.81,Create Invoice,,
0xb65707d3d1620a7a23f16b54a4ffeb5f218f90ddd522afed07b35b1a687dcbb0,2970757,1638198458,2021-11-29 15:07:38,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.001165075,0.13786332475,120.81,Confirm Invoice,,
0xd5c0da61693b45029040431bf282f54f8e58f472379c21684b10dffb654b0a51,2970761,1638198466,2021-11-29 15:07:46,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.001228475,0.14536544675,120.81,Confirm Order,,
0x5960959cf4e8894df042b3b9ef33c69a6d2258d4bf65eb736763b1b6f304a9be,2970764,1638198480,2021-11-29 15:08:00,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.003473875,0.41106362875,120.81,Set Financial Agreement Parties,,
0xc06312659b5d79762f24046be2c034b8db9b7a34df7e9fad5f383f3f5aa1d172,2970768,1638198488,2021-11-29 15:08:08,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.00074245,0.0878541085,120.81,Confirm Financial Agreement,,
0x438a1b5ec806e428f2ccfea680015f402eafd46b4a9a73df3f715d9b8e84a527,2970771,1638198494,2021-11-29 15:08:14,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.003479475,0.41172627675,120.81,Set LC Agreement,,
0x51ac6a24d47f62dc098a45ce0b652d5e3bf4971188e91c2815166a424a99b018,2970772,1638198499,2021-11-29 15:08:19,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.001342925,0.15890831525,120.81,Add Document,,
0xecad9c9edc6dc2abd316324f987592d46464456020c15947a8e3de17234970d5,2970777,1638198513,2021-11-29 15:08:33,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.001193025,0.14117064825,120.81,Validate Document,,
0x1e438bb229c4812abb74aa9fb90b70c8df2a6b51d0477512195219d8cc5b666b,2970782,1638198526,2021-11-29 15:08:46,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.0047217,0.558718761,120.81,Set Shipping Agreement,,
0xc39ac15129148f7a13a9201b9aae73c8b919d9dfe1516f5fe9b05dee619f9537,2970785,1638198535,2021-11-29 15:08:55,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.000736175,0.08711158775,120.81,Verify Goods,,
0x9c7c4b23e0bf43e23f0d96e1871682d4253e2abe35860ba1d9541f2987aff63d,2970787,1638198541,2021-11-29 15:09:01,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.00085005,0.1005864165,120.81,Verify Goods,,
0xe271157ba3bf602b010c5a71ce0b37f2f8088978d3cf208fc7137e0ccc10b5ab,2970790,1638198548,2021-11-29 15:09:08,0x209b153a796c1924b675e5cd9476384cd38e9387,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.000813225,0.09622891425,120.81,Initiate Shipment,,
0x43f7900c69c3ea8d951ed51893fc782157415f8c5f1ead0691a9b938fbdef3f2,2970794,1638198559,2021-11-29 15:09:19,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.00085125,0.1007284125,120.81,Verify Goods,,
0xfe75053ffd381630ae8ba1046bbc4d3380ec339dd861929593647ca649e1e8db,2970800,1638198572,2021-11-29 15:09:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.0007449,0.088144017,120.81,Confirm Shipment,,
0x3d7a0803fbc9a998cbe0f5408c98010d668d7381e121fb9871b26612639b52d8,2970804,1638198580,2021-11-29 15:09:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.002883525,0.34120751325,120.81,Set Payment Agreement,,
0x6f5fe0cbe3e91b073a394810e53003998850ab47413a77b5f63242f86ab9d2e8,2970806,1638198588,2021-11-29 15:09:48,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.00080145,0.0948355785,120.81,Initiate Payment,,
0xc7b76d2b21e1589ad6c6a07b9f4b62238129c552db4a696d6170afe7732aff62,2970809,1638198597,2021-11-29 15:09:57,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.0007463,0.088309679,120.81,Processpayment,,
0x9484c9941e2d5b5c0bb381f14011ff59736cac02ac7bbd030198c8d2c15416d3,2970812,1638198605,2021-11-29 15:10:05,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9717b6fc30ce32297a90d145a49368f0a1b3476d,,0,0,0,0.000755875,0.08944268875,120.81,Payment Received,,
