Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $118.96/AVAX,TxnFee(AVAX),TxnFee(USD),Method,Status,ErrCode,
0x7c28b0a7297802edb7cde42725afe7b6f3657dbd5fa575380550a5f696cb33cd,2807117,1637753850,2021-11-24 11:37:30,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x11d7469f2e268513195a07eb0e7b74cf85d51816,0,0,0,0.129509675,15.406470938,Accepire-BT Contract,,,
0x3b08db5d605cf92df752553357faa335641d66111dbfc7d3d5d7de6891b78977,2807123,1637753863,2021-11-24 11:37:43,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.002801375,0.33325157,Set Sales Agreement,,,
0x0e7cb04604a1f46954f5bf93e9295e0ea131b35b250663765b49faf4b313e7fc,2807126,1637753870,2021-11-24 11:37:50,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00479075,0.56990762,Add Order,,,
0x2edae18590fafe4267d74807bca93f65d42cf3e7d3c9a00bbe655560057b8b28,2807132,1637753882,2021-11-24 11:38:02,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00301265,0.358384844,Create Invoice,,,
0x5dc19b0ccd18f2a7dafbff249d75bbc060d3b508a3c56fc59a2c9cec495b84a0,2807135,1637753888,2021-11-24 11:38:08,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.001165075,0.138597322,Confirm Invoice,,,
0x15e8c447643e267d8c87311044e88efdf6a3b356dbe83c7a27efea452315d1e8,2807139,1637753897,2021-11-24 11:38:17,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.001228475,0.146139386,Confirm Order,,,
0x166e598e464484e5971d489c390aac69bed3c642b370478791eb81a5fab26986,2807145,1637753910,2021-11-24 11:38:30,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.003473875,0.41325217,Set Financial Agreement Parties,,,
0xc810894c007f30af40e2c48e1c1e95ead7201486fc39dd70e300930dfd01061f,2807149,1637753920,2021-11-24 11:38:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00074245,0.088321852,Confirm Financial Agreement,,,
0x683a42bb5e1e64d3bee9af029acf11f7cd7f02fdbe88be8abf9229474b41bee1,2807151,1637753924,2021-11-24 11:38:44,0x9049ce69906d3cd891556810c39f09ea921fc087,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.003479475,0.413918346,Set LC Agreement,,,
0x9e1b0182b9d887e13f4fcd2bfd3670c9e6d394d6bd02cce5fa5f42f0b32bd6f1,2807156,1637753935,2021-11-24 11:38:55,0x9049ce69906d3cd891556810c39f09ea921fc087,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.001342925,0.159754358,Add Document,,,
0x90220b6ff107cc704d44eb94be008ed4f7947c79f79b5f136cdb6b522ee2c9ff,2807160,1637753944,2021-11-24 11:39:04,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.001193025,0.141922254,Validate Document,,,
0x9dc2ccb799cee96dc33df75a23b52244ec173737afe19724ec87f8590d5cb0ba,2807163,1637753950,2021-11-24 11:39:10,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.0047217,0.561693432,Set Shipping Agreement,,,
0x662d7d51e389940999c47fcd2b932dabc450da6e348c571770724d38f004d092,2807167,1637753958,2021-11-24 11:39:18,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.000736175,0.087575378,Verify Goods,,,
0x0b6c008be64e303bed93452af5643f456be48e971a85b0075587ff47f899ec95,2807172,1637753968,2021-11-24 11:39:28,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00085005,0.101121948,Verify Goods,,,
0x5851278965641541c47a30d130766c37cffc7290931cdf506665d05af7df4c7f,2807176,1637753976,2021-11-24 11:39:36,0x209b153a796c1924b675e5cd9476384cd38e9387,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.000813225,0.096741246,Initiate Shipment,,,
0xf51aa6700c607a51d7a06d301b6ab1b816a1fb6ceb06b359d85e5d633403d873,2807179,1637753982,2021-11-24 11:39:42,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00085125,0.1012647,Verify Goods,,,
0x56f41200f1ff85497b55f3c5287638e5791e18a0c7ec77f12aa91c57f9157e07,2807183,1637753998,2021-11-24 11:39:58,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.0007449,0.088613304,Confirm Shipment,,,
0xed0e6691718342b0a426ea8792e5367654d88a2e5b8a67f424b46d6a25aabbb5,2807188,1637754008,2021-11-24 11:40:08,0x9049ce69906d3cd891556810c39f09ea921fc087,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.002883525,0.343024134,Set Payment Agreement,,,
0x1a599fe632f9a4f1e86c15fb9750f377ef963270ac6e1468d98470fb3a9565da,2807193,1637754018,2021-11-24 11:40:18,0x9049ce69906d3cd891556810c39f09ea921fc087,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00080145,0.095340492,Initiate Payment,,,
0x553ceeeb94450c855cf3e03b1e432022abf71720371190910d172cecb1acc05f,2807200,1637754033,2021-11-24 11:40:33,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.0007463,0.088779848,Processpayment,,,
0x3246828adaf0c79ed69c9696479cd6cff382181e4fcc28a4e6d47f9c9f410c92,2807204,1637754042,2021-11-24 11:40:42,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.000755875,0.08991889,Payment Received,,,
