Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $121.43/AVAX,TxnFee(AVAX),TxnFee(USD),Method,Status,ErrCode,
0x00c4589b9515e2a9fb1ebe2d82b67f419a7921a6d8d9ce27bb7cc139fa6ecef5,2833929,1637821904,2021-11-25 06:31:44,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,0,0,0,0.129509675,15.72635983525,Accepire-BT Contract,,,
0x54ca95514502c18394b7a3c796233300fda764c143f6d18c79c1d8336cb1890b,2833932,1637821910,2021-11-25 06:31:50,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.002801375,0.34017096625,Set Sales Agreement,,,
0x0bec37444dcadc3125584b27dce3dfa4f617eb5926aa143e98b3b1a9495f879c,2833936,1637821918,2021-11-25 06:31:58,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.00479075,0.5817407725,Add Order,,,
0x31ffe72e546ca65fadfd8e82b3eb21457cec317b5c40364d605203f883f06888,2833939,1637821924,2021-11-25 06:32:04,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.00301265,0.3658260895,Create Invoice,,,
0x2ce0bd4efaa89af9ba08879d034af85d6965a053c1d31fe3750f2c3943ba5e10,2833944,1637821934,2021-11-25 06:32:14,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.001165075,0.14147505725,Confirm Invoice,,,
0x2c06e8ed3421345b2b9e13a0ded7746323255e5fab7c97f9399116fe22a125db,2833949,1637821944,2021-11-25 06:32:24,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.001228475,0.14917371925,Confirm Order,,,
0x029a4d39f423df01810ceca10a224205986049315da1a6b5a5757b596cac35b2,2833955,1637821956,2021-11-25 06:32:36,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.003473875,0.42183264125,Set Financial Agreement Parties,,,
0x4a8255749639256ba0c0a49672bb02dba0c2ff2958f378f1e72e7a25fd00d852,2833962,1637821970,2021-11-25 06:32:50,0x9049ce69906d3cd891556810c39f09ea921fc087,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.00074245,0.0901557035,Confirm Financial Agreement,,,
0xd74988a9df5cb9dbb5f08a0b8fb0bfcf80a67aa5b9474719ba05e09630ecdb4e,2833964,1637821974,2021-11-25 06:32:54,0x9049ce69906d3cd891556810c39f09ea921fc087,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.003479475,0.42251264925,Set LC Agreement,,,
0x3e49e51429638585d56f849519017f752d34bf014c1767f76597fada0a402f61,2833970,1637821986,2021-11-25 06:33:06,0x9049ce69906d3cd891556810c39f09ea921fc087,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.001342925,0.16307138275,Add Document,,,
0xa955180d8a255b93de647b82a8cbd89547986a3ef5f8d00620591be595b21330,2833973,1637821999,2021-11-25 06:33:19,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x81c4d128b4f7001eeee1bdce31fe011af2aa85b1,,0,0,0,0.001193025,0.14486902575,Validate Document,,,
