Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $117.57/AVAX,TxnFee(AVAX),TxnFee(USD),Method,Status,ErrCode,
0xcb38dd2598355948a279eac6a3f7c3f26dbc6c0a6180c1d074a064d8926f37b0,2861904,1637890126,2021-11-26 01:28:46,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x47511d54c87436ef18eea20938e60ce4611176fa,0,0,0,0.129509675,15.22645248975,Accepire-BT Contract,,,
0x7caca8e5c196c8d8817f97e2993e08298193d2f5da6f7772f9fa17dc8c749e08,2861907,1637890132,2021-11-26 01:28:52,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.002801375,0.32935765875,Set Sales Agreement,,,
0xe1c5e02bc5e5abd49b2700869b2b1eb0f6e2ef57cd716dcccb5d9c57ffd47ca1,2861908,1637890137,2021-11-26 01:28:57,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00479075,0.5632484775,Add Order,,,
0x66e89842fdda94cbb9cac76ed809435f3f5af555c26cb4c7d4273cc52cb97792,2861914,1637890149,2021-11-26 01:29:09,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00301265,0.3541972605,Create Invoice,,,
0xa88c13513c3c59f7fb667730262146092722a0eee0c63b11ac2ccc10cbe81be9,2861918,1637890158,2021-11-26 01:29:18,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.001165075,0.13697786775,Confirm Invoice,,,
0x7c45cdfd814a0c639a2e8dce7e07ddc5ce12d1a929d645ce5c3ca762bd60b483,2861919,1637890163,2021-11-26 01:29:23,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.001228475,0.14443180575,Confirm Order,,,
0x10f49abace54cc8759165a9be9024ce8754abf1a43b6b27efb0c591bb4bc66e2,2861924,1637890178,2021-11-26 01:29:38,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.003473875,0.40842348375,Set Financial Agreement Parties,,,
0x479e17e12e686695b93a2dff08d5cb8f06bc608ea43f7f18512bf0691b6ba4a5,2861925,1637890183,2021-11-26 01:29:43,0x9049ce69906d3cd891556810c39f09ea921fc087,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00074245,0.0872898465,Confirm Financial Agreement,,,
0x58f13b9e299e44694984da1c2fda1a254dbc3acb8ad20af7425b5a7d965e6753,2861929,1637890193,2021-11-26 01:29:53,0x9049ce69906d3cd891556810c39f09ea921fc087,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.003479475,0.40908187575,Set LC Agreement,,,
0x620254d1e15030870ea5d432e9ba7b91c263313d59e00298130f770a81172e5d,2861932,1637890201,2021-11-26 01:30:01,0x9049ce69906d3cd891556810c39f09ea921fc087,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.001342925,0.15788769225,Add Document,,,
