Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $116.24/AVAX,TxnFee(AVAX),TxnFee(USD),Method,Status,ErrCode,
0xb78accbfe5b55bcf9ac279580fcac6c1b49d570fbf0b3ac5a5a1155b220f7f73,2868020,1637907310,2021-11-26 06:15:10,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,0,0,0,0.129509675,15.054204622,Accepire-BT Contract,,,
0xf536c7bbb81315362740e1eedaf055277d067827a17004ac35a072a21073029c,2868024,1637907319,2021-11-26 06:15:19,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.002801375,0.32563183,Set Sales Agreement,,,
0x6d97b9de0b3288ef3ad08f88a445a05035159c4f7bfc9a05499dcc8c7487a712,2868029,1637907329,2021-11-26 06:15:29,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.00479075,0.55687678,Add Order,,,
0xb6910858322478f821a650f50a20a2dd147e7971d723afa2b1468355e59e1b40,2868032,1637907337,2021-11-26 06:15:37,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.00301265,0.350190436,Create Invoice,,,
0x84cf195f66e68a9b33b152de0d885fca7559b2a6422827cc9ee8c467d4b3df2f,2868038,1637907349,2021-11-26 06:15:49,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.001165075,0.135428318,Confirm Invoice,,,
0xf620fc1552d1d4cc6af9c584375c787bbda96ceb616a686f195c0adcfd1d7337,2868042,1637907357,2021-11-26 06:15:57,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.001228475,0.142797934,Confirm Order,,,
0x2d1542262220533709a08d4df083b14ecdc42fc3670d7263796a11077c19adf4,2868050,1637907375,2021-11-26 06:16:15,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.003473875,0.40380323,Set Financial Agreement Parties,,,
0x8e6df7a3302ef041a05a24b9024d5864e7485953bc27a5f97d49621d1f661c6f,2868053,1637907384,2021-11-26 06:16:24,0x9049ce69906d3cd891556810c39f09ea921fc087,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.00074245,0.086302388,Confirm Financial Agreement,,,
0x6f393557340ef3bfc2354a9de61719d5dd8b1f7c61e365d6ade9f8d7a659b960,2868056,1637907390,2021-11-26 06:16:30,0x9049ce69906d3cd891556810c39f09ea921fc087,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.003479475,0.404454174,Set LC Agreement,,,
0xbdde71a943737942b068cda45ae758106cb51716e1083627549daeddf540ef80,2868061,1637907401,2021-11-26 06:16:41,0x9049ce69906d3cd891556810c39f09ea921fc087,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.001342925,0.156101602,Add Document,,,
0x21422e43fe5a6fb184b8e828b7d7ab8afd8cd9e1784f3dda71e4260f2b8bcf31,2868065,1637907409,2021-11-26 06:16:49,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.001193025,0.138677226,Validate Document,,,
0xb2abda8a1a1fd5b6e4a26d7e06253c37e0bc7cc955c0319505aa40686fb3d434,2868069,1637907420,2021-11-26 06:17:00,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.0047217,0.548850408,Set Shipping Agreement,,,
0x898db4ff20f9455fee717b082645d20922a3046db3091b2e7f07e8264a74c286,2868073,1637907428,2021-11-26 06:17:08,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.000736175,0.085572982,Verify Goods,,,
0x3a55ae08c6aa422a00e41a703f8307c926445c5e6648c44ac82fced36d990147,2868076,1637907434,2021-11-26 06:17:14,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.00085005,0.098809812,Verify Goods,,,
0x2c634417ee7e8390ae8fdbc4824aab48c221ea8cd4d554579971409260b28952,2868082,1637907446,2021-11-26 06:17:26,0x209b153a796c1924b675e5cd9476384cd38e9387,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.000813225,0.094529274,Initiate Shipment,,,
0x18d5bc8466569e1a6c29abee36302bac6acbd258a065c9a79ff3513c6d63ebc0,2868087,1637907456,2021-11-26 06:17:36,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.00085125,0.0989493,Verify Goods,,,
0x8b8c95790ab136fb9c16b75c5748a69fedb7ef9bb7c91e5d208ff9e266807202,2868093,1637907468,2021-11-26 06:17:48,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.0007449,0.086587176,Confirm Shipment,,,
0x524b175bcc8a1bbba946f3aa616b5d4686c34a3f0f95f091d815bbdfa752c0b7,2868098,1637907478,2021-11-26 06:17:58,0x9049ce69906d3cd891556810c39f09ea921fc087,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.002883525,0.335180946,Set Payment Agreement,,,
0xed478935c3fb47336ebd2ccfe996b4682969a79727e51018867ec81b8c448f5a,2868103,1637907488,2021-11-26 06:18:08,0x9049ce69906d3cd891556810c39f09ea921fc087,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.00080145,0.093160548,Initiate Payment,,,
0x6e7f16e0972ebfaa974801b05dffaf5a3c785de1a2f4b08e03c9fb997156ed02,2868107,1637907496,2021-11-26 06:18:16,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.0007463,0.086749912,Processpayment,,,
0xec275fdf36c2d4e6b28a84d509b9fcb64aa3fe880fc94685060d287e1986684d,2868111,1637907504,2021-11-26 06:18:24,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.000755875,0.08786291,Payment Received,,,
