Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $109.58/AVAX,TxnFee(AVAX),TxnFee(USD),Method,Status,ErrCode,
0x6b052d4137cbe2889d6b125e4a4adfd2fa957f89059bdd74431ca9290b2380e8,2871328,1637915675,2021-11-26 08:34:35,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,0,0,0,0.129509675,14.1916701865,Accepire-BT Contract,,,
0x75c434d3a4f6c40c515d25c4f19da0b89b7927daff2f6e2aca08f4e1eafb607b,2871331,1637915681,2021-11-26 08:34:41,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.002801375,0.3069746725,Set Sales Agreement,,,
0x7d02498af763ebfd486008a69e82b9b402193e287f159501375ac79b965dd90e,2871336,1637915691,2021-11-26 08:34:51,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.00479075,0.524970385,Add Order,,,
0x601f9362765f40786c71dff00659d93f2515969768f5c37f85f1c245880dac50,2871340,1637915699,2021-11-26 08:34:59,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.00301265,0.330126187,Create Invoice,,,
0x0e8ca8fd1bbdf4e0e8c521156313d259bf80f39789d4b99901954d7ee801edd2,2871343,1637915705,2021-11-26 08:35:05,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.001165075,0.1276689185,Confirm Invoice,,,
0xd62639bf8b8afc0886a50bfa852ddcce0a0a209ccc5c04fdd24b67be445a767e,2871348,1637915715,2021-11-26 08:35:15,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.001228475,0.1346162905,Confirm Order,,,
0x6f10c499de96e0302c3562ce63b378fccc56afb03aba7784ed4a58bf42bdf9ec,2871351,1637915724,2021-11-26 08:35:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.003473875,0.3806672225,Set Financial Agreement Parties,,,
0xe5aefedb51c2ed07881e7ba91ddf05eedb49a67f3c81029a22698836c0ca970f,2871356,1637915737,2021-11-26 08:35:37,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.00074245,0.081357671,Confirm Financial Agreement,,,
0x9128d980020089613676e674946eff6cc51389f269c04fd3dec7395cc5fd1e50,2871361,1637915746,2021-11-26 08:35:46,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.003479475,0.3812808705,Set LC Agreement,,,
0x6cc7f0977ffbbcee73ffa37197dcfcadb7dbbbe8438874c9c271a1bd841a26a5,2871365,1637915755,2021-11-26 08:35:55,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.001342925,0.1471577215,Add Document,,,
