Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $106.22/AVAX,TxnFee(AVAX),TxnFee(USD),Historical $Price/AVAX,Method,ErrCode,
0x52e44078f2b236608e06ef567324b0bd4b3c044ae70430f5d35f870394a01aa3,2880360,1637936950,2021-11-26 14:29:10,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,0,0,0,0.129509675,13.7565176785,104.33,Accepire-BT Contract,,
0xeb9099ee7250bbbfeff73f1b0f8954b19fc42cb02cc7ce31e706f9bac5c94c55,2880365,1637936961,2021-11-26 14:29:21,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.002801375,0.2975620525,104.33,Set Sales Agreement,,
0xa1bc447734ce0a92a94be953062111af2b77d482de1c09623db97b84c4787a57,2880369,1637936970,2021-11-26 14:29:30,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00479075,0.508873465,104.33,Add Order,,
0xcf1eade0c29a4368e668078de271d7379d564f3a1f2c95bfc7287479198eec3a,2880379,1637936994,2021-11-26 14:29:54,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00301265,0.320003683,104.33,Create Invoice,,
0x681e748e1a05bebabfe1eb4c962a8e23856e7eb0f569d28ca8a9dab987ddfafa,2880384,1637937005,2021-11-26 14:30:05,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.001165075,0.1237542665,104.33,Confirm Invoice,,
0x250a378fae7e3520a97bcb8e464f74bce3b109af1c36ae9c7f37cdcc96522e19,2880390,1637937017,2021-11-26 14:30:17,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.001228475,0.1304886145,104.33,Confirm Order,,
0x522b6faab6d9fbc449f9c10adde8486944e8ee0297f984a75177d679625d90fb,2880394,1637937028,2021-11-26 14:30:28,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.003473875,0.3689950025,104.33,Set Financial Agreement Parties,,
0x1596997600de80694c3ac9d556405cb034dd168e61269953a25369a109a964b5,2880398,1637937038,2021-11-26 14:30:38,0x9049ce69906d3cd891556810c39f09ea921fc087,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00074245,0.078863039,104.33,Confirm Financial Agreement,,
0x7378453ca1689d120706ddfabbfa7ced1b7d09d1335b7b88e0c16c0ad7dd4ca4,2880403,1637937048,2021-11-26 14:30:48,0x9049ce69906d3cd891556810c39f09ea921fc087,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.003479475,0.3695898345,104.33,Set LC Agreement,,
0x11640fb6a9355db79a0bb472ed1b53c1c40c5303e87a5448e9a93b0d80537487,2880406,1637937055,2021-11-26 14:30:55,0x9049ce69906d3cd891556810c39f09ea921fc087,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.001342925,0.1426454935,104.33,Add Document,,
