Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(AVAX),Value_OUT(AVAX),CurrentValue @ $107.82/AVAX,TxnFee(AVAX),TxnFee(USD),Method,Status,ErrCode,
0xd4529983edc85a9032dc760ebb6159c066d7e5c53b385789f51fb1739aaffbf6,2937987,1638088370,2021-11-28 08:32:50,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xf4cfd811310975c5803dba57272839d8111fcf9e,0,0,0,0.129509675,13.9637331585,Accepire-BT Contract,,,
0x25eff290c09673c2726dbad1b03702097d5494224b4cca42949db49c05a26053,2937991,1638088378,2021-11-28 08:32:58,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.002801375,0.3020442525,Set Sales Agreement,,,
0x0d032da3a8aacf0f2b9c62723542f254cd967ba4c6ba045a3a6c2f255456c046,2937994,1638088384,2021-11-28 08:33:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.00479075,0.516538665,Add Order,,,
0x979a6e8a64942f39ba08cf482da06601062da5a01e04f294a3034a8f2b79f890,2937996,1638088393,2021-11-28 08:33:13,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.00301265,0.324823923,Create Invoice,,,
0x9ab79ae2536f0b4401f3544f169d1f268a3f76182389f3d04590a16c21fc0817,2937998,1638088400,2021-11-28 08:33:20,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.001165075,0.1256183865,Confirm Invoice,,,
0x8827558941fa61c10f69010a073ce560d7a1df9a72d5c8ebfcfe8dd93e96ab53,2938000,1638088411,2021-11-28 08:33:31,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.001228475,0.1324541745,Confirm Order,,,
0x12840ee305f89f9e5607134fb4bc2b0b628196fef744f34b99d37e15a6960443,2938004,1638088421,2021-11-28 08:33:41,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.003473875,0.3745532025,Set Financial Agreement Parties,,,
0xad8c6458c814c84cd8f12fe42bea7130fdc7d60f0f833423e4eac1246031bcd1,2938008,1638088431,2021-11-28 08:33:51,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.00074245,0.080050959,Confirm Financial Agreement,,,
0xd8d28ec4dd52330968b193b05124e13c295c9cdaf7d691a2def65c4d4fe0056f,2938012,1638088439,2021-11-28 08:33:59,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.003479475,0.3751569945,Set LC Agreement,,,
0x4e871da5a8acd8b2172ed1b5544e25150c84e07eea32b8521c872ed2a176924d,2938015,1638088447,2021-11-28 08:34:07,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.001342925,0.1447941735,Add Document,,,
0x51b2b02efd54e3401e25090ef37e86e8effb0f86b22f8173a3368b35f6846e57,2938018,1638088454,2021-11-28 08:34:14,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.001193025,0.1286319555,Validate Document,,,
0x8229b91bf1e63c3523d36b436e061bdbc01ecefbcc7160fce191f5e437127b6d,2938021,1638088460,2021-11-28 08:34:20,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.0047217,0.509093694,Set Shipping Agreement,,,
0x61aa6791322ca730f7181180a1f94814e666fb6cd6fa03a86f142c1f21c8090d,2938024,1638088470,2021-11-28 08:34:30,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000736175,0.0793743885,Verify Goods,,,
0x4d79c6ff1095c3257bad6c1e60585dad68e890df47b1e8d0f47153350315385c,2938028,1638088480,2021-11-28 08:34:40,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.00085005,0.091652391,Verify Goods,,,
0xf36a305d368bc9908b395cdca688843176f076c96d803247b35aff409c5efcdb,2938032,1638088489,2021-11-28 08:34:49,0x209b153a796c1924b675e5cd9476384cd38e9387,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000813225,0.0876819195,Initiate Shipment,,,
0x33a0fb831b289f7ede3b0c11745233c803fb52f44f06d076a8925671285f17e8,2938036,1638088497,2021-11-28 08:34:57,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.00085125,0.091781775,Verify Goods,,,
0x3ce63d544defcf814acb0e42bba74c290015612a3acfad48bcf9b3e552b3b0be,2938038,1638088505,2021-11-28 08:35:05,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.0007449,0.080315118,Confirm Shipment,,,
0x9aba9d34dc5e39a788e8ba677d3922f412730404da79f0d29792805481671903,2938041,1638088516,2021-11-28 08:35:16,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.002883525,0.3109016655,Set Payment Agreement,,,
0x757ed1cb5dc6c7dc87699082ba6d8ca8bf06c2bd0724e54a320e16f5636cbc23,2938043,1638088521,2021-11-28 08:35:21,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.00080145,0.086412339,Initiate Payment,,,
0xb5acc75c2ecf95c13cd399d0160facefaafbeba77a0f2e0e56a1c147ac50eb85,2938044,1638088530,2021-11-28 08:35:30,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.0007463,0.080466066,Processpayment,,,
0x97a6e641fe3fb458d0b1c16bc47ca552e959d25b89a42fa56e084adbc8eec9e7,2938048,1638088538,2021-11-28 08:35:38,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000755875,0.0814984425,Payment Received,,,
