Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $596.96/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x2025100cd8f941488e37b24e1960d047a82bb889a86e8a095a3a9df37425e969,14367896,1637680841,2021-11-23 15:20:41,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xfd0c94d3c6c14a39d995f68cfd64a9e993633f87,0,0,0,0.05180387,30.9248382352,,,,Accepire-BT Contract,
0x187818de02d3c9391d53319e274e42b53d49cd8a6099fa7ac5d015cd4e3f82ad,14367899,1637680850,2021-11-23 15:20:50,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xfd0c94d3c6c14a39d995f68cfd64a9e993633f87,,0,0,0,0.00106755,0.637284648,,,,Set Sales Agreement,
0x51347c1b748d136960638255f4338f030334b4344afb12ccac0da921ab0a8431,14367902,1637680859,2021-11-23 15:20:59,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xfd0c94d3c6c14a39d995f68cfd64a9e993633f87,,0,0,0,0.0017923,1.069931408,,,,Add Order,
0xab72a9e923ab91115acf60f130cdbbbd3f5a1f6120e7d79d4b3dabe8e9f834a5,14367905,1637680868,2021-11-23 15:21:08,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xfd0c94d3c6c14a39d995f68cfd64a9e993633f87,,0,0,0,0.00108906,0.6501252576,,,,Create Invoice,
0xeaa9c719f086b381d3fcfc447a159105e16b4e1c83d444a83dc500d6f1c92197,14367906,1637680871,2021-11-23 15:21:11,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xfd0c94d3c6c14a39d995f68cfd64a9e993633f87,,0,0,0,0.00044003,0.2626803088,,,,Confirm Invoice,
0x6f5bc759641976c150a24ebc25709793321a232ff03003dd6e21baeeb2303070,14367909,1637680880,2021-11-23 15:21:20,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xfd0c94d3c6c14a39d995f68cfd64a9e993633f87,,0,0,0,0.00045939,0.2742374544,,,,Confirm Order,
0x83c2260c0883f145449c1585b1402a10c843ea9ef0fd260440f620289f7c2de4,14367913,1637680892,2021-11-23 15:21:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xfd0c94d3c6c14a39d995f68cfd64a9e993633f87,,0,0,0,0.00131155,0.782942888,,,,Set Financial Agreement Parties,
0x7ac576e1d1c73fe7ec42634b6aa3a7561792ae10516d2aa76501571f52467c06,14367916,1637680901,2021-11-23 15:21:41,0x9049ce69906d3cd891556810c39f09ea921fc087,0xfd0c94d3c6c14a39d995f68cfd64a9e993633f87,,0,0,0,0.00029898,0.1784791008,,,,Confirm Financial Agreement,
0x0019d22bdd02a8cb60dc970d1ea3a49798925f707c0d6719dac1af79811d2e9d,14367919,1637680910,2021-11-23 15:21:50,0x9049ce69906d3cd891556810c39f09ea921fc087,0xfd0c94d3c6c14a39d995f68cfd64a9e993633f87,,0,0,0,0.00129979,0.7759226384,,,,Set LC Agreement,
0xda62c1873fb1c75bcc74b618104291cdc79b174e1e32f79953d157e46103be06,14367922,1637680919,2021-11-23 15:21:59,0x9049ce69906d3cd891556810c39f09ea921fc087,0xfd0c94d3c6c14a39d995f68cfd64a9e993633f87,,0,0,0,0.00047817,0.2854483632,,,,Add Document,
0x6adfb1818663d77bf4fe3c6a98ff3bdee85035949498721775be1319d87213e3,14367927,1637680934,2021-11-23 15:22:14,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xfd0c94d3c6c14a39d995f68cfd64a9e993633f87,,0,0,0,0.00046521,0.2777117616,,,,Validate Document,
0x11c373ff9ee9e1b59d0c4e8071b7d34521c181000d28da68ea04e2aaf9d2ee5b,14367930,1637680943,2021-11-23 15:22:23,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xfd0c94d3c6c14a39d995f68cfd64a9e993633f87,,0,0,0,0.00180568,1.0779187328,,,,Set Shipping Agreement,
