Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $582.06/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0xe659154da276ce0b5400b5f0afec72010f79a635f0737f8163266d841a458238,14382147,1637723596,2021-11-24 03:13:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x11d7469f2e268513195a07eb0e7b74cf85d51816,0,0,0,0.05180387,30.1529605722,,,,Accepire-BT Contract,
0x1303a19e9be29ce6e20466f9fb9460c5c0fc87c8f012d610a8561ecce465f206,14382151,1637723608,2021-11-24 03:13:28,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00106755,0.621378153,,,,Set Sales Agreement,
0x024b16c91f699102c0e238d10382c6fb380805b7e9f04869a4cb1cf43d73a8bf,14382154,1637723617,2021-11-24 03:13:37,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.0017923,1.043226138,,,,Add Order,
0x501689dc3066b151f1c9559f587ef5c3a7073cb94c26525699b8f1a1b557f146,14382157,1637723626,2021-11-24 03:13:46,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00108906,0.6338982636,,,,Create Invoice,
0xed94208dbe4440631892e4955b9ad61dde261b8874c3de5926628e4b281804e5,14382160,1637723635,2021-11-24 03:13:55,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00044003,0.2561238618,,,,Confirm Invoice,
0xd8ad6d3fc6ef38bb8797153d88363e07ca14c53ff6fa8bb9eb53c1c78100d2a5,14382163,1637723644,2021-11-24 03:14:04,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00045939,0.2673925434,,,,Confirm Order,
0x1ade8718e919efb5c79cfc18aa21125036c3b3af953362c494d2053f2294b84c,14382168,1637723659,2021-11-24 03:14:19,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00131155,0.763400793,,,,Set Financial Agreement Parties,
0x2a60337f0711f15490f24c6bd21d29cec3bbabb6ce13e9c1ca444f0f6ddbdcc0,14382171,1637723668,2021-11-24 03:14:28,0x9049ce69906d3cd891556810c39f09ea921fc087,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00029898,0.1740242988,,,,Confirm Financial Agreement,
0x23cf52c85a39644ef8582dabd78e3a4bfaddc33f8255f04a5b0c403578ae9c53,14382174,1637723677,2021-11-24 03:14:37,0x9049ce69906d3cd891556810c39f09ea921fc087,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00129979,0.7565557674,,,,Set LC Agreement,
0xe7800f85aa3396e546c5542546d4e51edb2890bb1679ff41a43f3d3078d24909,14382177,1637723686,2021-11-24 03:14:46,0x9049ce69906d3cd891556810c39f09ea921fc087,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00047817,0.2783236302,,,,Add Document,
0x9657752146ca41179ea23c225659cf536aa9f5eed80e9df77b0282bec4b2032f,14382181,1637723698,2021-11-24 03:14:58,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00046521,0.2707801326,,,,Validate Document,
0xfcbca459d469f5b3eb35138ac2d5c09d927c1f9fe4f6a579c2891a1f0adcabac,14382185,1637723710,2021-11-24 03:15:10,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00180568,1.0510141008,,,,Set Shipping Agreement,
0x74cd135c81af51de2655e18b9ffa802100423a5d00f2fe51254405285ee283e2,14382188,1637723719,2021-11-24 03:15:19,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00028947,0.1684889082,,,,Verify Goods,
0xb2e4f4f636d4ff18e3e1e5fb8df6b4a4f0fd43c74f4131cf618f3b898475e2c9,14382191,1637723728,2021-11-24 03:15:28,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00030902,0.1798681812,,,,Verify Goods,
0x93421afd4a2d8a84fa71136640b5d43e3b3cd57d9e2785494d559b911044be6a,14382194,1637723737,2021-11-24 03:15:37,0x209b153a796c1924b675e5cd9476384cd38e9387,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00033529,0.1951588974,,,,Initiate Shipment,
0xfc1a4b1fdc5621a9b7906730611eb9c44ffdb295d0cfee92cc3096cb2506fcf6,14382197,1637723746,2021-11-24 03:15:46,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.0003095,0.18014757,,,,Verify Goods,
0x9acc5531957b15bcef9de9d554163b061c356b666db9ab71f675f824f90725b8,14382200,1637723755,2021-11-24 03:15:55,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00029996,0.1745947176,,,,Confirm Shipment,
0x12528b74ab1e80466ca2057071adaf95f62e39073796a46444ec7858082a2e88,14382203,1637723764,2021-11-24 03:16:04,0x9049ce69906d3cd891556810c39f09ea921fc087,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00109441,0.6370122846,,,,Set Payment Agreement,
0xd8ae0fe531751f26299a99e6d5d0dacd95ce3655448edc74c482cd1f7d47dcd7,14382206,1637723773,2021-11-24 03:16:13,0x9049ce69906d3cd891556810c39f09ea921fc087,0x11d7469f2e268513195a07eb0e7b74cf85d51816,,0,0,0,0.00030958,0.1801941348,,,,Initiate Payment,
