Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $601.51/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x02db9c5152bc288c5bd1b4ef1a9dc8b1b7ddedab99f1fdeb7fb411a83c5da5d5,14414722,1637821923,2021-11-25 06:32:03,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,0,0,0,0.05180387,31.1605458437,,,,Accepire-BT Contract,
0x1e6db5d7dbac7b3e12d4724f57e8a293e4bc27a2fcf297545ba15a7220c183cc,14414724,1637821929,2021-11-25 06:32:09,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00106755,0.6421420005,,,,Set Sales Agreement,
0x2f9022216056e14e69a12db31ae2d3b0a535a87a15663f935c633cc0219fb758,14414728,1637821941,2021-11-25 06:32:21,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.0017923,1.078086373,,,,Add Order,
0x1e5a6c5b97155ea529e0bfc8b2b20943fd5851686fa317a1368e3a691cc5e655,14414731,1637821950,2021-11-25 06:32:30,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00108906,0.6550804806,,,,Create Invoice,
0x870125743f4331682e30160e6467132fe55af1cce86eaf117fb84863ab3d9cf8,14414734,1637821959,2021-11-25 06:32:39,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00044003,0.2646824453,,,,Confirm Invoice,
0x31510b7c2f4bfc83ad7c3628a1c07ba1bdd8613fd86b5d15d3bb754920a23bff,14414737,1637821968,2021-11-25 06:32:48,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00045939,0.2763276789,,,,Confirm Order,
0x2bced1b0494120d75d5c80a89a577fd45d1027d7bdd5832fb6cdd9ebee62481f,14414743,1637821986,2021-11-25 06:33:06,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00131155,0.7889104405,,,,Set Financial Agreement Parties,
0xa545e78cd059ed0a6beca9bea376f82813f7c7161028eeca4cf90881def78529,14414746,1637821995,2021-11-25 06:33:15,0x9049ce69906d3cd891556810c39f09ea921fc087,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00029898,0.1798394598,,,,Confirm Financial Agreement,
0x307eab45b2085840225d04ed0fd9a02aa41d1fe2ed8d59d1d7124fb4a2ec3a67,14414749,1637822004,2021-11-25 06:33:24,0x9049ce69906d3cd891556810c39f09ea921fc087,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00129979,0.7818366829,,,,Set LC Agreement,
0xa899462ea29247a471cfc0a95c1c934807e10f20c1027856d99ec33d9a004fac,14414753,1637822016,2021-11-25 06:33:36,0x9049ce69906d3cd891556810c39f09ea921fc087,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00047817,0.2876240367,,,,Add Document,
0xc40291a424b9143dc26e38f2d1e27533c28aed7606c0bab596bf7b33ab3181e7,14414757,1637822028,2021-11-25 06:33:48,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00046521,0.2798284671,,,,Validate Document,
0x8b48725197b76da7090fb70cacbaa7911c8119e17b2a6a6784f233d1d83802af,14414760,1637822037,2021-11-25 06:33:57,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00180568,1.0861345768,,,,Set Shipping Agreement,
0x60855058ceb0801f8cddf8e05898782a21231be8f666fd2c3ae64f91812c1534,14414763,1637822046,2021-11-25 06:34:06,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00028947,0.1741190997,,,,Verify Goods,
0x2fa9dc04fb6ecd4c53e6e912328109278ec4536f15ad7eaa3db143ba587f3c57,14414766,1637822055,2021-11-25 06:34:15,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00030902,0.1858786202,,,,Verify Goods,
0xca907e3d2a0377455de3f96b328f55ac4e829b73864976112ed91d0c522c063e,14414770,1637822067,2021-11-25 06:34:27,0x209b153a796c1924b675e5cd9476384cd38e9387,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00033529,0.2016802879,,,,Initiate Shipment,
0xdfc9c0065d7324ed864ac83c2e0acbc65ee8cfd128f918d05cc42b676b1d431d,14414773,1637822076,2021-11-25 06:34:36,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.0003095,0.186167345,,,,Verify Goods,
0xd4a7555a41c55ece18a1b3c0cfa3e3d2d2f986ef6a2e2ec9d3a6428c3b5cfa7d,14414776,1637822085,2021-11-25 06:34:45,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00029996,0.1804289396,,,,Confirm Shipment,
0xcda85172afe16367bb3971b646f33d22a481d8c0351e9d7d98583ecfdc567402,14414779,1637822094,2021-11-25 06:34:54,0x9049ce69906d3cd891556810c39f09ea921fc087,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00109441,0.6582985591,,,,Set Payment Agreement,
0x6225860437e798287cac167b750dfca40855053833817fbd66512a5c1cded57e,14414782,1637822103,2021-11-25 06:35:03,0x9049ce69906d3cd891556810c39f09ea921fc087,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00030958,0.1862154658,,,,Initiate Payment,
0x54d463f34ccb7797e40083557e5e699beb69445a2c8ac4734cee8e52c9c4e58a,14414785,1637822112,2021-11-25 06:35:12,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00030052,0.1807657852,,,,Processpayment,
0x50877d9b1b530c62c27790aed2572cb74d8d7d26dfdd9aa1dc869cc333229a70,14414788,1637822121,2021-11-25 06:35:21,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x30c8f8b8b5897cbb7f0c4b918dd2f1a7df78c46f,,0,0,0,0.00031835,0.1914907085,,,,Payment Received,
