Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $638.03/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x7458665720cfb685faa149ca855cff02a3b92ecc9e85b48915615e9692d94564,14421871,1637843374,2021-11-25 12:29:34,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x47511d54c87436ef18eea20938e60ce4611176fa,0,0,0,0.05180387,33.0524231761,,,,Accepire-BT Contract,
0x41cbd1e6133844480f9d050b8afd7123026f79abda0bd9fee794ed2ad116ed55,14421874,1637843383,2021-11-25 12:29:43,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00106755,0.6811289265,,,,Set Sales Agreement,
0x275364534eedfabca79b780503ffb1ee64b75f328a56ade32c9801fd1b0b5fb8,14421877,1637843392,2021-11-25 12:29:52,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.0017923,1.143541169,,,,Add Order,
0xcea27f0e02f466177ffd4123b87ac89c381e88ef3780705e9aab143ca2c3eace,14421880,1637843401,2021-11-25 12:30:01,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00108906,0.6948529518,,,,Create Invoice,
0xe10d848a7cbb10b9741f598acd1fe5f20e9a2bf0edfbba78cb9fcf2b7371c302,14421884,1637843413,2021-11-25 12:30:13,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00044003,0.2807523409,,,,Confirm Invoice,
0xd5a8808828be2176b7a70c24def550b8e0bdbfeca35e8fcde2e5a5eee87a5026,14421887,1637843422,2021-11-25 12:30:22,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00045939,0.2931046017,,,,Confirm Order,
0xac5fa51b0ac84613513045290fbe2eb706fd9d597f01ca74d563ec7d1ee0c267,14421891,1637843434,2021-11-25 12:30:34,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00131155,0.8368082465,,,,Set Financial Agreement Parties,
0xdf42ff29693264b4a9acbb64f03e29099423f46468fb4bdc43ab132678dec8b1,14421895,1637843446,2021-11-25 12:30:46,0x9049ce69906d3cd891556810c39f09ea921fc087,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00029898,0.1907582094,,,,Confirm Financial Agreement,
0x58a1b8f40bd51846d1916a9ceb04feb67525156f604b30a9171d32028685dcf4,14421898,1637843455,2021-11-25 12:30:55,0x9049ce69906d3cd891556810c39f09ea921fc087,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00129979,0.8293050137,,,,Set LC Agreement,
0x5494d8aa187af19ac9ad2830cfe91fb6ca4aa11803e9929a598aec0da3c7b0bd,14421901,1637843464,2021-11-25 12:31:04,0x9049ce69906d3cd891556810c39f09ea921fc087,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00047817,0.3050868051,,,,Add Document,
0xc209ef4fc6da508ef9e9ac833ac392fe490f5efc71757025b0e545d3919db080,14421905,1637843476,2021-11-25 12:31:16,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00046521,0.2968179363,,,,Validate Document,
0x482a4fb1818d2c86f2dff1cdc54c204a47a76613197deee9e23323c5d7858306,14421908,1637843485,2021-11-25 12:31:25,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00180568,1.1520780104,,,,Set Shipping Agreement,
0xfed296c17bf452b17522116615694e43dd87732da2498126890939ad4ed3f04e,14421911,1637843494,2021-11-25 12:31:34,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00028947,0.1846905441,,,,Verify Goods,
0x3421a2a09d652fbd2e3caac549a276cc13db90c46335b0d1a0602b43239970ef,14421915,1637843506,2021-11-25 12:31:46,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00030902,0.1971640306,,,,Verify Goods,
0xfd369befdd7bbaf5d919c9d480f2975b988314c78bea7181d5498e26bc548ddd,14421917,1637843512,2021-11-25 12:31:52,0x209b153a796c1924b675e5cd9476384cd38e9387,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00033529,0.2139250787,,,,Initiate Shipment,
0x3438239f4ce92fb6019962017c08411e9c562e0533900db96452943597187014,14421921,1637843524,2021-11-25 12:32:04,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.0003095,0.197470285,,,,Verify Goods,
0x2ce9af0351933b189532a2cd6aa74f42241e22c3655572cebaf5ff88d008b789,14421924,1637843533,2021-11-25 12:32:13,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00029996,0.1913834788,,,,Confirm Shipment,
0xec43dcba945453f7db47440c2ef2c4689169f0bca185a7f1bc690aa74e0aeb2d,14421927,1637843542,2021-11-25 12:32:22,0x9049ce69906d3cd891556810c39f09ea921fc087,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00109441,0.6982664123,,,,Set Payment Agreement,
0x93b2c65b59ca92da0317b4c1efded474a2814bf8cd85aeaa318784cfbf8e401e,14421930,1637843551,2021-11-25 12:32:31,0x9049ce69906d3cd891556810c39f09ea921fc087,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00030958,0.1975213274,,,,Initiate Payment,
0x2422aa41d23c30395f13b8e1231b8f43e13f829bd225f0fb95b1f133dc5cb906,14421933,1637843560,2021-11-25 12:32:40,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x47511d54c87436ef18eea20938e60ce4611176fa,,0,0,0,0.00030052,0.1917407756,,,,Processpayment,
