Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $653.07/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0xd3c06ea2dced54594668dfe5f84bd1a3fda2cf0d5ae51ca10c264ea6b113024c,14437459,1637890139,2021-11-26 01:28:59,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,0,0,0,0.093246966,60.89679608562,,,,Accepire-BT Contract,
0x9e7218a293ca4036d6d0db86423f9b292dae2119d82c1d5437ded633d7eaf49d,14437462,1637890148,2021-11-26 01:29:08,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.00192159,1.2549327813,,,,Set Sales Agreement,
0xbdb200928f482098655ba69c102450ddd6dc6b0197f63fb53623a2d70a747469,14437466,1637890160,2021-11-26 01:29:20,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.00322614,2.1068952498,,,,Add Order,
0x33bf741b4b978a0d1ca62c44b4fd62861b95e70bcd930e6dd44f00d44c65a9d9,14437469,1637890169,2021-11-26 01:29:29,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.001960308,1.28021834556,,,,Create Invoice,
0x43a2cd5fb6d988202e21d78645196bd878ea003f2265b6037e1d8e372c5bcc67,14437472,1637890178,2021-11-26 01:29:38,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.000792054,0.51726670578,,,,Confirm Invoice,
0xaf9de663ad7600abcd25160e1963330cf857b8fc43d59ff372f80a683d94f99c,14437475,1637890187,2021-11-26 01:29:47,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.000826902,0.54002488914,,,,Confirm Order,
0x558ea7a4d3ff887e0eb539fd4bf0c0f01c61b69588f1b6aaa4112f9d2d7b169e,14437480,1637890202,2021-11-26 01:30:02,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.00236079,1.5417611253,,,,Set Financial Agreement Parties,
0x4b5154ca0e4036ce65e2e72d6116c36e266d2063be6148df5f400b58a1094e1d,14437483,1637890211,2021-11-26 01:30:11,0x9049ce69906d3cd891556810c39f09ea921fc087,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.000538164,0.35145876348,,,,Confirm Financial Agreement,
0xce7a0a24f9af97e8be72fb0e76435508cf88f571ac1b7907481b5558d4762b38,14437486,1637890220,2021-11-26 01:30:20,0x9049ce69906d3cd891556810c39f09ea921fc087,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.002339622,1.52793693954,,,,Set LC Agreement,
0x666fef2e511a856aff8f07b7c0ad82b40828a3f2e60eddf29564575757b56afc,14437489,1637890229,2021-11-26 01:30:29,0x9049ce69906d3cd891556810c39f09ea921fc087,0xda3b78a37fd3c930169dc5cc8091a6b3bd9d2708,,0,0,0,0.000860706,0.56210126742,,,,Add Document,
