Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $619.02/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x79dd5b7c08f2198434d328cb37591c923fc0bb358843c92b5fe8565225249753,14443186,1637907321,2021-11-26 06:15:21,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,0,0,0,0.05180387,32.0676316074,,,,Accepire-BT Contract,
0xce2b29f7f9bdbf7977510f1c52f250b9bc187297b67aeaa2eb36ff8ee0111844,14443189,1637907330,2021-11-26 06:15:30,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.00106755,0.660834801,,,,Set Sales Agreement,
0xda1dfc5a4d893929867d8e81876021cffa400b7710a98362c7ae5a8e4e75fe78,14443191,1637907336,2021-11-26 06:15:36,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.0017923,1.109469546,,,,Add Order,
0x0350ae5283017fea08d23f2a93bae1a81cb756d889df8eb0cacfd644d00ea95a,14443195,1637907348,2021-11-26 06:15:48,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.00108906,0.6741499212,,,,Create Invoice,
0x7824edc581f5f5458b8babc3a60397712799d48e5b642b79b11c2793f0bdf880,14443198,1637907357,2021-11-26 06:15:57,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.00044003,0.2723873706,,,,Confirm Invoice,
0x2746bdacc964989a4f2187b2c6dd88d4be67f29ad90d7493647dadc266256c4a,14443201,1637907366,2021-11-26 06:16:06,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.00045939,0.2843715978,,,,Confirm Order,
0x52c487700791e6d4a0ead4fa4e81d88aac3e6dabc263a3181e23b30039992bc1,14443206,1637907381,2021-11-26 06:16:21,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.00131155,0.811875681,,,,Set Financial Agreement Parties,
0x1b91539a7f02e9a47b0cf5f464a7fd0a0ffed57fa3bddf99df40111d2cb18553,14443209,1637907390,2021-11-26 06:16:30,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.00029898,0.1850745996,,,,Confirm Financial Agreement,
0x0dc3af1e9b03f9d9355a99e6b1914894b6eacb1c923ab269b57382fd60fd8485,14443212,1637907399,2021-11-26 06:16:39,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.00129979,0.8045960058,,,,Set LC Agreement,
0x91159b30710b897f0de3e7320ba1892d9516fc4011f29fc8b3051825bb08ff4c,14443216,1637907411,2021-11-26 06:16:51,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf486781386c5ca291819a5b7a3a29f00578d6e4b,,0,0,0,0.00047817,0.2959967934,,,,Add Document,
