Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $580.23/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0xd5e6b3dad614bf08bff75569d9cc8340c6bf57cacf6f18e79e3006411803934f,14445975,1637915688,2021-11-26 08:34:48,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,0,0,0,0.05180387,30.0581594901,,,,Accepire-BT Contract,
0xce5939eb60dd4f3c60791257ce71cb36e9332d1367b7e0990395c35a1877767c,14445978,1637915697,2021-11-26 08:34:57,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00106755,0.6194245365,,,,Set Sales Agreement,
0xe78666d242593e8fd7e589841b496cbceb6b14bd75a1cd32b4eb674cf1fe3a95,14445981,1637915706,2021-11-26 08:35:06,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.0017923,1.039946229,,,,Add Order,
0xa3a07163e065eaf919a3c1068344046236bca2b2c7625be8295aaf1905cac282,14445985,1637915718,2021-11-26 08:35:18,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00108906,0.6319052838,,,,Create Invoice,
0x1665b963b73966b89de5ba842db186fbf8d8deb77d3f606c17c487a8b0ad035c,14445988,1637915727,2021-11-26 08:35:27,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00044003,0.2553186069,,,,Confirm Invoice,
0xa208c39e827b8bfe688fcd6e72c69a91574579f9051d012dc460abcf3ede215e,14445991,1637915736,2021-11-26 08:35:36,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00045939,0.2665518597,,,,Confirm Order,
0x12abd0d6fc6f00e15fbad0e34b72085cf691bb4bd2a7fb4aad7ffde5a1193402,14445997,1637915754,2021-11-26 08:35:54,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00131155,0.7610006565,,,,Set Financial Agreement Parties,
0x4c97a46257ebdc8ecfb22a6c34542238bfac0d06d84ca1757e0dd7c5e4b5c11e,14446001,1637915766,2021-11-26 08:36:06,0x9049ce69906d3cd891556810c39f09ea921fc087,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00029898,0.1734771654,,,,Confirm Financial Agreement,
0xadbe19dcc6829d284fa682c4d6d52aacfe30e48e9e82f98169e6b20c7d20ea96,14446004,1637915775,2021-11-26 08:36:15,0x9049ce69906d3cd891556810c39f09ea921fc087,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00129979,0.7541771517,,,,Set LC Agreement,
0x1062d1c0ff6df4cd1386c07b861f4455ba2af669c43378d6f570a0fb5f05d9ac,14446008,1637915787,2021-11-26 08:36:27,0x9049ce69906d3cd891556810c39f09ea921fc087,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00047817,0.2774485791,,,,Add Document,
0xf8bac8f8c97c3b4f744706b65dae7e065d531f9a1e0561a4d80101f5c49909b6,14446012,1637915799,2021-11-26 08:36:39,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00046521,0.2699287983,,,,Validate Document,
0x3952661cee27a7a9f956a8d4cf4d77344b365965b8499f23e9be5fbfc28f3ee6,14446015,1637915808,2021-11-26 08:36:48,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00180568,1.0477097064,,,,Set Shipping Agreement,
0xff189cb2f20ddd78cf3ad8f73606cddf0e6e4c194ebc4ee26a289d16c4d7b99b,14446018,1637915817,2021-11-26 08:36:57,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00028947,0.1679591781,,,,Verify Goods,
0x9abc3fe02ee941e8cd497acc9adf677b8ef25a07179d64b12d99c05eb5acf9d4,14446021,1637915826,2021-11-26 08:37:06,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00030902,0.1793026746,,,,Verify Goods,
0x37775c1503392f98f530e54f7ac483fa8208169d34c40ef89f15d617e9193cf6,14446024,1637915835,2021-11-26 08:37:15,0x209b153a796c1924b675e5cd9476384cd38e9387,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00033529,0.1945453167,,,,Initiate Shipment,
0x158ee98791e2fe756d11f1ffb4d76cd6075e2fa86ae27ccca25ab9f9e3c9986b,14446028,1637915847,2021-11-26 08:37:27,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.0003095,0.179581185,,,,Verify Goods,
0xc4fb6039f49d302d378cfb2975d635fde0fb65891f9271b5c8381559151036a2,14446031,1637915856,2021-11-26 08:37:36,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00029996,0.1740457908,,,,Confirm Shipment,
0xc914d1169ed890318e0a2381fd81179e3dcc396eeb1f1d4507a5c04fa3362505,14446034,1637915865,2021-11-26 08:37:45,0x9049ce69906d3cd891556810c39f09ea921fc087,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00109441,0.6350095143,,,,Set Payment Agreement,
0xeb7afd672ad60531e20bd7999d1ccc83e2751a46e2968846b1a5f49ceea363f7,14446037,1637915874,2021-11-26 08:37:54,0x9049ce69906d3cd891556810c39f09ea921fc087,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00030958,0.1796276034,,,,Initiate Payment,
0x084df62e0714b8e2e509d980aa1eea9271669ef5717cd186eacb20f126a435a9,14446040,1637915883,2021-11-26 08:38:03,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00030052,0.1743707196,,,,Processpayment,
0x4681debd90620151941947dcfc679c4c135aa823c7cc48c4aa3b47d2f5370e71,14446043,1637915892,2021-11-26 08:38:12,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xd6c7c39cf6817e20f824fa2c20a16ccbc9241d50,,0,0,0,0.00031835,0.1847162205,,,,Payment Received,
