Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $588.62/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0xe22d822f989c42fca343d9aaec8beea14549b1a56d3f86ff68ac22cb47f54fcb,14453066,1637936963,2021-11-26 14:29:23,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x3e7ab59909ff7a1b910c99a873466466ece6068f,0,0,0,0.05180387,30.4927939594,587.42,,,Accepire-BT Contract,
0xa640b18d3ee8404fd63f3c225a73db5b5a2963fab50ff7361538c19304d2733b,14453068,1637936969,2021-11-26 14:29:29,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00106755,0.628381281,587.42,,,Set Sales Agreement,
0x7329a38f3f99bd3cd655c9b1c95888fbbed4aff76f5fe59903d967582fc766d0,14453079,1637937002,2021-11-26 14:30:02,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.0017923,1.054983626,587.42,,,Add Order,
0x0d833678d1f367f7b555785eb37df8952c10dd9f7be72605bc6c3fc44b9624a2,14453082,1637937011,2021-11-26 14:30:11,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00108906,0.6410424972,587.42,,,Create Invoice,
0x51ebb3318d2fdec36a01891bd26123c96d701a97e87fb16ae1efedd1a2b9d765,14453086,1637937023,2021-11-26 14:30:23,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00044003,0.2590104586,587.42,,,Confirm Invoice,
0x789fbe088d7ccfcaa21087b5879d9158fafac066e455a6d6b08a6fea5e9ab9d8,14453090,1637937035,2021-11-26 14:30:35,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00045939,0.2704061418,587.42,,,Confirm Order,
0xa220c4a3b062b0a09b3745e39304bc18364b79e324695ba7f1d28f01be5a2831,14453095,1637937050,2021-11-26 14:30:50,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00131155,0.772004561,587.42,,,Set Financial Agreement Parties,
0xe4a62ab25c253a211e6ca628baed87e3cd5e1c6ad133480d3ff492b9351c8fbd,14453098,1637937059,2021-11-26 14:30:59,0x9049ce69906d3cd891556810c39f09ea921fc087,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00029898,0.1759856076,587.42,,,Confirm Financial Agreement,
0x92128466d2571ef4daa7f66a2d719dddd9a2a9a70fcf886d5ca604af04370c35,14453102,1637937071,2021-11-26 14:31:11,0x9049ce69906d3cd891556810c39f09ea921fc087,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00129979,0.7650823898,587.42,,,Set LC Agreement,
0x73d6bbaa576615e01fab9051c44ccef26926a77465aaf8946ae3ccf4a04711fa,14453105,1637937080,2021-11-26 14:31:20,0x9049ce69906d3cd891556810c39f09ea921fc087,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00047817,0.2814604254,587.42,,,Add Document,
0x30ec95e550466ecbf4568fa79446631aa56b178de42ea43264305e5051b0a827,14453110,1637937095,2021-11-26 14:31:35,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00046521,0.2738319102,587.42,,,Validate Document,
0x80da4ce6aa0bdd14f1491ed18f4c9b5b006613c4583965bd71649aa94e1b6606,14453113,1637937104,2021-11-26 14:31:44,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00180568,1.0628593616,587.42,,,Set Shipping Agreement,
0xc5553c9e7df3865425ffd321babcea1a13b41222edbdabe52f55a3d29e41b9a6,14453116,1637937113,2021-11-26 14:31:53,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00028947,0.1703878314,587.42,,,Verify Goods,
0x86ea7320edefea5334b50993302385ae1606e2275df7a28724c2d25683cd3921,14453120,1637937125,2021-11-26 14:32:05,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00030902,0.1818953524,587.42,,,Verify Goods,
0xd43dfb0313238513edd3d51dc5c4e309af4159c455f990e832b4be873fb6fedd,14453123,1637937134,2021-11-26 14:32:14,0x209b153a796c1924b675e5cd9476384cd38e9387,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00033529,0.1973583998,587.42,,,Initiate Shipment,
0x412b86307444c723ba9f9a4920b837026d73beae58ee1d933e6fbe0bf87c8f2e,14453126,1637937143,2021-11-26 14:32:23,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.0003095,0.18217789,587.42,,,Verify Goods,
0xd1b63839a423083716ddff8a4306e2b7d008a9c89798a6a7cf9efcc7e922a69d,14453129,1637937152,2021-11-26 14:32:32,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00029996,0.1765624552,587.42,,,Confirm Shipment,
0x149fb55ad4e2cfadb0790d3cad6df9a5f1e1f69cb01fc444c106f51f47d54c1a,14453132,1637937161,2021-11-26 14:32:41,0x9049ce69906d3cd891556810c39f09ea921fc087,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00109441,0.6441916142,587.42,,,Set Payment Agreement,
0x5f64f2600dacf02778bafb3640fc4f699f08f5cea4c8df892d5afbd4d35d1958,14453136,1637937173,2021-11-26 14:32:53,0x9049ce69906d3cd891556810c39f09ea921fc087,0x3e7ab59909ff7a1b910c99a873466466ece6068f,,0,0,0,0.00030958,0.1822249796,587.42,,,Initiate Payment,
