Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $589.29/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x4c49c1c23094bd481dd3e7ea8a993189f0f18e31e7f8ff57bbc56ef9be953535,14466483,1637977215,2021-11-27 01:40:15,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,0,0,0,0.093246966,54.94950459414,,,,Accepire-BT Contract,
0xbf079df00b939f544569de57c522bb9f906a6839344e3fe1d26d7a52c7f32cf8,14466486,1637977224,2021-11-27 01:40:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.00192159,1.1323737711,,,,Set Sales Agreement,
0xa59e3dde2c2a031187d127d27998dcfc536905911fe91be70ec1721b4ca325bc,14466489,1637977233,2021-11-27 01:40:33,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.00322614,1.9011320406,,,,Add Order,
0x6abd00d0c8443cb85028aec529852dad1d0bc706a50ebb3160540ae729e8694c,14466492,1637977242,2021-11-27 01:40:42,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.001960308,1.15518990132,,,,Create Invoice,
0x7e80437fe2f99a35d52ffbca911fefc291dd6461f405402988570f7604500265,14466496,1637977254,2021-11-27 01:40:54,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.000792054,0.46674950166,,,,Confirm Invoice,
0xb63a1bf50fdbe8c21e248d8d812e58a3cc8c852dd4d1309da3fdb4484aa3b8ba,14466499,1637977263,2021-11-27 01:41:03,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.000826902,0.48728507958,,,,Confirm Order,
0x6ee28495f8721bf10adcfd6d65588223a58d60cab1eea683f01bd37f5be50877,14466504,1637977278,2021-11-27 01:41:18,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.00236079,1.3911899391,,,,Set Financial Agreement Parties,
0x8cbb2af8ab4c0c44ba1bab876938f8e149eea09079d2fc1bd2d8119f88e38813,14466507,1637977287,2021-11-27 01:41:27,0x9049ce69906d3cd891556810c39f09ea921fc087,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.000538164,0.31713466356,,,,Confirm Financial Agreement,
0xc71319c6f3bceeeeafe23ce52c48a2228e0386d46ac4ca8491624a09a3d150e2,14466510,1637977296,2021-11-27 01:41:36,0x9049ce69906d3cd891556810c39f09ea921fc087,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.002339622,1.37871584838,,,,Set LC Agreement,
0x21d32eee7aab8e73c29caba52a47b52937b22ff62905c338d88460db43ee66bb,14466513,1637977305,2021-11-27 01:41:45,0x9049ce69906d3cd891556810c39f09ea921fc087,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.000860706,0.50720543874,,,,Add Document,
0x1f3e65d4fb08add5d87eb95035123c2e91640f02c3d92d0170de94de7b13cb89,14466517,1637977317,2021-11-27 01:41:57,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.000837378,0.49345848162,,,,Validate Document,
0x3a54d4d89709a736bbcb77274b2d83e6a84db9feefca2fcd2365ab9fd7298953,14466521,1637977329,2021-11-27 01:42:09,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.003250224,1.91532450096,,,,Set Shipping Agreement,
0xc91dfefc56651ea1faab1b130ab9086e84fd2e989f40634173dc3d14258114ee,14466524,1637977338,2021-11-27 01:42:18,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.000521046,0.30704719734,,,,Verify Goods,
0x3ed6e6f1db35ca788eeeeca54c16ec07d826196488e7cfe8c56a0d0b7290d24b,14466527,1637977347,2021-11-27 01:42:27,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.000556236,0.32778431244,,,,Verify Goods,
0x0768702a248ce0eb12bab608dcc62a738908c9d0ee381ebc2153c16ea4be5218,14466530,1637977356,2021-11-27 01:42:36,0x209b153a796c1924b675e5cd9476384cd38e9387,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.000603522,0.35564947938,,,,Initiate Shipment,
0xaf0b45bf194feaea13af4a9ca339abea0c2fc67f55d91be01fd862c3db930ea0,14466533,1637977365,2021-11-27 01:42:45,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.0005571,0.328293459,,,,Verify Goods,
0x784b37d637a4d5c14d2ecbf638e3e762dff092cd3a5ae519784457bf89964076,14466536,1637977374,2021-11-27 01:42:54,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.000539928,0.31817417112,,,,Confirm Shipment,
0x8f8a973555e5133d4a309af92e74372e426e0d7333e62d57836712988f2cd047,14466540,1637977386,2021-11-27 01:43:06,0x9049ce69906d3cd891556810c39f09ea921fc087,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.001969938,1.16086476402,,,,Set Payment Agreement,
0xbc82cc80644887b247bc9aba1e09ba0ebb9b2dc95c7eaa6f6c68bc395f6cff2e,14466543,1637977395,2021-11-27 01:43:15,0x9049ce69906d3cd891556810c39f09ea921fc087,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.000557244,0.32837831676,,,,Initiate Payment,
0x61df30b1a2640775d4be766a776b4f98311246194423cc51c9e5464fb6ff304e,14466546,1637977404,2021-11-27 01:43:24,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.000540936,0.31876817544,,,,Processpayment,
0x7713ff80b6a68d42159ca77628fac2ae9fd240d3e58e471b84ac419e1daedc62,14466549,1637977413,2021-11-27 01:43:33,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x724a4f0869e36cd93da3fa0c4ae9fa650ed5410f,,0,0,0,0.00057303,0.3376808487,,,,Payment Received,
