Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $589.48/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x3e43a127172e000eb770c60c84df45797ad4e2de204f8b17bb037681bb1bd812,14470803,1637990175,2021-11-27 05:16:15,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x8920e333c2703c0506e7e18e814f9b5946ff271b,0,0,0,0.05180387,30.5373452876,,,,Accepire-BT Contract,
0xecdc707b22e32f0e1ef82bbb7f1f96e0fef9e5a19102ec5627e7f7d842a2ef35,14470806,1637990184,2021-11-27 05:16:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00106755,0.629299374,,,,Set Sales Agreement,
0x9f382129acd993d31d31ba5e92c48efcc67184f23b6dff5f453db69a2127a6e4,14470810,1637990196,2021-11-27 05:16:36,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.0017923,1.056525004,,,,Add Order,
0x0062dcfdd2ab2edec38c8458fda905299e704f1071e17372618f19a24930d06f,14470813,1637990205,2021-11-27 05:16:45,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00108906,0.6419790888,,,,Create Invoice,
0x993aca50a70d9099564fd11099956d8bb4a1e3b961ffe2477ea98586a6d60ff6,14470816,1637990214,2021-11-27 05:16:54,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00044003,0.2593888844,,,,Confirm Invoice,
0x0c4dccefe1a961ba9f57fcd63e83ce46270a463f93bc1c3eb8450b415138c3ff,14470819,1637990223,2021-11-27 05:17:03,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00045939,0.2708012172,,,,Confirm Order,
0x965275416a16460cb06807d3b7caddd949a275ea671bbdf79b813127d86d7a9d,14470824,1637990238,2021-11-27 05:17:18,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00131155,0.773132494,,,,Set Financial Agreement Parties,
0x07aa5b9bed6a00ea1d503c5d18c08288665db53b7d5f90a0c333fc0f9c2c6934,14470827,1637990247,2021-11-27 05:17:27,0x9049ce69906d3cd891556810c39f09ea921fc087,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00029898,0.1762427304,,,,Confirm Financial Agreement,
0xe65e653b42fed8ac5670c310106a32a0027bbdadff2558580556bfd01e36786b,14470830,1637990256,2021-11-27 05:17:36,0x9049ce69906d3cd891556810c39f09ea921fc087,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00129979,0.7662002092,,,,Set LC Agreement,
0xabf62f43d2e37c1b76f24d93ae5f64e156ea54f75e3df2ccb5eb2fa9b33e9637,14470833,1637990265,2021-11-27 05:17:45,0x9049ce69906d3cd891556810c39f09ea921fc087,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00047817,0.2818716516,,,,Add Document,
0x092ba7edfe6c3cfeb7613fde8d2b36bc76163bd4f677e5eca1f4738fad59763b,14470837,1637990277,2021-11-27 05:17:57,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00046521,0.2742319908,,,,Validate Document,
0x3b25f14b4e4980a80bd6dbe3d263e917d6b10e4f1354cc543a2163c4087dfb81,14470841,1637990289,2021-11-27 05:18:09,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00180568,1.0644122464,,,,Set Shipping Agreement,
0x6140f05dca05265d64722de48e19ddbaed06bffb215a50e97e37a552c6533908,14470844,1637990298,2021-11-27 05:18:18,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00028947,0.1706367756,,,,Verify Goods,
0xc090720108b21aa711a4c5d6df7f87de09b06235a13fdaaf211fd62144f1963a,14470847,1637990307,2021-11-27 05:18:27,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00030902,0.1821611096,,,,Verify Goods,
0xa2cc5f4c131ad5cf69e7919b72df4d26a410126ef6c63d55413a08278b0f7bfb,14470850,1637990316,2021-11-27 05:18:36,0x209b153a796c1924b675e5cd9476384cd38e9387,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00033529,0.1976467492,,,,Initiate Shipment,
0x04cb5cfc320ac4c9ccb855a1480b4c750d10dfcf9f718d9d36db6ea3f6a0fb21,14470853,1637990325,2021-11-27 05:18:45,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.0003095,0.18244406,,,,Verify Goods,
0xf1baf41bc7c40200bd34b8dea154a8a4ecceefdff4d992133b6944a315afd8c6,14470856,1637990334,2021-11-27 05:18:54,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00029996,0.1768204208,,,,Confirm Shipment,
0x2461e0334d4b006dad042e5ed6cd29fdfe46c14b293acf575179cf772079fd75,14470859,1637990343,2021-11-27 05:19:03,0x9049ce69906d3cd891556810c39f09ea921fc087,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00109441,0.6451328068,,,,Set Payment Agreement,
0x5ac3e2c4ea33c40bd9a04ff25690e3eca33a7f6525bc9e03a62e0c6113d225ab,14470862,1637990352,2021-11-27 05:19:12,0x9049ce69906d3cd891556810c39f09ea921fc087,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00030958,0.1824912184,,,,Initiate Payment,
0x40605ca912cf5308163b8c78539820f0d702dbf1694b40a41e20e69516c16319,14470865,1637990361,2021-11-27 05:19:21,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x8920e333c2703c0506e7e18e814f9b5946ff271b,,0,0,0,0.00030052,0.1771505296,,,,Processpayment,
