Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $580.21/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x362dc1eae8575da2712439fc9ed6eb4a228c573ae10375fd19a09c0c4702fd53,14482990,1638026737,2021-11-27 15:25:37,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,0,0,0,0.05180387,30.0571234127,600.62,,,Accepire-BT Contract,
0x831d59147d3fa19b68155e51e085bc7ae58a592a46144da60cc9b9f61e306c8d,14482993,1638026746,2021-11-27 15:25:46,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00106755,0.6194031855,600.62,,,Set Sales Agreement,
0x258db7218b879d4e02a58073920a325f399a513e63048fe46f4f8f0489828286,14482996,1638026755,2021-11-27 15:25:55,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.0017923,1.039910383,600.62,,,Add Order,
0xd1429e9b2085dd67a28aee30f225d1262b73f5ecc49f9b184a5362a5f83cb8cc,14482999,1638026764,2021-11-27 15:26:04,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00108906,0.6318835026,600.62,,,Create Invoice,
0x60bea428e7192942d15515341cb3a9482a6c5881c9de5ceaf9e2a6dcf10599c1,14483003,1638026776,2021-11-27 15:26:16,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00044003,0.2553098063,600.62,,,Confirm Invoice,
0x509a5e6436c5422a083eccc81caf25ad110fe4522b82f1f5dd2a17ef185a88ed,14483007,1638026788,2021-11-27 15:26:28,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00045939,0.2665426719,600.62,,,Confirm Order,
0x7f1c18488fa7d867877f08b7ef7cff83f4615bb4ef29cdff68ccd5c111590d96,14483012,1638026803,2021-11-27 15:26:43,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00131155,0.7609744255,600.62,,,Set Financial Agreement Parties,
0x529435d5b070c2999bde1ec0df71dc10aefcde2fbee091a3595da327c9f603ea,14483015,1638026812,2021-11-27 15:26:52,0x9049ce69906d3cd891556810c39f09ea921fc087,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00029898,0.1734711858,600.62,,,Confirm Financial Agreement,
0xa140b6bd1c3c49301213b694a1262fb9ca8939da9adaace974ccd0118f4e8be5,14483018,1638026821,2021-11-27 15:27:01,0x9049ce69906d3cd891556810c39f09ea921fc087,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00129979,0.7541511559,600.62,,,Set LC Agreement,
0xd9061016db87a5c41b1c618c74b8efe6d1c386a93e1ebf9c5c2ae5d9a508f9dd,14483021,1638026830,2021-11-27 15:27:10,0x9049ce69906d3cd891556810c39f09ea921fc087,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00047817,0.2774390157,600.62,,,Add Document,
0x34e70192373a83875f69f7c88fd47603ab06b8e3f615e6067c313abb71035078,14483025,1638026842,2021-11-27 15:27:22,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00046521,0.2699194941,600.62,,,Validate Document,
0x2b9cde2dc0cade0838b1117f17d2eaa2489bbf7bf5971daa86e5666f9ab54e60,14483028,1638026851,2021-11-27 15:27:31,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00180568,1.0476735928,600.62,,,Set Shipping Agreement,
0x980e8fcbf2990772ff73d96eebef9b526451de9fbb394a80f919532f64e174b8,14483031,1638026860,2021-11-27 15:27:40,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00028947,0.1679533887,600.62,,,Verify Goods,
0xb9ffc8a3f6b1f674484b75c223ced6cc1e3e513ae52cbe23e7ab010a399fe747,14483034,1638026869,2021-11-27 15:27:49,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00030902,0.1792964942,600.62,,,Verify Goods,
0x43e40ea6ab4fc1a8011662122affe75b9218fa43920829288c224b6e331a8c3a,14483037,1638026878,2021-11-27 15:27:58,0x209b153a796c1924b675e5cd9476384cd38e9387,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00033529,0.1945386109,600.62,,,Initiate Shipment,
0x15401c8a7a5e40a590d14bad3b31a233b8c2d56669bdabf089d34292746794a8,14483041,1638026890,2021-11-27 15:28:10,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.0003095,0.179574995,600.62,,,Verify Goods,
0xc3d086d781fc6ee5ec2a922995860e5773e13e04eb8fec88d95b11ff7808aa28,14483044,1638026899,2021-11-27 15:28:19,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00029996,0.1740397916,600.62,,,Confirm Shipment,
0x131b83e208d722fc6981820fd59acb136eb3b1d52eb68ec8ae4ba92d8fadab0c,14483047,1638026908,2021-11-27 15:28:28,0x9049ce69906d3cd891556810c39f09ea921fc087,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00109441,0.6349876261,600.62,,,Set Payment Agreement,
0x7125c9540c607d7f1afedfb23f487012c151939ea3478f063a8bf92feb566fd2,14483050,1638026917,2021-11-27 15:28:37,0x9049ce69906d3cd891556810c39f09ea921fc087,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00030958,0.1796214118,600.62,,,Initiate Payment,
0x570591c073832bc5c75beafd3c05e83931614c3c3af8d7153aed58d43339730e,14483053,1638026926,2021-11-27 15:28:46,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00030052,0.1743647092,600.62,,,Processpayment,
0xe230a6f2a52fb93af994ba4232f6841360ed1e4c2c668a31de10108c47896950,14483056,1638026935,2021-11-27 15:28:55,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xbbb3462f8b79f8d2223e96b3c71485b416865a40,,0,0,0,0.00031835,0.1847098535,600.62,,,Payment Received,
