Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $580.1/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x33e9e8a86a9b98c847d564689db5c5254dfce27361222a4e2c09c8cd781853ca,14498732,1638074015,2021-11-28 04:33:35,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xf4cfd811310975c5803dba57272839d8111fcf9e,0,0,0,0.093246966,54.0925649766,,,,Accepire-BT Contract,
0x456c37dadeb3f3a8ce7b5cbd526f64841b9e412d56ce9c9953f2a73b608ee233,14498737,1638074030,2021-11-28 04:33:50,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.00192159,1.114714359,,,,Set Sales Agreement,
0x8898d3efc767442f69600b80e08bb4e06bc8f47add9b977067ebc45247e37fb9,14498741,1638074042,2021-11-28 04:34:02,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.00322614,1.871483814,,,,Add Order,
0xefb378e64c8b08a52310509bc23ff80351ef778b73daee432801d4592ec3786f,14498748,1638074063,2021-11-28 04:34:23,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.001960308,1.1371746708,,,,Create Invoice,
0x56124d900bfd88772308172cb7a8e931b80e6dc936e34f050e2f88f4ee839ce3,14498752,1638074075,2021-11-28 04:34:35,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000792054,0.4594705254,,,,Confirm Invoice,
0x5e01f2367e09d4689fa2d11a3ebdf0d5b280ebd7a99d10c117ed8d7ab091e11c,14498758,1638074093,2021-11-28 04:34:53,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000826902,0.4796858502,,,,Confirm Order,
0x38c869145cb80c6b5610c73d39d8fbf40428cb213097c52c4b153a571364ae49,14498766,1638074117,2021-11-28 04:35:17,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.00236079,1.369494279,,,,Set Financial Agreement Parties,
0xb643865c71093a643e98f21f85dbd216a6d53c98f01267170b18b14dec4a7a0a,14498770,1638074129,2021-11-28 04:35:29,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000538164,0.3121889364,,,,Confirm Financial Agreement,
0x9a2585486bb21dde0eb2ba3012738eab5058d9db157f694bc9f3e6d59bd9d1a4,14498777,1638074150,2021-11-28 04:35:50,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.002339622,1.3572147222,,,,Set LC Agreement,
0x54b348497e9bd83dbc8c1cd3059984d78a65a9f6c3bbdbf1f589db60058d00c7,14498781,1638074162,2021-11-28 04:36:02,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000860706,0.4992955506,,,,Add Document,
0xca2ee8655952c2204b628b348853e702dba6604d3d2079eab69ccc50678c958e,14498790,1638074189,2021-11-28 04:36:29,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000837378,0.4857629778,,,,Validate Document,
0x5fb77f8f72360cde590300686b15ced2568efd3dd44f7cc632b53846d3140f24,14498798,1638074213,2021-11-28 04:36:53,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.003250224,1.8854549424,,,,Set Shipping Agreement,
0xc9b0907c4f39e826939e88fa25ab6cc2beb11b4b48ea2ecb4bc0f732276d4fc7,14498803,1638074228,2021-11-28 04:37:08,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000521046,0.3022587846,,,,Verify Goods,
0xcd5fd535785f39b12951621fd48c2009ab760272a98812ef9d863cc486bfb896,14498808,1638074243,2021-11-28 04:37:23,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000556236,0.3226725036,,,,Verify Goods,
0x42b002f090c1beae0e2d9fc8cd024c54d80c92bdcee9dbeab256fb963c07384a,14498815,1638074264,2021-11-28 04:37:44,0x209b153a796c1924b675e5cd9476384cd38e9387,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000603522,0.3501031122,,,,Initiate Shipment,
0x005332c33f1fa97a4179a79520fb642cc71116a6dc51e8dfd3954dbc121d16f0,14498821,1638074282,2021-11-28 04:38:02,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.0005571,0.32317371,,,,Verify Goods,
0x9c29c1bd329d3c7c0e55b4a994432a07c81ebfa4842732c3f926aee4c8e3768c,14498827,1638074300,2021-11-28 04:38:20,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000539928,0.3132122328,,,,Confirm Shipment,
0x9bb1e9f30a347c49a02afb13428ecc4f5eb0225a31a36c249fb036733e5897c2,14498837,1638074330,2021-11-28 04:38:50,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.001969938,1.1427610338,,,,Set Payment Agreement,
0x36d4858288f0ea9f91ac1c913f667c8ea7d1e27dac3f489168c77a43da80f26f,14498842,1638074345,2021-11-28 04:39:05,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000557244,0.3232572444,,,,Initiate Payment,
0x7cfa004a8fee4171bad6011612fb1816a43733f8129fce172eb9d68b0efb6898,14498850,1638074369,2021-11-28 04:39:29,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.000540936,0.3137969736,,,,Processpayment,
0x860844f7fd4c6d2298b2aa6d14ca4c3f9ccf943b877283167aeaa80854975e5b,14498855,1638074384,2021-11-28 04:39:44,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf4cfd811310975c5803dba57272839d8111fcf9e,,0,0,0,0.00057303,0.332414703,,,,Payment Received,
