Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $586.04/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x8b8f1c3d2e3b440cb576513f081fb3e20e6603c5b1ee59842277c213eb72207e,14503522,1638088385,2021-11-28 08:33:05,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,0,0,0,0.093246966,54.64645195464,,,,Accepire-BT Contract,
0xea903e3a48a6362d2b1dcb68176299154a62af920587918c29fed1c982caba7f,14503529,1638088406,2021-11-28 08:33:26,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.00192159,1.1261286036,,,,Set Sales Agreement,
0x8d52841b8a998bc945f495d8116c4e19fc52e24f0ba10db70ef17d40ed3c6033,14503534,1638088421,2021-11-28 08:33:41,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.00322614,1.8906470856,,,,Add Order,
0x2777e7d36e493d484d165e10e4177807edead11a84b7a03fcaa336b18dd25cb7,14503541,1638088442,2021-11-28 08:34:02,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.001960308,1.14881890032,,,,Create Invoice,
0x18b24380ef9bca3b59f034e48131d25cf02d6464772630314920bf4fad8c9f30,14503547,1638088460,2021-11-28 08:34:20,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.000792054,0.46417532616,,,,Confirm Invoice,
0xc1526befe98ac8766852396db5d0f5ab3d6b4ea62707cdda1b0dc70be04a2da6,14503554,1638088481,2021-11-28 08:34:41,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.000826902,0.48459764808,,,,Confirm Order,
0x825b5555b9221f7fbf8672be14d1e3c866157d1014f39cfea8c576668655b3d3,14503566,1638088517,2021-11-28 08:35:17,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.00236079,1.3835173716,,,,Set Financial Agreement Parties,
0x53e4deaf0dc27a38325cb0d8ac56ea671b71d44d082de0850ebc0f9e9369c8ca,14503571,1638088532,2021-11-28 08:35:32,0x9049ce69906d3cd891556810c39f09ea921fc087,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.000538164,0.31538563056,,,,Confirm Financial Agreement,
0xde2bf9a3b1ac4f138d1d398465d1e5411776da548be6ce621745ebfcfe6cde24,14503577,1638088550,2021-11-28 08:35:50,0x9049ce69906d3cd891556810c39f09ea921fc087,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.002339622,1.37111207688,,,,Set LC Agreement,
0x78c02edc59a7616e0fe76424b27551996ec6bd62b4dbf7f09d9e9652ee27662e,14503585,1638088574,2021-11-28 08:36:14,0x9049ce69906d3cd891556810c39f09ea921fc087,0xef3a172f5ef42cc8b435c2a734076fefd902c7fb,,0,0,0,0.000860706,0.50440814424,,,,Add Document,
