Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $597.76/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x41f2b239f90c9f85d325b2165b2d19b8ad704078fc6ab06c4f78d5822bdfe0c4,14507233,1638099518,2021-11-28 11:38:38,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,0,0,0,0.093246966,55.73930639616,,,,Accepire-BT Contract,
0xe129f9ce65f5e0d4b7f49a70957497ab86ede5f44f5d1363821d2fd6f448ab84,14507239,1638099536,2021-11-28 11:38:56,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.00192159,1.1486496384,,,,Set Sales Agreement,
0x6446a6e7b5c5205f4827683506d90bb3e1fee2fc3139eab19241249727d30d34,14507245,1638099554,2021-11-28 11:39:14,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.00322614,1.9284574464,,,,Add Order,
0xdbb3e7207c132aeac20cdf089a17f24eca30bd77136975f1bec1e0cb44abcfcd,14507255,1638099584,2021-11-28 11:39:44,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.001960308,1.17179371008,,,,Create Invoice,
0x7c3c261f844de818b31425eda7d421109590fb5406ef7c60fc6f72c8c91ac237,14507264,1638099611,2021-11-28 11:40:11,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.000792054,0.47345819904,,,,Confirm Invoice,
0x8ab642868d0cabc37c4d4f38fae5e5eec393ca7b57b4e14a0d23615641b6e5be,14507275,1638099644,2021-11-28 11:40:44,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.000826902,0.49428893952,,,,Confirm Order,
0x9c5ccee272e10f75aa53ae608733549827d742dc3d4bb936806d3b76bd8141b4,14507299,1638099716,2021-11-28 11:41:56,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.00236079,1.4111858304,,,,Set Financial Agreement Parties,
0x824cd5b680bbd7c343f314d5e1f7cec3860a3983257d5b7edc503e31a81fd2a4,14507309,1638099746,2021-11-28 11:42:26,0x9049ce69906d3cd891556810c39f09ea921fc087,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.000538164,0.32169291264,,,,Confirm Financial Agreement,
0x09ccb3ad7f40f8ab2e2b8e3e0f71f3020faed52a57bd214d699853262d1f8e19,14507319,1638099776,2021-11-28 11:42:56,0x9049ce69906d3cd891556810c39f09ea921fc087,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.002339622,1.39853244672,,,,Set LC Agreement,
0x5d0aeb233c387344594a3bc4b4dd455953fc827df882b6c704d5a6ed636786ad,14507329,1638099806,2021-11-28 11:43:26,0x9049ce69906d3cd891556810c39f09ea921fc087,0xbc2be7c35b7caf7457fee462a4b6573a24e8c38f,,0,0,0,0.000860706,0.51449561856,,,,Add Document,
