Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $612.74/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x2df337590af01e15e02007058a4d2a6c03fc405c08ebbe88ccb97f5f5a4d08eb,14511599,1638112620,2021-11-28 15:17:00,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x266ca192ed1d51af109391951656828798d1a691,0,0,0,0.05180387,31.7423033038,611.95,,,Accepire-BT Contract,
0xac283fa5409be9072ded4498ac9fb4a91711d01fd5c4ca79a277560183896a06,14511603,1638112632,2021-11-28 15:17:12,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00106755,0.654130587,611.95,,,Set Sales Agreement,
0xacb8c29d7d49cd2088c9092bf797fdeb452f70c5f411c47e438480b043be9bd9,14511609,1638112650,2021-11-28 15:17:30,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.0017923,1.098213902,611.95,,,Add Order,
0xfb3c4b5ae9226d6c2cd9c7a34e6fd7ebb0b2ed0f7ab195055ab1a17ccb17a3b1,14511617,1638112674,2021-11-28 15:17:54,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00108906,0.6673106244,611.95,,,Create Invoice,
0x61dc5b82c5c6f60df6813c2057dc5d7e58f102a43275dd4bcce49f5045db2419,14511623,1638112692,2021-11-28 15:18:12,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00044003,0.2696239822,611.95,,,Confirm Invoice,
0x75dbcfb16b18f995d65979f04e8ba53c1a726d8c5d2344a140d227873375b7c6,14511630,1638112713,2021-11-28 15:18:33,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00045939,0.2814866286,611.95,,,Confirm Order,
0x646e27ef7b4454aa0ae06120dd3f4c9c337ff65ba8515c2c32f548a042e209c0,14511649,1638112770,2021-11-28 15:19:30,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00131155,0.803639147,611.95,,,Set Financial Agreement Parties,
0x4e71aad450f25739ec6a18ded89705d11596c5dd9b24d980ae83b7482e6d394f,14511654,1638112785,2021-11-28 15:19:45,0x9049ce69906d3cd891556810c39f09ea921fc087,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00029898,0.1831970052,611.95,,,Confirm Financial Agreement,
0x78fc21f987ea44413419d53e4082d32a1ab5e1edbdff9a5268764666eed277c1,14511662,1638112809,2021-11-28 15:20:09,0x9049ce69906d3cd891556810c39f09ea921fc087,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00129979,0.7964333246,611.95,,,Set LC Agreement,
0xdddfb2b0c0e896616eb7e297bc782d663eacf180bbb8aa901a6abd31735287da,14511667,1638112824,2021-11-28 15:20:24,0x9049ce69906d3cd891556810c39f09ea921fc087,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00047817,0.2929938858,611.95,,,Add Document,
0x5dd30bf98bf8791810a59c9debef36f19c03c8f2b4ccb1b21156e5b86a2ab482,14511680,1638112863,2021-11-28 15:21:03,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00046521,0.2850527754,611.95,,,Validate Document,
0x12e73f2f65cb3dbb31d6238b66fba612bee00e0bdb7678df31ab8d0115d0db38,14511686,1638112881,2021-11-28 15:21:21,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00180568,1.1064123632,611.95,,,Set Shipping Agreement,
0x5ac99aa123bdb2ef43e89484ec75f52ec41aa2a57dc415a72aadbb7d7262ee6f,14511690,1638112893,2021-11-28 15:21:33,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00028947,0.1773698478,611.95,,,Verify Goods,
0x1f556d280b01157b6117d9c3a606d5774a2a3fec6e91a066f6a289d8e2e48cec,14511694,1638112905,2021-11-28 15:21:45,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00030902,0.1893489148,611.95,,,Verify Goods,
0xa0cfcd55f469a496aa4018a61c782f9e034171f749b261155fb6008b94f4a719,14511702,1638112929,2021-11-28 15:22:09,0x209b153a796c1924b675e5cd9476384cd38e9387,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00033529,0.2054455946,611.95,,,Initiate Shipment,
0xf085137b7f5444aa9611ac7ece5dccd82ef86f679e4a14d54e35c09d2c21bef6,14511707,1638112944,2021-11-28 15:22:24,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.0003095,0.18964303,611.95,,,Verify Goods,
0x536bc3979b6daf16dfbbff48371dd2ddefcb7a4e3f33ac9897d91979120641ba,14511714,1638112965,2021-11-28 15:22:45,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00029996,0.1837974904,611.95,,,Confirm Shipment,
0xa8ce7ddfde733d1667bef042ec3fe5ce52e46be8657d728678cc6cd4729c2295,14511720,1638112983,2021-11-28 15:23:03,0x9049ce69906d3cd891556810c39f09ea921fc087,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00109441,0.6705887834,611.95,,,Set Payment Agreement,
0x08d4f6eb2f5a5d82eada9444f8c9d2b28f8551b0449aca506213897c5eb05939,14511725,1638112998,2021-11-28 15:23:18,0x9049ce69906d3cd891556810c39f09ea921fc087,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00030958,0.1896920492,611.95,,,Initiate Payment,
0xb9b1bdf5cae2e58eb43ecf1adad9bc88f1c1a5e49a792d2a86b54ca6b5e45b8d,14511732,1638113019,2021-11-28 15:23:39,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00030052,0.1841406248,611.95,,,Processpayment,
0x457bcfca60d22f9a8b6eeda7f886a7124e08950d8997cad005a995952b638196,14511740,1638113043,2021-11-28 15:24:03,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x266ca192ed1d51af109391951656828798d1a691,,0,0,0,0.00031835,0.195065779,611.95,,,Payment Received,
