Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $614.87/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x29eedf04bc5d9507f14afd163433fa32c9c89f652400c477df6b7c84a4e2f408,14524260,1638150634,2021-11-29 01:50:34,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x4d892e45c0e9dedd4428d5e2138900e83465c44d,0,0,0,0.0740795341,45.549283132067,,,,Accepire-BT Contract,
0x6f40f8c3ff0aa616aca69cad815c65d1c8569642d45ec2fa4fd11dbe9f2685fb,14524264,1638150646,2021-11-29 01:50:46,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x4d892e45c0e9dedd4428d5e2138900e83465c44d,,0,0,0,0.0015265965,0.938658389955,,,,Set Sales Agreement,
0x0ee6ccbb47d1c0854761d47da55b6718e7f769ea2a3851ce27b6424c96f44815,14524271,1638150667,2021-11-29 01:51:07,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x4d892e45c0e9dedd4428d5e2138900e83465c44d,,0,0,0,0.002562989,1.57590504643,,,,Add Order,
0x5095e12ee908475c90abdc14cedb97d952ad3352dcd6ece7156fe8ba83c4ebf2,14524279,1638150691,2021-11-29 01:51:31,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x4d892e45c0e9dedd4428d5e2138900e83465c44d,,0,0,0,0.0015573558,0.957571360746,,,,Create Invoice,
0x8ba7b78f478ac114be37dce5808bc85290585653c708883b0a4975fe73609c99,14524286,1638150712,2021-11-29 01:51:52,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x4d892e45c0e9dedd4428d5e2138900e83465c44d,,0,0,0,0.0006292429,0.386902581923,,,,Confirm Invoice,
0x964be5dfbf6c84ffe413406d4fca4930bae92ef5dc36932a3cd4f3db1b1bf1ad,14524294,1638150736,2021-11-29 01:52:16,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x4d892e45c0e9dedd4428d5e2138900e83465c44d,,0,0,0,0.0006569277,0.403925134899,,,,Confirm Order,
0xa76d8a4b69dc17d1e52c4ba53125e64d082d73b9d3c0dfd6d6516164f8437b87,14524311,1638150787,2021-11-29 01:53:07,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x4d892e45c0e9dedd4428d5e2138900e83465c44d,,0,0,0,0.0018755165,1.153198830355,,,,Set Financial Agreement Parties,
0x8f9822a47ef05c3c426a7d89178c71656cf24447c9c489ce2700c17ba58c6962,14524319,1638150811,2021-11-29 01:53:31,0x9049ce69906d3cd891556810c39f09ea921fc087,0x4d892e45c0e9dedd4428d5e2138900e83465c44d,,0,0,0,0.0004275414,0.262882380618,,,,Confirm Financial Agreement,
0x705ca131bd89df49f44cefc1b8a0c7250b55730c5e85e2f8e36cc131f21480a4,14524327,1638150835,2021-11-29 01:53:55,0x9049ce69906d3cd891556810c39f09ea921fc087,0x4d892e45c0e9dedd4428d5e2138900e83465c44d,,0,0,0,0.0018586997,1.142858684539,,,,Set LC Agreement,
0x8324448c4479a2be435f7593370d7c76f3c07abc2f823168aa2d5783659d0b4a,14524332,1638150850,2021-11-29 01:54:10,0x9049ce69906d3cd891556810c39f09ea921fc087,0x4d892e45c0e9dedd4428d5e2138900e83465c44d,,0,0,0,0.0006837831,0.420437714697,,,,Add Document,
