Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $627.88/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method,
0x793f8225e52f96fee04ca2306eaa5b612cb37116dd6eb51b0d94ce2becd3028a,14540194,1638198440,2021-11-29 15:07:20,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xf6ca5cf2634e612b2eb26e24f1c8c8e455ec5c4e,0,0,0,0.05180387,32.5266138956,624.12,,,Accepire-BT Contract,
0xc39c5b1b2c2abdff1c0f6eb99220193100ebe1ba37ef77bc2d97c57d76133a0c,14540197,1638198449,2021-11-29 15:07:29,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf6ca5cf2634e612b2eb26e24f1c8c8e455ec5c4e,,0,0,0,0.00106755,0.670293294,624.12,,,Set Sales Agreement,
0x172a37894e7a055360f6e04c565d2dc6b097d27ed255a2b2fb79bfdc5006f437,14540200,1638198458,2021-11-29 15:07:38,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf6ca5cf2634e612b2eb26e24f1c8c8e455ec5c4e,,0,0,0,0.0017923,1.125349324,624.12,,,Add Order,
0xaf729153fa1e47cee4c6570673f15c84bfa2cc9ba2eee249f8908024740c1aab,14540203,1638198467,2021-11-29 15:07:47,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf6ca5cf2634e612b2eb26e24f1c8c8e455ec5c4e,,0,0,0,0.00108906,0.6837989928,624.12,,,Create Invoice,
0x3d80c84d147c44cfb38438a1249c5a46c70d5b8e8b8c13cc49f00cc2f6d49d98,14540206,1638198476,2021-11-29 15:07:56,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf6ca5cf2634e612b2eb26e24f1c8c8e455ec5c4e,,0,0,0,0.00044003,0.2762860364,624.12,,,Confirm Invoice,
0x91d0fe801edf063e73749b2d434f15acbac265b9754a8b360ca23dddebfe7cb1,14540209,1638198485,2021-11-29 15:08:05,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xf6ca5cf2634e612b2eb26e24f1c8c8e455ec5c4e,,0,0,0,0.00045939,0.2884417932,624.12,,,Confirm Order,
0x675a99d449748cb844d4a1720f73969f3d6c00a846f159940db74d7f24c5a1ed,14540214,1638198500,2021-11-29 15:08:20,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xf6ca5cf2634e612b2eb26e24f1c8c8e455ec5c4e,,0,0,0,0.00131155,0.823496014,624.12,,,Set Financial Agreement Parties,
0xe9d9ba0b3f89adc14a444c463829acb4791c6e6b442600233956d594c890a221,14540217,1638198509,2021-11-29 15:08:29,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf6ca5cf2634e612b2eb26e24f1c8c8e455ec5c4e,,0,0,0,0.00029898,0.1877235624,624.12,,,Confirm Financial Agreement,
0xc1aa1cc0feffc492a630a339ba0f127a42580f48ea897bb1d573499651be0144,14540220,1638198518,2021-11-29 15:08:38,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf6ca5cf2634e612b2eb26e24f1c8c8e455ec5c4e,,0,0,0,0.00129979,0.8161121452,624.12,,,Set LC Agreement,
0x468b1e59e2554eeeb96f6b59afcd206c2e8e13575ac2e86eac5331a31749e223,14540223,1638198527,2021-11-29 15:08:47,0x9049ce69906d3cd891556810c39f09ea921fc087,0xf6ca5cf2634e612b2eb26e24f1c8c8e455ec5c4e,,0,0,0,0.00047817,0.3002333796,624.12,,,Add Document,
