"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $2.528/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0xcdadd6d872b225c9a6b5cb0bca21408190ce3e6302a5af84a1f04ae2ec7f5f9c","5226373","1637821907","2021-11-25 06:31:47","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","0","0","0","0.007772212321905","0.0196481527497758","","","","0x60806040",""
"0xb2ed5a2271f878bb430b2294919c7b87f9fc00530a773ecd1f6f8baab3edd6e3","5226377","1637821914","2021-11-25 06:31:54","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.000168117797325","0.0004250017916376","","","","Set Sales Agreement",""
"0xd5d38c0e93b7b22d1d81fa5099e07849a7288a6fa41f6f75d02d4ff74850af32","5226383","1637821923","2021-11-25 06:32:03","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.00028783243212","0.00072764038839936","","","","Add Order",""
"0x7b0b9aac4397e95ace46ebd08bfdc9bf350b2a214993fd77dd3afce93e9ea7bf","5226389","1637821933","2021-11-25 06:32:13","0xd14960983333af76a1a5d02221ae6a71dd6ab1cd","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.000181122527745","0.00045787775013936","","","","Create Invoice",""
"0xf6bfe951e8e5cbf8f0fbb4aa67d5ea40884b5480168f08cf97f26799871eb8fb","5226392","1637821942","2021-11-25 06:32:22","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.000069919179945","0.00017675568690096","","","","Confirm Invoice",""
"0x5d94fc5c1210ae3bba1468ccd7dbc68267509b09d9929b70e434a76dc515b640","5226398","1637821951","2021-11-25 06:32:31","0xd14960983333af76a1a5d02221ae6a71dd6ab1cd","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.000073723978785","0.00018637421836848","","","","Confirm Order",""
"0x107510245e0a6b70230ebc13deff6ffbbf0c591ea460cd74b7b898f9e0af33d3","5226405","1637821972","2021-11-25 06:32:52","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.0002084443806525","0.00052694739428952","","","","Set Financial Agreement Parties",""
"0xab143f6b4596e7e987582ca071fd1fb5a81b9e6fea7f35c867df64d566754a1a","5226411","1637821982","2021-11-25 06:33:02","0x9049ce69906d3cd891556810c39f09ea921fc087","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.000044549539179","0.000112621235044512","","","","Confirm Financial Agreement",""
"0xa5c67b519b0f188ce0dd62db2d31ead877888f2b78377ddff0bfecbd1434a7a8","5226414","1637821992","2021-11-25 06:33:12","0x9049ce69906d3cd891556810c39f09ea921fc087","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.0002087803998045","0.000527796850705776","","","","Set LC Agreement",""
"0x8c23f2f0ac3529e7aab673bfc7bba56d20f1560965e29baaa94d9c98ecf5b21d","5226420","1637822001","2021-11-25 06:33:21","0x9049ce69906d3cd891556810c39f09ea921fc087","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.0000809071114425","0.00020453317772664","","","","Add Document",""
"0x43ad027543c2b6b18b4807fa66b6612f99f2878cb36001d8ee6fa6dfdc69d336","5226426","1637822017","2021-11-25 06:33:37","0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.000071586224379","0.000180969975230112","","","","Validate Document",""
"0xaa15234a8bb8307f0ee418d7361467709a95e8a5d31f6d9e7a47f7dcf545316f","5226433","1637822027","2021-11-25 06:33:47","0xd14960983333af76a1a5d02221ae6a71dd6ab1cd","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.000283320697932","0.000716234724372096","","","","Set Shipping Agreement",""
"0x6dcf77be81722815f9ad8938dc60c5672bcbc56ae81f133a3c28735fb9b816ac","5226437","1637822036","2021-11-25 06:33:56","0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.000044173415253","0.000111670393759584","","","","Verify Goods",""
"0x1ce9e126146ddf6182f9d8039763dba3020e5603a95efcd9d8522ef54b912342","5226440","1637822045","2021-11-25 06:34:05","0x413209e0c7b8bede4d6a510a8282fd7e92811eee","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.000051006366198","0.000128944093748544","","","","Verify Goods",""
"0x392f6815e1fc85d16526e9f117088bdc7e77f13b4ec2ed6dd8d70c790c8ed96d","5226448","1637822054","2021-11-25 06:34:14","0x209b153a796c1924b675e5cd9476384cd38e9387","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.000048796720371","0.000123358109097888","","","","Initiate Shipment",""
"0x006fedd6e712889650f4346c4b3ccbb4836952a1f4e453aac52fa0906c4ec167","5226452","1637822063","2021-11-25 06:34:23","0xe323b722518c16b903eb840d6ee00c504bfec25b","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.00005107837095","0.0001291261217616","","","","Verify Goods",""
"0x62f6d95e2929b4ca6ff8b1f4de4e088052353135a64b1c7d24a717b588b37e9f","5226456","1637822072","2021-11-25 06:34:32","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0x78b020d1514b403b258427a3bc85905c1ffa8ea5","","0","0","0","0.000044696949804","0.000112993889104512","","","","Confirm Shipment",""
