"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $2.505/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0x84d3cbdc97140430cafdfa27b25c25dd61949f9dd40f9813a68492789d121c36","5237758","1637843366","2021-11-25 12:29:26","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","","0xf23fa94a9ccb1709c37869f3b6921e045b922534","0","0","0","0.0077710234230885","0.0194664136748367","","","","0x60806040",""
"0x4b18eb870d662d7ebd56769e684134f58ee22f3a5620e2e1d7d0e10227d5aa27","5237764","1637843375","2021-11-25 12:29:35","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.0001680920807025","0.000421070662159762","","","","Set Sales Agreement",""
"0x1ea3a8d63c176a1b9368fafe277bb38434e0528a05b250becaa66b8318747258","5237767","1637843384","2021-11-25 12:29:44","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.000287788403004","0.00072090994952502","","","","Add Order",""
"0x7f480d991a30d506bcc36343f0d2a68467c89c11e70f5d45b8aaeeedd83fa7b6","5237773","1637843392","2021-11-25 12:29:52","0xd14960983333af76a1a5d02221ae6a71dd6ab1cd","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.0001810948218165","0.000453642528650332","","","","Create Invoice",""
"0xdd47b6193cebd5e011dec4dd52dcd6ab7efe98a558047b9c280e039ffb785445","5237779","1637843401","2021-11-25 12:30:01","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.0000699084845565","0.000175120753814032","","","","Confirm Invoice",""
"0x7e32c362cb493d05831569a77d1960783e33a28a1ae50a4560e7e8015fccc71f","5237789","1637843413","2021-11-25 12:30:13","0xd14960983333af76a1a5d02221ae6a71dd6ab1cd","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.0000737127013845","0.000184650316968172","","","","Confirm Order",""
"0xac38f4cd8ee03eb5e9d7f4df2de397284835f33c7d4d1a4ca49ef1fd13f04170","5237807","1637843435","2021-11-25 12:30:35","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.0002084443806525","0.000522153173534513","","","","Set Financial Agreement Parties",""
"0xf660b6f8ab965ca1ff7991ea06b6c25ccc36988c0399f79407af5292883ae672","5237815","1637843444","2021-11-25 12:30:44","0x9049ce69906d3cd891556810c39f09ea921fc087","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.000044549539179","0.000111596595643395","","","","Confirm Financial Agreement",""
"0xc2349447696260a0f883608fe5800d26b63f32b3ba8b5809d3dca201b0a1b133","5237823","1637843453","2021-11-25 12:30:53","0x9049ce69906d3cd891556810c39f09ea921fc087","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.0002087803998045","0.000522994901510272","","","","Set LC Agreement",""
"0xa6e21c24888be93df6d4b064e061965aac8a8036166e796ad24fbcb467fb9a44","5237832","1637843463","2021-11-25 12:31:03","0x9049ce69906d3cd891556810c39f09ea921fc087","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.0000809071114425","0.000202672314163463","","","","Add Document",""
"0x795666df3bcc2511d91a92a7f033f5a7b527fae5c650cb6594f8604a04abd1fa","5237847","1637843479","2021-11-25 12:31:19","0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.0000715855801455","0.000179321878264478","","","","Validate Document",""
"0x99cbb8f219e186a80aea5244cdb9554286ddf837c7854b6e4ebc11a14d943477","5237854","1637843489","2021-11-25 12:31:29","0xd14960983333af76a1a5d02221ae6a71dd6ab1cd","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.000283318148214","0.00070971196127607","","","","Set Shipping Agreement",""
"0x420a723031548895a34ec24ea6d661af694c0c643907b3ec828def00e0bfc65d","5237856","1637843498","2021-11-25 12:31:38","0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.0000441730177185","0.000110653409384842","","","","Verify Goods",""
"0x7cc05a9e0e40339de1f34e3d2edbee19834b7bc528d6b26b10bbcbcfe4bb1001","5237858","1637843504","2021-11-25 12:31:44","0x413209e0c7b8bede4d6a510a8282fd7e92811eee","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.000051005907171","0.000127769797463355","","","","Verify Goods",""
"0x3e2c98a34a28a3ffee23b7402a7c735d16d9cb8c5b89d9e9c318663190de0d5e","5237864","1637843518","2021-11-25 12:31:58","0x209b153a796c1924b675e5cd9476384cd38e9387","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.0000487962812295","0.000122234684479897","","","","Initiate Shipment",""
"0xbca563a040a06c0e4644d777e1522a72323c0a411ab86d70599865a2ceed97e2","5237875","1637843527","2021-11-25 12:32:07","0xe323b722518c16b903eb840d6ee00c504bfec25b","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.000051077911275","0.000127950167743875","","","","Verify Goods",""
"0xe05a4d7c16b5017d772461e393ae1e2ec74cad66efd03f37db217e5e8ddfa830","5237877","1637843537","2021-11-25 12:32:17","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.000044696547558","0.00011196485163279","","","","Confirm Shipment",""
"0x1981d9f22fdf7335711fa89880c7c8bd8c26984b7d6b1d6c68ca27b5a48abb17","5237881","1637843543","2021-11-25 12:32:23","0x9049ce69906d3cd891556810c39f09ea921fc087","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.0001733483802945","0.000434237692637722","","","","Set Payment Agreement",""
"0x7ab8c349d783d5c306d4ad9dec0e2fd195493f58d50fa820e326df5ad803f315","5237887","1637843556","2021-11-25 12:32:36","0x9049ce69906d3cd891556810c39f09ea921fc087","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.000048089740959","0.000120464801102295","","","","Initiate Payment",""
"0x51f1482986b085794c953be49abc4202dbda89dc84c2a6044bc5a7924ef944eb","5237895","1637843566","2021-11-25 12:32:46","0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25","0xf23fa94a9ccb1709c37869f3b6921e045b922534","","0","0","0","0.000044780552346","0.00011217528362673","","","","Processpayment",""
