"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $2.378/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0x4d0a49187dc68a94ad55ee2abcf5e25122ea0a231cef0747f39cf31cc015709f","5271945","1637907310","2021-11-26 06:15:10","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","0","0","0","0.0077710234230885","0.0184794937001045","","","","0x60806040",""
"0x794e85efa1ae42517b4df4df011a0dcdf8f829c62783b12811b33640c605d6b2","5271951","1637907319","2021-11-26 06:15:19","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.0001680920807025","0.000399722967910545","","","","Set Sales Agreement",""
"0x41cb62fc5302623d8e23d0664a3ac7303733aae52b453dc6433dc5ff824b90e0","5271956","1637907328","2021-11-26 06:15:28","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.000287788403004","0.000684360822343512","","","","Add Order",""
"0xeda1b2fe4b98840f34ca163e783a604ace6681e7e642deead5ec26947a42f23e","5271964","1637907338","2021-11-26 06:15:38","0xd14960983333af76a1a5d02221ae6a71dd6ab1cd","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.0001810948218165","0.000430643486279637","","","","Create Invoice",""
"0x395ffab0e8a8272cea5476a2d626bf062ce2f9969591cdfface3cc36510c47b1","5271971","1637907347","2021-11-26 06:15:47","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.0000699084845565","0.000166242376275357","","","","Confirm Invoice",""
"0x85abeeee2701f3fbd91923459d646e1bbaee3cede52626e38aa243d768949e72","5271980","1637907356","2021-11-26 06:15:56","0xd14960983333af76a1a5d02221ae6a71dd6ab1cd","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.0000737127013845","0.000175288803892341","","","","Confirm Order",""
"0x6b9357f9d0a9b7628d73872c0a52e91bd0f1fb6dd354f2d79a472d3b9355cbc7","5271995","1637907376","2021-11-26 06:16:16","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.0002084443806525","0.000495680737191645","","","","Set Financial Agreement Parties",""
"0xc134c1e3e2e148824136b7bda5df668cd46ad0ddef5ab63b31e4e7b643a0f055","5272006","1637907386","2021-11-26 06:16:26","0x9049ce69906d3cd891556810c39f09ea921fc087","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.000044549539179","0.000105938804167662","","","","Confirm Financial Agreement",""
"0x41ac8fc0da761e9a91f7d7b4aff0d96c65ed504208b1f3344cf69af95b3f88e6","5272010","1637907395","2021-11-26 06:16:35","0x9049ce69906d3cd891556810c39f09ea921fc087","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.0002087803998045","0.000496479790735101","","","","Set LC Agreement",""
"0xbeecc58ba807a229cb27ec1f2222145f7f5b812e88c3fc2856e0b86c920d20f0","5272012","1637907404","2021-11-26 06:16:44","0x9049ce69906d3cd891556810c39f09ea921fc087","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.0000809071114425","0.000192397111010265","","","","Add Document",""
"0x742d20cb1495e973acc1acbe9baf3a999efc58588334ca07b23429ec6d90a020","5272021","1637907420","2021-11-26 06:17:00","0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.0000715855801455","0.000170230509585999","","","","Validate Document",""
"0xd60b477b95c29512f77c970d6f442b63dbec079e53ae28de1173e01829671871","5272026","1637907430","2021-11-26 06:17:10","0xd14960983333af76a1a5d02221ae6a71dd6ab1cd","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.000283318148214","0.000673730556452892","","","","Set Shipping Agreement",""
"0xcc08507075c91729675d75fb084b2670574a479b8f20ff8c514c3344c6a28c82","5272029","1637907440","2021-11-26 06:17:20","0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.0000441730177185","0.000105043436134593","","","","Verify Goods",""
"0x94f0da0e5a41e00969edbe55fd30241ad057b69a6e03b9cd7a3e9269f90dfdb1","5272032","1637907450","2021-11-26 06:17:30","0x413209e0c7b8bede4d6a510a8282fd7e92811eee","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.000051005907171","0.000121292047252638","","","","Verify Goods",""
"0x6e0ef464e6273696b7c6ebbac74570e3af5100bd48faac29f4eeff4cb87196b4","5272038","1637907459","2021-11-26 06:17:39","0x209b153a796c1924b675e5cd9476384cd38e9387","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.0000487962812295","0.000116037556763751","","","","Initiate Shipment",""
"0x71690bb10f0bdf5571a41617c9a23c24bb66727d1d38f623154a8ee51aa2d0b2","5272043","1637907468","2021-11-26 06:17:48","0xe323b722518c16b903eb840d6ee00c504bfec25b","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.000051077911275","0.00012146327301195","","","","Verify Goods",""
"0xe70d1856ab49682bd3babe8de6490384f7e77abbbd0ca8e73234385f6c50abc3","5272047","1637907477","2021-11-26 06:17:57","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.000044696547558","0.000106288390092924","","","","Confirm Shipment",""
"0x8e590190f928ee84ba65eeee6e85f83d0994daae1898938ffea4559d449d8ad3","5272053","1637907486","2021-11-26 06:18:06","0x9049ce69906d3cd891556810c39f09ea921fc087","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.0001733483802945","0.000412222448340321","","","","Set Payment Agreement",""
"0x5eed45517034892c3b0b088d1105b7d84898cc27fef15d7705598d1a5c981aa0","5272057","1637907496","2021-11-26 06:18:16","0x9049ce69906d3cd891556810c39f09ea921fc087","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.000048089740959","0.000114357404000502","","","","Initiate Payment",""
"0xb5b26736a647141bab08fd870d38f90369dee8213e2f24acc5a3babf9eaa317e","5272063","1637907505","2021-11-26 06:18:25","0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.000044780552346","0.000106488153478788","","","","Processpayment",""
"0x395d5363d0e2cb58c26b3b9696ce95ff39b48849a16fe2061bcd058180f48250","5272069","1637907514","2021-11-26 06:18:34","0xd14960983333af76a1a5d02221ae6a71dd6ab1cd","0xb34f67b62eeaeb41cb940cfb6b9c73f83168e979","","0","0","0","0.0000456821037315","0.000108632042673507","","","","Payment Received",""
