"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $2.147/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0xf1222e12436a2d5fd3ef4311900d81c108ecac976fdcb78e4507db434586dafc","5276504","1637915682","2021-11-26 08:34:42","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","","0x7ef23e05fd1cc71be2474dca1215475c02466a21","0","0","0","0.0077710234230885","0.016684387289371","","","","0x60806040",""
"0x5c88fae355d44649f147550923922ab8e641c591db93660ef7c8d1c646785939","5276509","1637915690","2021-11-26 08:34:50","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.0001680920807025","0.000360893697268267","","","","Set Sales Agreement",""
"0xd915c0e5a38b1244f0c43a54d1f0917c9fee60f3c0e6726599a9119f99f9d0de","5276514","1637915698","2021-11-26 08:34:58","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.000288312435816","0.000619006799696952","","","","Add Order",""
"0x2ffbabc60c026f5251c9b5afbda700aadcb2ef179a9d93d4f06715355c66a36e","5276523","1637915708","2021-11-26 08:35:08","0xd14960983333af76a1a5d02221ae6a71dd6ab1cd","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.0001810948218165","0.000388810582440025","","","","Create Invoice",""
"0x82e697e45e18ef5ed5b18c5fbf28fd3443569a1cc8648f46c19ec96193f33c48","5276527","1637915717","2021-11-26 08:35:17","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.0000699084845565","0.000150093516342805","","","","Confirm Invoice",""
"0xe912deb5e3485284121af06d37d4c2288f39cfdfe5bc33b58e9e1faca411ee75","5276537","1637915727","2021-11-26 08:35:27","0xd14960983333af76a1a5d02221ae6a71dd6ab1cd","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.0000737127013845","0.000158261169872521","","","","Confirm Order",""
"0x8ad629996dead240691858ca843f27eebdd087dcff3ac41dbdc41d41924589ee","5276556","1637915747","2021-11-26 08:35:47","0xb48b8d4a342054be5bf03981fd36358bf4e2bd29","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.0002084443806525","0.000447530085260917","","","","Set Financial Agreement Parties",""
"0x39560aea820b57fa0ce489a827abf96d975111fa5b684f4d5931f6218480c848","5276563","1637915756","2021-11-26 08:35:56","0x9049ce69906d3cd891556810c39f09ea921fc087","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.000044549539179","0.000095647860617313","","","","Confirm Financial Agreement",""
"0xfa38ffa17795e05bf92c547acddb07081d59ef44b76b9ff5d2cc6e7895f6425e","5276569","1637915767","2021-11-26 08:36:07","0x9049ce69906d3cd891556810c39f09ea921fc087","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.0002087803998045","0.000448251518380261","","","","Set LC Agreement",""
"0xcb48c6135154104465802e9d93d8573efad7700481344a16d2a8ec53b00d9b31","5276575","1637915776","2021-11-26 08:36:16","0x9049ce69906d3cd891556810c39f09ea921fc087","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.0000809071114425","0.000173707568267048","","","","Add Document",""
"0x6bb6a224b0e5a8ce57323d256dbe94b8075a0c892d05c930c21133da3f2c2cba","5276587","1637915792","2021-11-26 08:36:32","0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.0000715855801455","0.000153694240572388","","","","Validate Document",""
"0xc3f4b67049aeb711fa1754fef41d1091e42798d5a8a87dcfae57ddcd913cc39e","5276591","1637915802","2021-11-26 08:36:42","0xd14960983333af76a1a5d02221ae6a71dd6ab1cd","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.000283318148214","0.000608284064215458","","","","Set Shipping Agreement",""
"0x7c4a7fff871d97fda779b7feab9bd2fad346d7bf1cb5c35d602ef6694aab7b0e","5276595","1637915811","2021-11-26 08:36:51","0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.0000441730177185","0.0000948394690416195","","","","Verify Goods",""
"0x81f288e96c2149874bd09ee34f4c4da03db3b38f9d390915191451b6e8fe90d0","5276599","1637915818","2021-11-26 08:36:58","0x413209e0c7b8bede4d6a510a8282fd7e92811eee","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.000051071701041","0.000109650942135027","","","","Verify Goods",""
"0x36e2cb8c9d5c662c57939cec85b69dd073524d558371aa4e48357b10926bfb5e","5276608","1637915830","2021-11-26 08:37:10","0x209b153a796c1924b675e5cd9476384cd38e9387","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.0000487962812295","0.000104765615799736","","","","Initiate Shipment",""
"0x641ced93c15b7c34a5246ef2f4e04e8be30552e202083134a8651ddf4b11bd10","5276611","1637915840","2021-11-26 08:37:20","0xe323b722518c16b903eb840d6ee00c504bfec25b","0x7ef23e05fd1cc71be2474dca1215475c02466a21","","0","0","0","0.000051077911275","0.000109664275507425","","","","Verify Goods",""
