Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(FTM),Value_OUT(FTM),CurrentValue @ $2.11/FTM,TxnFee(FTM),TxnFee(USD),Historical $Price/FTM,Status,ErrCode,Method,
0x6dcf7615dbd5d05d97f534b8d2199ea44a6f9408c4d2de7976ac75f71d68404b,5316118,1637990159,2021-11-27 05:15:59,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,0,0,0,0.0077710234230885,0.0163968594227167,,,,Accepire-BT Contract,
0xa85b972b3312a4e5d685edd00bbb0224149f98a24812248c352f6eb980251d3a,5316125,1637990168,2021-11-27 05:16:08,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.0001680920807025,0.000354674290282275,,,,Set Sales Agreement,
0x8659a4723c0cafd3991c590b7e9adfb23ffbc72ca7b534f878d461c5ff1a3b00,5316133,1637990177,2021-11-27 05:16:17,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000287788403004,0.00060723353033844,,,,Add Order,
0x24583593fd5692ff10011ff5bd02bf34f2c72b85d8402700c0548264f1f7153d,5316140,1637990186,2021-11-27 05:16:26,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.0001810948218165,0.000382110074032815,,,,Create Invoice,
0x9b592b82b13bc4c3666e74f10f0f2b63a06be9f92ae0b79cd3a5411765a46bf5,5316144,1637990196,2021-11-27 05:16:36,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.0000699084845565,0.000147506902414215,,,,Confirm Invoice,
0x398ad73bd042c66c89542c75322bdbfb1d1769c24c0a27536c45f44692fe5fac,5316147,1637990203,2021-11-27 05:16:43,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.0000737127013845,0.000155533799921295,,,,Confirm Order,
0x54a5c13843b3dd2098ce582e529ff6477dc3013eabfc6364c91a1c583fd62cbe,5316157,1637990226,2021-11-27 05:17:06,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.0002084443806525,0.000439817643176775,,,,Set Financial Agreement Parties,
0xb2925b1673cde4ffb0d978aab9250351121dbf3912d28981af28f28b950aab07,5316162,1637990235,2021-11-27 05:17:15,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000044549539179,0.00009399952766769,,,,Confirm Financial Agreement,
0x87cf4909ef011296c73df0db4cd49ea695b46afeefaf6e27ae01c4e9552dae38,5316163,1637990244,2021-11-27 05:17:24,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.0002087803998045,0.000440526643587495,,,,Set LC Agreement,
0xa925170ba4ef15922e83461622270836c97148751316ba1e4a9371594084ed88,5316168,1637990253,2021-11-27 05:17:33,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.0000809071114425,0.000170714005143675,,,,Add Document,
0x122d77dacd9dda42ea7f889b603113d3fd75ec0f438212387fd3a43411caee20,5316179,1637990271,2021-11-27 05:17:51,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.0000715855801455,0.000151045574107005,,,,Validate Document,
0x935fbe247604e45244ea076a88d2b82679788cb87681a25f1eda80f350df0732,5316182,1637990279,2021-11-27 05:17:59,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000283318148214,0.00059780129273154,,,,Set Shipping Agreement,
0x43d4e23560c40a98977587faac3299aa91c0708f0f3074394d1bc263dee686f9,5316186,1637990289,2021-11-27 05:18:09,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.0000441730177185,0.000093205067386035,,,,Verify Goods,
0x0f2d003b1710e2d2c29df37f1f2e6d76e1574d68ac3bc7e8d8b3576287fe9599,5316192,1637990298,2021-11-27 05:18:18,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000051005907171,0.00010762246413081,,,,Verify Goods,
0x06158d86f858c677b2147ad4c87a588b7261c340a6cfa16f278b4e7cc7cf011d,5316197,1637990303,2021-11-27 05:18:23,0x209b153a796c1924b675e5cd9476384cd38e9387,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.0000487962812295,0.000102960153394245,,,,Initiate Shipment,
0x03b2e3d39e72a75e50ef64c4f458479bf9143341da3324eb90ad3440bdad1605,5316202,1637990314,2021-11-27 05:18:34,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000051077911275,0.00010777439279025,,,,Verify Goods,
0xb9244fcde5d0500665b4aab51f0b80585d5609aee14f7229d5fec74c588b6ce5,5316205,1637990327,2021-11-27 05:18:47,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000044696547558,0.00009430971534738,,,,Confirm Shipment,
0x546823ef70e02753b1367d1b27fc9b69f75733f2a487b2a87a51c0ee91484868,5316211,1637990336,2021-11-27 05:18:56,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.0001733483802945,0.000365765082421395,,,,Set Payment Agreement,
0x8c61c491da8da3e702872fdc386b6a0c3d886d0687a90b00703e8b8ded86624c,5316216,1637990346,2021-11-27 05:19:06,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000048089740959,0.00010146935342349,,,,Initiate Payment,
0x823318834903a835874929fff3242c594b5058ea0b9d31430f3e34606ec46cf3,5316221,1637990355,2021-11-27 05:19:15,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000044780552346,0.00009448696545006,,,,Processpayment,
0x5eea928e3cebf637c2c86774db922e91f0b8fb3efb2d03364cf736368a7f4c3a,5316224,1637990364,2021-11-27 05:19:24,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.0000456821037315,0.000096389238873465,,,,Payment Received,
