Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(FTM),Value_OUT(FTM),CurrentValue @ $2.157155/FTM,TxnFee(FTM),TxnFee(USD),Historical $Price/FTM,Status,ErrCode,Method,
0x4d0935035c8d05c1aef48b4157c8d0800a3037c460fa1eb1263b66aeb96a0d73,5329978,1638016435,2021-11-27 12:33:55,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x50ac7933567e500beb3ed263cd1d7a03c580e434,0,0,0,0.007771093358313,0.0167634528933517,,,,Accepire-BT Contract,
0x7125a1584b0887da4e8632d2724d7c31241bfd5de00e59dc3fb04677b36db3c5,5329983,1638016442,2021-11-27 12:34:02,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.0001680920807025,0.000362600672347801,,,,Set Sales Agreement,
0x8254e8bcbd68e92810332d5b2cca231dcb0c31358e886ac7c64fe2a6f85f4952,5329988,1638016452,2021-11-27 12:34:12,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.000287788403004,0.000620804192482094,,,,Add Order,
0x30da086a34596799e9e0155026f8ace7204a42290f28d5f8fc52898acf65ab83,5329991,1638016460,2021-11-27 12:34:20,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.0001810948218165,0.000390649600355572,,,,Create Invoice,
0xdd40370db71fe97daf3d28ad35b31526420be4d25598152263f3223c39ffb638,5329995,1638016470,2021-11-27 12:34:30,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.0000699084845565,0.000150803437003477,,,,Confirm Invoice,
0x3a584cba2bbac04343046a508461971ee2afe87bc5d2f2fb91c77005149871c5,5329998,1638016479,2021-11-27 12:34:39,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.0000737127013845,0.000159009722355081,,,,Confirm Order,
0xe69319a1e85a6996c03a2090f979ecd30221d1ab3ba736e16a5049d0cadfff91,5330010,1638016499,2021-11-27 12:34:59,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.0002084443806525,0.000449646837946444,,,,Set Financial Agreement Parties,
0xa920bb65235fd1d9d8781302a626f437a261c28d05ee1026b98c6000541417a4,5330015,1638016508,2021-11-27 12:35:08,0x9049ce69906d3cd891556810c39f09ea921fc087,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.000044549539179,0.0000961002611876757,,,,Confirm Financial Agreement,
0x4799ec3ad8263b37fce5d3cf7290a085302a8ec38e9b321dd61f42c0cd84a501,5330020,1638016517,2021-11-27 12:35:17,0x9049ce69906d3cd891556810c39f09ea921fc087,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.0002087803998045,0.000450371683340276,,,,Set LC Agreement,
0x119d9a0f87710dc50d9cfb4472bab20c3023586f4d3ef4d50b8bb28495ec2888,5330028,1638016527,2021-11-27 12:35:27,0x9049ce69906d3cd891556810c39f09ea921fc087,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.0000809071114425,0.000174529179983746,,,,Add Document,
0x451f17189a7154f581d52c7d6aeb05dcfa81a27584a40a048746b0565742f9d5,5330040,1638016543,2021-11-27 12:35:43,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.0000715855801455,0.000154421192138766,,,,Validate Document,
0x34138028283806712ba7ebab9380f391479d3dcca9e1cf639de4b427156133ae,5330046,1638016553,2021-11-27 12:35:53,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.000283318148214,0.000611161160010571,,,,Set Shipping Agreement,
0x3428dbb287cc261b574d2d7b103ad27ab21708eb97c17e0f47a540f59d2903f2,5330055,1638016563,2021-11-27 12:36:03,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.0000441730177185,0.0000952880460365509,,,,Verify Goods,
0x9d201f13218f8403b911289ad8f5c9b629a3df6e20923e24ee45c42ab04a0ad6,5330062,1638016571,2021-11-27 12:36:11,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.000051005907171,0.000110027647683458,,,,Verify Goods,
0x890c0ad9c38845089b323f4ef7d4f25e9b47c9399102b76d66846b1aa2b4473a,5330072,1638016581,2021-11-27 12:36:21,0x209b153a796c1924b675e5cd9476384cd38e9387,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.0000487962812295,0.000105261142035622,,,,Initiate Shipment,
0xa502a5746bde5bd492565361ab62cf0df684e02ac60f285538bbe641b3ae4b42,5330077,1638016590,2021-11-27 12:36:30,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.000051077911275,0.000110182971696423,,,,Verify Goods,
0x66bdc612ddc9a31519e005322ad9d8a655535f9b52f0f2fd095b55410ab6ab5f,5330080,1638016599,2021-11-27 12:36:39,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.000044696547558,0.0000964173810474775,,,,Confirm Shipment,
0xec3ab0146c568997c5f547fbc642e843afd20c171a57c50c10748b63c2e7f7e9,5330088,1638016608,2021-11-27 12:36:48,0x9049ce69906d3cd891556810c39f09ea921fc087,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.0001733483802945,0.000373939325294182,,,,Set Payment Agreement,
0xbfaf6bf2e3f717f2def3658ad7936c9a1aea719d227a6b9c0277fb92b55727a3,5330096,1638016619,2021-11-27 12:36:59,0x9049ce69906d3cd891556810c39f09ea921fc087,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.000048089740959,0.000103737025158412,,,,Initiate Payment,
0xc5d1ddfb3dc5017e4cf724be95d99efc76c598fd0a41b9ccbf591d1425acfbdb,5330102,1638016628,2021-11-27 12:37:08,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.000044780552346,0.0000965985923959356,,,,Processpayment,
0x07e32d5256faca0f45449b3e947eaff7b56dbc0a05ad2def468bfbd075509276,5330110,1638016637,2021-11-27 12:37:17,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x50ac7933567e500beb3ed263cd1d7a03c580e434,,0,0,0,0.000045682514847,0.0000985442653147803,,,,Payment Received,
