Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(FTM),Value_OUT(FTM),CurrentValue @ $2.001/FTM,TxnFee(FTM),TxnFee(USD),Historical $Price/FTM,Status,ErrCode,Method,
0x376305f3293986188baff1b9ab97dcb6bd88228ae0ee15bd9fefc39350ee0fbf,5360482,1638073984,2021-11-28 04:33:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,0,0,0,0.0077710234230885,0.0155498178696001,,,,Accepire-BT Contract,
0x80dc721b9afb9080f5975746037080f44891a74664c4a0cfcca79e6bd1fac461,5360488,1638073993,2021-11-28 04:33:13,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.0001680920807025,0.000336352253485702,,,,Set Sales Agreement,
0x1ec3700b55e2cb7b4c24eb4fe11e0403d6aa9d97c7a677bc7f403f8f88c5821c,5360496,1638074003,2021-11-28 04:33:23,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.000287788403004,0.000575864594411004,,,,Add Order,
0x3ee913c07bd04724c0abd7f493b0a9ab78b385bc2a4eb8fce4ab71609a2aab73,5360500,1638074012,2021-11-28 04:33:32,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.0001810948218165,0.000362370738454816,,,,Create Invoice,
0x775740ffcd381c29767972dd1e015af621f593930291b8027ce2bf1811bcd17c,5360504,1638074021,2021-11-28 04:33:41,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.0000699084845565,0.000139886877597556,,,,Confirm Invoice,
0x9872f15358bfd288406528cad249f8532b56592f99a41f7120b73f5e695c477e,5360509,1638074031,2021-11-28 04:33:51,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.0000737127013845,0.000147499115470384,,,,Confirm Order,
0xbc6695b47e6308c9cc63e8a849bc59de053079faa47bceae8fbbc1a5fb30b132,5360520,1638074048,2021-11-28 04:34:08,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.0002084443806525,0.000417097205685652,,,,Set Financial Agreement Parties,
0x7c9b5f8656bbe889ff7808e812966e968b20726f8ff55fe59089036f1ff2fa65,5360526,1638074062,2021-11-28 04:34:22,0x9049ce69906d3cd891556810c39f09ea921fc087,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.000044549539179,0.000089143627897179,,,,Confirm Financial Agreement,
0xfc0710f435067481838e5254e610d095d60971b1030d8d2ab3687167917c153f,5360531,1638074072,2021-11-28 04:34:32,0x9049ce69906d3cd891556810c39f09ea921fc087,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.0002087803998045,0.000417769580008804,,,,Set LC Agreement,
0x0b38d4541d6c5781b131d4b4197c4a34a2d269a7e89159d20f97966ca2fb4ff9,5360538,1638074082,2021-11-28 04:34:42,0x9049ce69906d3cd891556810c39f09ea921fc087,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.0000809071114425,0.000161895129996442,,,,Add Document,
0xddc2c9dbe16da20b496eb42fd51d1e937ceb1c0c7e1b2eeb4f417a91365b52af,5360546,1638074099,2021-11-28 04:34:59,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.0000715855801455,0.000143242745871145,,,,Validate Document,
0x81e908c48ec812b0f77dfda46bd7396fa4fe0e1094c0e281dfcad67a27a08cdd,5360551,1638074109,2021-11-28 04:35:09,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.000283318148214,0.000566919614576214,,,,Set Shipping Agreement,
0xb0ff85ad53169a68008f5392ffb8dc987353d1c4de2de5eec04588c006be8931,5360556,1638074118,2021-11-28 04:35:18,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.0000441730177185,0.0000883902084547185,,,,Verify Goods,
0xc9d4a5d575e6e645e2a1225bacbc35cdeee573abf8e34dd6efb456f5dd2d95bf,5360566,1638074127,2021-11-28 04:35:27,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.000051005907171,0.000102062820249171,,,,Verify Goods,
0xa662142e59957b7841d0ad07a41a75b5cf2239a9a809d4a46c022162f49e8239,5360575,1638074136,2021-11-28 04:35:36,0x209b153a796c1924b675e5cd9476384cd38e9387,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.0000487962812295,0.0000976413587402295,,,,Initiate Shipment,
0x3a21df634180ca2294885926f88f4f10fc17b1f8bf7f04005623ab9f2e1e45c5,5360582,1638074146,2021-11-28 04:35:46,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.000051077911275,0.000102206900461275,,,,Verify Goods,
0x1329eb9a62c351253384ec8c24ee4d8059fff4c3491558e800e071c131fa5961,5360591,1638074156,2021-11-28 04:35:56,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.000044696547558,0.000089437791663558,,,,Confirm Shipment,
0xf1481ed1155506140f518bf973ed327f2ec4c7abec9bbefa3c7c14094d07c4fe,5360600,1638074166,2021-11-28 04:36:06,0x9049ce69906d3cd891556810c39f09ea921fc087,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.0001733483802945,0.000346870108969294,,,,Set Payment Agreement,
0x3db64ab3fc5320c1ebdb0c5903b0bf7213ceb68ebbb760c41e0d569e549b2d86,5360607,1638074175,2021-11-28 04:36:15,0x9049ce69906d3cd891556810c39f09ea921fc087,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.000048089740959,0.000096227571658959,,,,Initiate Payment,
0x02a206d0e2b160b085f372f87daa991881f025f8b491bed6f96c48bbd27f5fc6,5360613,1638074185,2021-11-28 04:36:25,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.000044780552346,0.000089605885244346,,,,Processpayment,
0xac01a8198644ea22485114321a2f172dd66723d4a7a5f4eba91205d0f85f626b,5360615,1638074194,2021-11-28 04:36:34,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xd6c667d12d75a163afefa10cf17b7c6839545d6a,,0,0,0,0.0000456821037315,0.0000914098895667315,,,,Payment Received,
