Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(FTM),Value_OUT(FTM),CurrentValue @ $2.107/FTM,TxnFee(FTM),TxnFee(USD),Historical $Price/FTM,Status,ErrCode,Method,
0xe5a5d784b9ccc80ea3392f9a0f914288506f7be763b256f3221d5096aa44baff,5401080,1638149548,2021-11-29 01:32:28,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,0,0,0,0.0077710234230885,0.0163735463524475,,,,Accepire-BT Contract,
0x4a82bc8d61239a8224d05a0ca31dbcdde5cc8ae86d72fdde1c7552dbc9010abc,5401084,1638149558,2021-11-29 01:32:38,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,0,0.0001680920807025,0.000354170014040168,,,,Set Sales Agreement,
0xe422194e8945d7dbd1f33ffe7e54cf42d1e7382d83da53928559fd3af706cf7e,5401091,1638149568,2021-11-29 01:32:48,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,0,0.000287788403004,0.000606370165129428,,,,Add Order,
0x6ed23e04e4a0dcc5c3c03548aed6c2372066ad96b35486e65e3795dc26395737,5401094,1638149577,2021-11-29 01:32:57,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,0,0.0001810948218165,0.000381566789567366,,,,Create Invoice,
0xa428919209f19d93ea6e1f6a4763c50823aa372f7fd021287f844cb0971b9fc4,5401097,1638149585,2021-11-29 01:33:05,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,0,0.0000699084845565,0.000147297176960546,,,,Confirm Invoice,
0x42087246bdf0a52b1deac874cde09d5bcf7a869464dfa27cae3523942b09ed9d,5401100,1638149595,2021-11-29 01:33:15,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,0,0.0000737127013845,0.000155312661817142,,,,Confirm Order,
0x6698505ba1293094b0d965459b42e24deb298f9934daec433afac23490344522,5401110,1638149616,2021-11-29 01:33:36,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,0,0.0002084443806525,0.000439192310034818,,,,Set Financial Agreement Parties,
0x745985b35cc5e160c4a5c2b601934ab365bdb2091ca9058b09b1adaae645cced,5401113,1638149625,2021-11-29 01:33:45,0x9049ce69906d3cd891556810c39f09ea921fc087,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,0,0.000044549539179,0.000093865879050153,,,,Confirm Financial Agreement,
0x58bfbefcd2a845432cdb95d473b763b85c6c9f9387458263e7ba4e6f258a30f2,5401117,1638149634,2021-11-29 01:33:54,0x9049ce69906d3cd891556810c39f09ea921fc087,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,0,0.0002087803998045,0.000439900302388081,,,,Set LC Agreement,
0xcefa7609f3dd9af9b4bed05e05465a0abed8047b2437a0f6e0c882cfe6ab4205,5401120,1638149643,2021-11-29 01:34:03,0x9049ce69906d3cd891556810c39f09ea921fc087,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,0,0.0000809071114425,0.000170471283809348,,,,Add Document,
0x25e79d0761185e985f20df94cd164f3fdbb4c5b7b9f5f195151e75221490e97d,5401128,1638149659,2021-11-29 01:34:19,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,0,0.0000715855801455,0.000150830817366569,,,,Validate Document,
0xc9dfb36415869bedd3beb81b100872f805889feab03334bc800baa9bfc39d5fc,5401134,1638149668,2021-11-29 01:34:28,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,0,0.000283318148214,0.000596951338286898,,,,Set Shipping Agreement,
0x9c211049a9f7f3c9470aad7c4ebafc1e1f5ad30466c1ceddab189a8edab2f96b,5401138,1638149677,2021-11-29 01:34:37,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,0,0.0000441730177185,0.0000930725483328795,,,,Verify Goods,
0xbbb17613e6784d2873db7a6245fc6b62f7af1fb469b2ed3dc46e6a2075d9481a,5401143,1638149686,2021-11-29 01:34:46,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x1592a6e746c2d637b3d695ed44c1808aafdf5dc1,,0,0,0,0.000051005907171,0.000107469446409297,,,,Verify Goods,
