Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(FTM),Value_OUT(FTM),CurrentValue @ $2.1/FTM,TxnFee(FTM),TxnFee(USD),Historical $Price/FTM,Status,ErrCode,Method,
0xac104bc5f013a5b75b8c2ea210689d064a390f59d500b83e674d15dee2116d06,5420517,1638185859,2021-11-29 11:37:39,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,0,0,0,0.0077710234230885,0.0163191491884858,,,,Accepire-BT Contract,
0xe0e02153964bb68bfb8aede8a34de6ca5dbb7f8116b775bf1ed1c65f83e4e9c4,5420523,1638185867,2021-11-29 11:37:47,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.0001680920807025,0.00035299336947525,,,,Set Sales Agreement,
0xd6d3837aa38f0f4a3d17c96b2909daff6320c0742c4ec1d8e843fb8453c3a678,5420527,1638185877,2021-11-29 11:37:57,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.000287788403004,0.0006043556463084,,,,Add Order,
0x0bdb95a06404dd122f45c98b3cdccf6c7b19316eb673f55418a6b13262275845,5420531,1638185886,2021-11-29 11:38:06,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.0001810948218165,0.00038029912581465,,,,Create Invoice,
0x63ec683d78cc272adf42af46052fc2e3e875c981e4e049044e1b61779bb8cc9f,5420534,1638185895,2021-11-29 11:38:15,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.0000699084845565,0.00014680781756865,,,,Confirm Invoice,
0xa7dff279f7c411940de2b7430ce8a045727139efb52e71f184d13daaff7057c3,5420541,1638185905,2021-11-29 11:38:25,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.0000737127013845,0.00015479667290745,,,,Confirm Order,
0xf420c432a234c90c6844c5a75114bbb3d562d88e22f39432af5e22b204def175,5420550,1638185926,2021-11-29 11:38:46,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.0002084443806525,0.00043773319937025,,,,Set Financial Agreement Parties,
0x117f039f896e4abad9ed8138e628ac167e175095be6a72385d2195da7a8e01d0,5420558,1638185936,2021-11-29 11:38:56,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.000044549539179,0.0000935540322759,,,,Confirm Financial Agreement,
0x920eed90ac4a76d033c5471f3179af7ec7836d3a9cd43f63e4810f77f77cf607,5420563,1638185946,2021-11-29 11:39:06,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.0002087803998045,0.00043843883958945,,,,Set LC Agreement,
0xd13b879185b3f4fe789321c2e1d1e77eb5db2b9b92e86b6178709938fc9c4000,5420567,1638185955,2021-11-29 11:39:15,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.0000809071114425,0.00016990493402925,,,,Add Document,
0xde8f46852d117a48df943f6bd1ad84b1c12ce632fc7faf0780d3544f2fa5d113,5420576,1638185972,2021-11-29 11:39:32,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.0000715855801455,0.00015032971830555,,,,Validate Document,
0xcabbefc27ec991dd518c2917473e38c8fe4a9d8ef15a66af526a03bc74c83b4c,5420581,1638185981,2021-11-29 11:39:41,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.000283318148214,0.0005949681112494,,,,Set Shipping Agreement,
0x12bc802fa98e3fa8a1ca609dab431b46b642a4680f3ce60964d86ff6901277e3,5420585,1638185990,2021-11-29 11:39:50,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.0000441730177185,0.00009276333720885,,,,Verify Goods,
0xb08cc55ac3e5dbc8ae6e7f99831de7ba507ab544114e16c0b3af088a4aefe9a5,5420589,1638186000,2021-11-29 11:40:00,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.000051005907171,0.0001071124050591,,,,Verify Goods,
0x79083027c9ed14f1e11f375be44a09bd56459dc611d4407f972f9c1fab99eb25,5420595,1638186009,2021-11-29 11:40:09,0x209b153a796c1924b675e5cd9476384cd38e9387,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.0000487962812295,0.00010247219058195,,,,Initiate Shipment,
0x85ba503d3443913e3ba4d07c3e56f331ac217c0e2a2aeef3d3f36744aec75003,5420600,1638186019,2021-11-29 11:40:19,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.000051077911275,0.0001072636136775,,,,Verify Goods,
0xbb7356306f0b0f1c1a340a415609f0eacd5d597ce43f4087a4365811e7515822,5420606,1638186028,2021-11-29 11:40:28,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.000044696547558,0.0000938627498718,,,,Confirm Shipment,
0x7efcf46d5b6fa86c2c202d431af50e0843100d03d7fe6907fe79d6453c415692,5420615,1638186037,2021-11-29 11:40:37,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.0001733483802945,0.00036403159861845,,,,Set Payment Agreement,
0x66fdbf0d1c13c2387fa98b8f7469c51a9542986a573792ac963be3be2bffab54,5420625,1638186046,2021-11-29 11:40:46,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.000048089740959,0.0001009884560139,,,,Initiate Payment,
0xbaa1a5c1401f916db67c08754a7c4a166c68546ea9476e07588a3530777826c5,5420631,1638186056,2021-11-29 11:40:56,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.000044780552346,0.0000940391599266,,,,Processpayment,
0x40d155cc5daed145040a958ba6e4d15a9e85974d49674ca466094226d726a4d6,5420645,1638186071,2021-11-29 11:41:11,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9f29441f2705cce512638dfaf3d8f2b796b7bcb6,,0,0,0,0.0000456821037315,0.00009593241783615,,,,Payment Received,
