Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4509.11/ETH,TxnFee(ETH),TxnFee(USD),Method,Status,ErrCode,
0x01b450399d4df4c6d97a78bf8caaaf0442dffffa2f3d21dea6834a353c280151,144249,1637889964,2021-11-26 01:26:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x58b070180794757e7877d06fc24a7d50c9a0ac67,0,0,0,0.000000051807482525,0.000233605637528303,Accepire-BT Contract,,,
0xf890faf06a3742d30129eac987f036cad2102fa3af71c52f9001e26296ea9403,144250,1637889964,2021-11-26 01:26:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x58b070180794757e7877d06fc24a7d50c9a0ac67,,0,0,0,0.000000001119605923,0.000005048426263459,Set Sales Agreement,,,
0xfeb7cabf9d3b6870dec8a5a396f0d0bec710d18c518010048cc2bf84fec6635a,144251,1637889964,2021-11-26 01:26:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x58b070180794757e7877d06fc24a7d50c9a0ac67,,0,0,0,0.000000001948363819,0.000008785386779891,Add Order,,,
0x748ef3497da0c737ad236c792c2ee7d9433c22748538b3819f06468ce4eee9c8,144252,1637889964,2021-11-26 01:26:04,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x58b070180794757e7877d06fc24a7d50c9a0ac67,,0,0,0,0.000000001128116595,0.000005086801819680,Create Invoice,,,
0x49d23df5a2045382ad228319396b84f45c590d7db417efb48ac15516df8f8d98,144253,1637889964,2021-11-26 01:26:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x58b070180794757e7877d06fc24a7d50c9a0ac67,,0,0,0,0.000000000466081723,0.000002101613757997,Confirm Invoice,,,
0xd413214e7b35f297aa198975dc6788ad8616a23816b562e4ac523e8efc72552c,144254,1637889964,2021-11-26 01:26:04,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x58b070180794757e7877d06fc24a7d50c9a0ac67,,0,0,0,0.000000000511441723,0.000002306146987597,Confirm Order,,,
0x087434073b3c4bbaa6ebfa3cf7df7be221197fe98b40b840a341e0f7622c2be4,144255,1637889964,2021-11-26 01:26:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x58b070180794757e7877d06fc24a7d50c9a0ac67,,0,0,0,0.000000001415605923,0.000006383122823459,Set Financial Agreement Parties,,,
0xbd6792f246963b8bf8d8cc01fd300f3da7260ea87ea54f91ac19a26d46caebf7,144256,1637889964,2021-11-26 01:26:04,0x9049ce69906d3cd891556810c39f09ea921fc087,0x58b070180794757e7877d06fc24a7d50c9a0ac67,,0,0,0,0.000000000338031723,0.000001524222222497,Confirm Financial Agreement,,,
0xf609857827b390d725972fe3c1775c3d80d04058b696c386a43867b962c0261a,144257,1637889964,2021-11-26 01:26:04,0x9049ce69906d3cd891556810c39f09ea921fc087,0x58b070180794757e7877d06fc24a7d50c9a0ac67,,0,0,0,0.000000001390849787,0.000006271494683060,Set LC Agreement,,,
0xb535d6eb94b0bec33d7b187e9a4cbc345f4d767e64a2aa898eab75112cc60f0a,144258,1637889964,2021-11-26 01:26:04,0x9049ce69906d3cd891556810c39f09ea921fc087,0x58b070180794757e7877d06fc24a7d50c9a0ac67,,0,0,0,0.000000000530223235,0.000002390834891171,Add Document,,,
0x57a0c84e3b7220378feb066c773251ea6a90ce62a0f702eedac9fe4261ad3f7b,144259,1637889964,2021-11-26 01:26:04,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x58b070180794757e7877d06fc24a7d50c9a0ac67,,0,0,0,0.000000000517263235,0.000002332396825571,Validate Document,,,
0x9525500cc3da83402ec1d69fcc643ed3cc1bb544b752f9aeea4bca52e59ff05d,144260,1637889964,2021-11-26 01:26:04,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x58b070180794757e7877d06fc24a7d50c9a0ac67,,0,0,0,0.000000001935751253,0.000008728515332415,Set Shipping Agreement,,,
0xe3ae0489f29108fcc46b7831e215e0838579b44f33b40a6bf93ff954950ee888,144261,1637889964,2021-11-26 01:26:04,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x58b070180794757e7877d06fc24a7d50c9a0ac67,,0,0,0,0.000000000315521723,0.000001422722156397,Verify Goods,,,
0xe0ff3bcb1e4e5c0ceaf953c104f850be9852801e567dc1b64e4c2002703b5f86,144262,1637889964,2021-11-26 01:26:04,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x58b070180794757e7877d06fc24a7d50c9a0ac67,,0,0,0,0.000000000361071723,0.000001628112116897,Verify Goods,,,
