Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4086.37/Eth,TxnFee(ETH),TxnFee(USD),Method,Status,ErrCode,
0x881f843fb746caba489dbc6f3d36c3f5f7d1971a92572efdf7d6bcecfc96b907,151027,1637976444,2021-11-27 01:27:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xcaf664683142c71b5686b198515e14186e98d56a,0,0,0,0.0000000518079986,0.0002117066512391,Accepire-BT Contract,,,
0xc8b3234231fe7e44773bd432dedf448e0453a6d8e8c369e3dca66bffd025825f,151028,1637976444,2021-11-27 01:27:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000001119613912,0.000004575156701579,Set Sales Agreement,,,
0xa19374b0daabb942bff25702cfe7afebbeb1c9244113d7d261f4cf330a334783,151029,1637976444,2021-11-27 01:27:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000001948372936,0.000007961772714482,Add Order,,,
0x4ae7b2a6083cd7d0d7d29aaf37e4ad3c91eb8adbdcb7c843f834e372996faa53,151030,1637976444,2021-11-27 01:27:24,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.00000000112812468,0.00000460993484861,Create Invoice,,,
0x76e13ef9d29832b873bcc2997aaa43ff2257b0ad8d9e680dd858ababd0173538,151031,1637976444,2021-11-27 01:27:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000000466089112,0.000001904612564603,Confirm Invoice,,,
0x217055dd432fbf8561fa900b201cdbfb6a0cc2c8c27e4bba88fab895feaff85f,151033,1637976444,2021-11-27 01:27:24,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000000511449112,0.000002089970307803,Confirm Order,,,
0xeafbd3caf2b5aad7eb4c2c6bb66eea31b61377dcccf7305db405263b9c9878ff,151034,1637976444,2021-11-27 01:27:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000001415613912,0.000005784722221579,Set Financial Agreement Parties,,,
0xbb639797c295f0fd0aa6eb936e94b962798f96db9767701f8e326d3c2a939804,151035,1637976444,2021-11-27 01:27:24,0x9049ce69906d3cd891556810c39f09ea921fc087,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000000338039112,0.000001381352886103,Confirm Financial Agreement,,,
0x548b36ab34abf26d02aa0b134447b3c975e5657ab3878b0462a2fe0306c72da7,151036,1637976444,2021-11-27 01:27:24,0x9049ce69906d3cd891556810c39f09ea921fc087,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000001390858328,0.000005683561745789,Set LC Agreement,,,
0xb3db8d4d6b2181e0569d25f89b6c39b211ddd82efabb702c2d7edfb1dfe66f4d,151037,1637976444,2021-11-27 01:27:24,0x9049ce69906d3cd891556810c39f09ea921fc087,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.00000000053023084,0.00000216671939765,Add Document,,,
0xd98d2d2785eb6dfc4da42b61192531764c0d7cd5033dca885fc8394ef53db5a6,151038,1637976444,2021-11-27 01:27:24,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.00000000051727084,0.00000211376004245,Validate Document,,,
0x0de9d9233e24062eb98840810e7c65a8319fdeba5adb45bf6c7c81ff9078ee0b,151039,1637976444,2021-11-27 01:27:24,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000001935761432,0.000007910237442882,Set Shipping Agreement,,,
0x4c73fc73d80f519e91a4c7899d4cd691374f9df0f9d7dd8b3d388e491bbec98e,151040,1637976444,2021-11-27 01:27:24,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000000315529112,0.000001289368697403,Verify Goods,,,
0x1979d12607abe444ee6c44088636157280b9b3aede54c0ab3e76844e11390062,151041,1637976444,2021-11-27 01:27:24,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000000361079112,0.000001475502850903,Verify Goods,,,
0xf55c90fa748121c4f3372455d6811f44db156b3a61cb16b47713adf250aea6ef,151042,1637976444,2021-11-27 01:27:24,0x209b153a796c1924b675e5cd9476384cd38e9387,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000000400349112,0.000001635974600803,Initiate Shipment,,,
0x9b4f79a6c1f4d0c4eb90820675ebf28bf7c88402196a33679193326d591865af,151043,1637976444,2021-11-27 01:27:24,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000000361559112,0.000001477464308503,Verify Goods,,,
0xeb2fa912529850a1b20896610e3c2c62634c365d38cc53ca56b2e94a9a99e6fa,151044,1637976444,2021-11-27 01:27:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000000339019112,0.000001385357528703,Confirm Shipment,,,
0x5f2fbbba4c132a29777c385efbf901cdc716fb6e8d74c58eaae5e2b0561aee85,151045,1637976444,2021-11-27 01:27:24,0x9049ce69906d3cd891556810c39f09ea921fc087,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000001159482744,0.000004738075500599,Set Payment Agreement,,,
0x5d2eb9638ba8d01a3d5ae03e6b54683f0a07d35714c1401a6d17a44ebf58c1dd,151046,1637976444,2021-11-27 01:27:24,0x9049ce69906d3cd891556810c39f09ea921fc087,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000000361638968,0.000001477790629666,Initiate Payment,,,
0xe417a22309c996ff04ba31b86d182008821c8d264cca06d98175e23d656f5033,151047,1637976444,2021-11-27 01:27:24,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000000339579112,0.000001387645895903,Processpayment,,,
0x87a603b02727da8a969e83a357274f4237cabcf3851e4423b8a8d9efd617ef32,151048,1637976444,2021-11-27 01:27:24,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xcaf664683142c71b5686b198515e14186e98d56a,,0,0,0,0.000000000370408968,0.000001513628094566,Payment Received,,,
