Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4118.86/Eth,TxnFee(ETH),TxnFee(USD),Method,Status,ErrCode,
0x13f1b0211e8e613d3e210646b8f23a42f2d0535b8b2d9f4ba6cbe1a0ab05a598,151605,1637989900,2021-11-27 05:11:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,0,0,0,0.0000000518079986,0.0002133898931136,Accepire-BT Contract,,,
0x2d741839cf3f2840c19320fbacaf375a80bfd74108b537a131d080bd294e01c9,151606,1637989900,2021-11-27 05:11:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000001119613912,0.000004611532957580,Set Sales Agreement,,,
0x6767b711939cd9aebee60bb787f5c085b2d6b873bf2697840f869a2c488ce5ce,151607,1637989900,2021-11-27 05:11:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000001948372936,0.000008025075351173,Add Order,,,
0x8e10e01c63112f18e58d2a0d6c0f234d3b2b95834e95e59c5c78f29b43a531f7,151608,1637989900,2021-11-27 05:11:40,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.00000000112812468,0.00000464658761946,Create Invoice,,,
0xa514ae2792e9bae761eb82a3c4997cfb1fb2fe90b25d4c4c0cc4c070fc69fe4e,151610,1637989900,2021-11-27 05:11:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000000466089112,0.000001919755799852,Confirm Invoice,,,
0xab300ed77106f86c2c67decadb5c72c255542a030bfc446c746fde44fa782736,151611,1637989900,2021-11-27 05:11:40,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000000511449112,0.000002106587289452,Confirm Order,,,
0xb86479e819570f595b60e043bf7c726dbac8cf87c9b42b3966773df1f4b635e9,151612,1637989900,2021-11-27 05:11:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000001415613912,0.000005830715517580,Set Financial Agreement Parties,,,
0x03ec48d63a4ac1f22bad75d30b1c450d7303cfaf672445ddf91bdc8f2dd99d00,151613,1637989900,2021-11-27 05:11:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000000338039112,0.000001392335776852,Confirm Financial Agreement,,,
0xdf9911f0b26de545c4dfa967a4eccbd094748162b74323053c5a3d6e92a7b3fc,151615,1637989900,2021-11-27 05:11:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000001390858328,0.000005728750732866,Set LC Agreement,,,
0x597e210ef760449f2e797c021c34e86279f03041b4dde25fd53c03a85e8ed460,151616,1637989900,2021-11-27 05:11:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.00000000053023084,0.00000218394659764,Add Document,,,
0x620b6853594d690a4120a9ff9b24214c21d2d6b0088cc296ac1ba3bc2a0eb851,151617,1637989900,2021-11-27 05:11:40,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.00000000051727084,0.00000213056617204,Validate Document,,,
0x40b1db9b1e1104ce3ac79f1665f8a4c01cee6c70afed7e18a38622d8f7deea20,151618,1637989900,2021-11-27 05:11:40,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000001935761432,0.000007973130331808,Set Shipping Agreement,,,
0xf88598d9b48ac89776add1298715fb0acb43d2d1515915ad6c9d798c16eeab69,151619,1637989900,2021-11-27 05:11:40,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000000315529112,0.000001299620238252,Verify Goods,,,
0xb42395f4cb2db49e6c9cb8f66ce5bb73d51180f82b6f7792c4c85bd6a090c1d7,151620,1637989900,2021-11-27 05:11:40,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000000361079112,0.000001487234311252,Verify Goods,,,
0xe4c07f7cadfb5b62e8659d8a755e99f3c5494a6ff2428207eece642ed85a96c5,151621,1637989900,2021-11-27 05:11:40,0x209b153a796c1924b675e5cd9476384cd38e9387,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000000400349112,0.000001648981943452,Initiate Shipment,,,
0x26ed3583d86bcbecc39bd87d5fad49886b8f5130a54590eae21dd16790f2ef33,151622,1637989900,2021-11-27 05:11:40,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000000361559112,0.000001489211364052,Verify Goods,,,
0xe275262483d89be0d2de26fcfbb222a9cef6f6a901659d4542fea9827eaba420,151623,1637989900,2021-11-27 05:11:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000000339019112,0.000001396372259652,Confirm Shipment,,,
0xc02563655708f1badfd94b94ca79e535207d2a8abe1173017d2e9484fb7cd610,151624,1637989900,2021-11-27 05:11:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000001159482744,0.000004775747094952,Set Payment Agreement,,,
0xb0c7a2ffd16f755ed97cc72c5cd4a1bca5a383d17a347c01db3d88055273259d,151625,1637989900,2021-11-27 05:11:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000000361638968,0.000001489540279736,Initiate Payment,,,
0x8779a9fd9025177061eb8409bfe45c5858b8ba15bf42af96577b6b197d9372c3,151627,1637989900,2021-11-27 05:11:40,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000000339586501,0.000001398709255509,Processpayment,,,
0x936230d1cc2fb76e2520f164b23dfb9be3e38693b8544cf322c805589c5a4d01,151628,1637989900,2021-11-27 05:11:40,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x9dd3f8ec9fcbad3f1f896abab53893de3d9cb045,,0,0,0,0.000000000370416339,0.000001525693042054,Payment Received,,,
