Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4039.63/Eth,TxnFee(ETH),TxnFee(USD),Method,Status,ErrCode,
0x80201b7abf2f0c1d831629fd28488b4fb44b100776b3d29653d4dc2100d3d8ec,153624,1638026620,2021-11-27 15:23:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,0,0,4039.63,0.000000051807482525,0.000209283060632466,Accepire-BT Contract,,,
0x93ec2d0b25f06c85e5e26bdd757356a85d4e8d03b5fecf4904117f47a1b52960,153625,1638026620,2021-11-27 15:23:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000001119605923,0.00000452279367472849,Set Sales Agreement,,,
0x07fb3f41d4940a7fb137a37f9854cea1dcab2b9b7e84b016685f43334498be2c,153626,1638026620,2021-11-27 15:23:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000001948363819,0.00000787066893414697,Add Order,,,
0xc2623a85573ab783e593eaf7ba344fdfb12870ca9fdce4b55480001a41f2befe,153627,1638026620,2021-11-27 15:23:40,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000001128116595,0.00000455717364065985,Create Invoice,,,
0xe00d2ac87d5ad56156a637681d0fbb56e0bf6099cbd272f0b5b43451bf93d990,153628,1638026620,2021-11-27 15:23:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000000466081723,0.00000188279771068249,Confirm Invoice,,,
0xf2b3c552b20b2c1698ddd67e076b1cbc1836c6186e2e139441433e84c5b1a860,153629,1638026620,2021-11-27 15:23:40,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000000511441723,0.00000206603532748249,Confirm Order,,,
0x24861cb4d660d1db93a3eb1aad845c10ca48a3160b0d7642db99402706b3d9d0,153630,1638026620,2021-11-27 15:23:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000001415605923,0.00000571852415472849,Set Financial Agreement Parties,,,
0x4a345acc3e78bd5ef7cc3966ed103268439d07fdf44f26279fe7843794238fe6,153631,1638026620,2021-11-27 15:23:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000000338031723,0.00000136552308918249,Confirm Financial Agreement,,,
0x0a25c9cdd2ad152b13051b385b1b50eb65c2800b5d3c5a21bcdc092b0ae2ad1f,153632,1638026620,2021-11-27 15:23:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000001390849787,0.00000561851852505881,Set LC Agreement,,,
0x0b02ba9738cd7c973e5f2c37c72dfd681db63c4e7c0be1927cccd3df360813b5,153633,1638026620,2021-11-27 15:23:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000000530223235,0.00000214190568680305,Add Document,,,
0xd1efbc55e22f31eff35ccbb4408e7a28681b5e69ab50ce75a3c9ce56fddc9739,153634,1638026620,2021-11-27 15:23:40,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000000517263235,0.00000208955208200305,Validate Document,,,
0xa6f5c6081f5920a661989dcdcacabc2643ad60285a6d643ec47cac52965920fd,153635,1638026620,2021-11-27 15:23:40,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000001935751253,0.00000781971883415639,Set Shipping Agreement,,,
0x3e48275fc242df717034f74fa19d2aa4f89e6e6ca985f8ac0afd880dc58c99db,153636,1638026620,2021-11-27 15:23:40,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000000315521723,0.00000127459101788249,Verify Goods,,,
0xb9f4577f4c857150a32a84b66a5f89c74ced37eeb57801ef16fca0a54c8258e8,153637,1638026620,2021-11-27 15:23:40,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000000361071723,0.00000145859616438249,Verify Goods,,,
0x91813b133645a09472f0ecf3ec56b2ed21b2ee2d92e22cf3eda23ad81f49277a,153638,1638026620,2021-11-27 15:23:40,0x209b153a796c1924b675e5cd9476384cd38e9387,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000000400341723,0.00000161723243448249,Initiate Shipment,,,
0xa7318f440bc63f5ef6b1ff46fddfe07abdd7e4244ead401c0c982e8630739030,153639,1638026620,2021-11-27 15:23:40,0xe323b722518c16b903eb840d6ee00c504bfec25b,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000000361551723,0.00000146053518678249,Verify Goods,,,
0x46877f164ee2149250490580a607516e212df83c44c8db9bdd1ea2c1f17a22cb,153640,1638026620,2021-11-27 15:23:40,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000000339011723,0.00000136948192658249,Confirm Shipment,,,
0xc47754cf0a84425c45873cfbb5fdb260e3b7d2ce83580c078f73230380779230,153641,1638026620,2021-11-27 15:23:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000001159473651,0.00000468384454478913,Set Payment Agreement,,,
0x2b55b05d459cbc8094a6333fad9d7837d9fae6831e409c840ac00e64d2ab27df,153642,1638026620,2021-11-27 15:23:40,0x9049ce69906d3cd891556810c39f09ea921fc087,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000000361631597,0.00000146085784818911,Initiate Payment,,,
0xb4e40b1ec1be8d61c780db5f673944874702f07da8da4688b233e09b40e4b687,153643,1638026620,2021-11-27 15:23:40,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000000339571723,0.00000137174411938249,Processpayment,,,
0x070b42c1d0cce18a9caf1418aed9e5ce5bc7561879cd0191eca5a02564f93db6,153644,1638026620,2021-11-27 15:23:40,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xc6c6c2de8b1c117c2e3f9c7c3150c3debb33d0ce,,0,0,4039.63,0.000000000370401597,0.00000149628540328911,Payment Received,,,
