Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Method,Status,ErrCode,
0x950a0d400263d1a22949ef1361bb7b0a5705e7bbd87a79580ad6adee833411e3,157414,1638099172,2021-11-28 11:32:52,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x4246df04b272b1f37a14b1db83647e4670111c17,0,0,4098.17,0.000000051807482525,0.000212315870659479,Accepire-BT Contract,,,
0x82a9016ef47e7279bc4e49364207ec488642f15d9fcf59f7c71cead173a7e1f2,157415,1638099172,2021-11-28 11:32:52,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x4246df04b272b1f37a14b1db83647e4670111c17,,0,0,4098.17,0.000000001119605923,0.00000458833540546091,Set Sales Agreement,,,
0x93abb340721c270129fcb4c10c717b5ef060fdfbbbfd7e69497ea0dd0026de64,157416,1638099172,2021-11-28 11:32:52,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x4246df04b272b1f37a14b1db83647e4670111c17,,0,0,4098.17,0.000000001948363819,0.00000798472615211123,Add Order,,,
0x7fcfc2bff35d935adb70c11e20638c7dfbd7d588eb3d3a4c151d335f1ceeb39a,157417,1638099172,2021-11-28 11:32:52,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x4246df04b272b1f37a14b1db83647e4670111c17,,0,0,4098.17,0.000000001128116595,0.00000462321358613115,Create Invoice,,,
0xb6a9dd2489f543f83565c0a62035a92b16823d3f9ec3201a850a57748ac87b67,157418,1638099172,2021-11-28 11:32:52,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x4246df04b272b1f37a14b1db83647e4670111c17,,0,0,4098.17,0.000000000466081723,0.00000191008213474691,Confirm Invoice,,,
0x235028ffad3f46348271b48af5fde07bbdd51c2488867134d8d574cea3ceb679,157419,1638099172,2021-11-28 11:32:52,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x4246df04b272b1f37a14b1db83647e4670111c17,,0,0,4098.17,0.000000000511441723,0.00000209597512594691,Confirm Order,,,
0x43af3d893bc9e5bcf018b3c4974bab6ff66e1581d70bb05492f724dc2293ca85,157420,1638099172,2021-11-28 11:32:52,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x4246df04b272b1f37a14b1db83647e4670111c17,,0,0,4098.17,0.000000001415605923,0.00000580139372546091,Set Financial Agreement Parties,,,
0xe6abc542727be4bbd3f2eb86ee37d8d20f994ff85ce503b328cf35467e527a7c,157421,1638099172,2021-11-28 11:32:52,0x9049ce69906d3cd891556810c39f09ea921fc087,0x4246df04b272b1f37a14b1db83647e4670111c17,,0,0,4098.17,0.000000000338031723,0.00000138531146624691,Confirm Financial Agreement,,,
0xe173a843ce2410c96925691f70136506606e8993d27ad3a6361af2d269658254,157422,1638099172,2021-11-28 11:32:52,0x9049ce69906d3cd891556810c39f09ea921fc087,0x4246df04b272b1f37a14b1db83647e4670111c17,,0,0,4098.17,0.000000001390849787,0.00000569993887158979,Set LC Agreement,,,
0x4dad8c0b57e2441d8b01b53552f7690d4867a4a7d651043a6cc7101683cb69d7,157423,1638099172,2021-11-28 11:32:52,0x9049ce69906d3cd891556810c39f09ea921fc087,0x4246df04b272b1f37a14b1db83647e4670111c17,,0,0,4098.17,0.000000000530223235,0.00000217294495497995,Add Document,,,
