Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $0/Eth,TxnFee(ETH),TxnFee(USD),Method,Status,ErrCode,
0xf9513cc7efc0158c17e69de89d416317250b36db5fa766eecbfffd35d80bf706,157872,1638112024,2021-11-28 15:07:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x13804a4d4216da2692ee31ff68ae00899b15ecb7,0,0,4332.67,0.000000051807482525,0.000224464725311592,Accepire-BT Contract,,,
0x777a75d9462949a2818a4c833222fef66bb0b282a47e600cc908b5ba5afeb543,157873,1638112024,2021-11-28 15:07:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x13804a4d4216da2692ee31ff68ae00899b15ecb7,,0,0,4332.67,0.000000001119605797,0.00000485088244848799,Set Sales Agreement,,,
0xfb718c0628f079f7541a6cce9331ec58b1acf1d838eb4a813efabe3dcecc5e87,157874,1638112024,2021-11-28 15:07:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x13804a4d4216da2692ee31ff68ae00899b15ecb7,,0,0,4332.67,0.000000001948363693,0.00000844161692175031,Add Order,,,
0x388c6ff6f955275d8c1e7b25699e418add472666a176d4a684048138ef31fdb0,157875,1638112024,2021-11-28 15:07:04,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x13804a4d4216da2692ee31ff68ae00899b15ecb7,,0,0,4332.67,0.000000001128116469,0.00000488775638174223,Create Invoice,,,
0x0d7bab939783bb3845502bddd64eb8d715dc63dfaa6f688b4229a1ab28fff6a4,157876,1638112228,2021-11-28 15:10:28,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x13804a4d4216da2692ee31ff68ae00899b15ecb7,,0,0,4332.67,0.000000000466081597,0.00000201937775287399,Confirm Invoice,,,
0x45ba738664d84ebba7ae79f2cbefed2aa9dfa256104b0cf03abda183b5285eaf,157877,1638112228,2021-11-28 15:10:28,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x13804a4d4216da2692ee31ff68ae00899b15ecb7,,0,0,4332.67,0.000000000511441597,0.00000221590766407399,Confirm Order,,,
0x7033e7a093ec90b7e0cf81a4c7ab585fdbaf4b0acf81013b7f7d728c5a1d8fd6,157878,1638112228,2021-11-28 15:10:28,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x13804a4d4216da2692ee31ff68ae00899b15ecb7,,0,0,4332.67,0.000000001415605797,0.00000613335276848799,Set Financial Agreement Parties,,,
0x6a37e9fcd6ec9c1ada5b13dc5291a1980af1ed56c83a4f7ac901eab9d32624d6,157879,1638112228,2021-11-28 15:10:28,0x9049ce69906d3cd891556810c39f09ea921fc087,0x13804a4d4216da2692ee31ff68ae00899b15ecb7,,0,0,4332.67,0.000000000338031597,0.00000146457935937399,Confirm Financial Agreement,,,
0x57938b24909e6323e576a37d93553f7284838f1d48b13b80772b7f6edd4324cb,157880,1638112228,2021-11-28 15:10:28,0x9049ce69906d3cd891556810c39f09ea921fc087,0x13804a4d4216da2692ee31ff68ae00899b15ecb7,,0,0,4332.67,0.000000001390849661,0.00000602609260072487,Set LC Agreement,,,
0x07a3bd416bb626b02ef1016fabe71a4241674ba4cc1c6d03b36931e75cc68bf7,157881,1638112228,2021-11-28 15:10:28,0x9049ce69906d3cd891556810c39f09ea921fc087,0x13804a4d4216da2692ee31ff68ae00899b15ecb7,,0,0,4332.67,0.000000000530223109,0.00000229728175767103,Add Document,,,
0xdf8c463854b8b6eb126ceb211de27e5e82899dc16fcf94fa5b573852fe7e9e8d,157882,1638112228,2021-11-28 15:10:28,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x13804a4d4216da2692ee31ff68ae00899b15ecb7,,0,0,4332.67,0.000000000517263109,0.00000224113035447103,Validate Document,,,
