Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(MATIC),Value_OUT(MATIC),CurrentValue @ $1.753/MATIC,TxnFee(MATIC),TxnFee(USD),Historical $Price/MATIC,Status,ErrCode,Method,
0xc00ce27c724a0384292c408f3c83e3ce254b32ea05d7b3e9276d6b83ceed8b33,21863235,1637753984,2021-11-24 11:39:44,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xef021dd10b15a7293132bbcb439d55b868836d35,0,0,0,0.0181313545,0.0317842644385,,,,Accepire-BT Contract,
0xdaa5f255115bd89d4261ae334a4d9fc8096d4cbc84d8f10f54b3457fa8c04a72,21863240,1637753994,2021-11-24 11:39:54,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xef021dd10b15a7293132bbcb439d55b868836d35,,0,0,0,0.0003921925,0.0006875134525,,,,Set Sales Agreement,
0x5e9d28fd8e07e6cd8bf70b743fc6d13704ead52a08e8279538efa41c8ad5563b,21863245,1637754004,2021-11-24 11:40:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xef021dd10b15a7293132bbcb439d55b868836d35,,0,0,0,0.000670705,0.001175745865,,,,Add Order,
0xc97b99f5c5536af34cfd90cb99947ec21d1a372d6463ab1839bb9895c3bce95c,21863248,1637754010,2021-11-24 11:40:10,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xef021dd10b15a7293132bbcb439d55b868836d35,,0,0,0,0.000421771,0.000739364563,,,,Create Invoice,
0x137737c472756edc0afa983357345ad3c4b7361267569abe578e2c481d1226ed,21863254,1637754022,2021-11-24 11:40:22,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xef021dd10b15a7293132bbcb439d55b868836d35,,0,0,0,0.0001631105,0.0002859327065,,,,Confirm Invoice,
0x73eea589d8cbc2df2b79e6383c75a6baf09fded4205090df500a51a7c6951ef8,21863259,1637754032,2021-11-24 11:40:32,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xef021dd10b15a7293132bbcb439d55b868836d35,,0,0,0,0.0001719865,0.0003014923345,,,,Confirm Order,
0x1275a02f521632202eb1ab7187e8f49a07a1b833a9f9ec30938186ca4b323489,21863268,1637754050,2021-11-24 11:40:50,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xef021dd10b15a7293132bbcb439d55b868836d35,,0,0,0,0.0004863425,0.0008525584025,,,,Set Financial Agreement Parties,
0xe642f05c05875e8269d9ae803c4d7178b8088fc9ae39b876ad68980be84f0d97,21863273,1637754060,2021-11-24 11:41:00,0x9049ce69906d3cd891556810c39f09ea921fc087,0xef021dd10b15a7293132bbcb439d55b868836d35,,0,0,0,0.000103943,0.000182212079,,,,Confirm Financial Agreement,
0x3fb550242274a77feee8ea222fee99dfd51adbe619486e177036a17504121c22,21863276,1637754066,2021-11-24 11:41:06,0x9049ce69906d3cd891556810c39f09ea921fc087,0xef021dd10b15a7293132bbcb439d55b868836d35,,0,0,0,0.0004871265,0.0008539327545,,,,Set LC Agreement,
0xc28446cb79c70ff60b289da8c2708900739e10e3caa803c61543d773583d3d1f,21863281,1637754076,2021-11-24 11:41:16,0x9049ce69906d3cd891556810c39f09ea921fc087,0xef021dd10b15a7293132bbcb439d55b868836d35,,0,0,0,0.0001880095,0.0003295806535,,,,Add Document,
