Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(MATIC),Value_OUT(MATIC),CurrentValue @ $1.777/MATIC,TxnFee(MATIC),TxnFee(USD),Historical $Price/MATIC,Status,ErrCode,Method,
0xfdda1c16eaa1579523cdcd4bb95a4307c47597adc9dfd9e6b3b999896df837b4,21896053,1637821924,2021-11-25 06:32:04,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xcd4fde514c238c734a8cffa076b7a023e55b766a,0,0,0,0.015541161,0.027616643097,,,,Accepire-BT Contract,
0x732cf5d390654028ee07f7a34e12119e4b260f156e1eb77aefc7157483e4ebdb,21896058,1637821934,2021-11-25 06:32:14,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcd4fde514c238c734a8cffa076b7a023e55b766a,,0,0,0,0.000336165,0.000597365205,,,,Set Sales Agreement,
0x6c8a510f3fcf27ac4edf0134ac54d7fc5277cac64997d1b9ab03c139995bb981,21896063,1637821944,2021-11-25 06:32:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcd4fde514c238c734a8cffa076b7a023e55b766a,,0,0,0,0.00057489,0.00102157953,,,,Add Order,
0xb2ce2d990b2c99c8cbd4127167927f4d4694e70764865b583d78823479d0cb22,21896066,1637821954,2021-11-25 06:32:34,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xcd4fde514c238c734a8cffa076b7a023e55b766a,,0,0,0,0.000361518,0.000642417486,,,,Create Invoice,
0x5fa88976c2992a5e6815a801fd03005f104db2387762df16175a82edea0fe6b2,21896070,1637821962,2021-11-25 06:32:42,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcd4fde514c238c734a8cffa076b7a023e55b766a,,0,0,0,0.000139809,0.000248440593,,,,Confirm Invoice,
0xe8731a6f7af824b4bbaeed48c6eecf56b5c916a6b6084ff72c796391ebfb6d3a,21896075,1637821972,2021-11-25 06:32:52,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xcd4fde514c238c734a8cffa076b7a023e55b766a,,0,0,0,0.000147417,0.000261960009,,,,Confirm Order,
0x1810ee4a01815183a0aacf55e39b9721d05c8d57dd79d5b5e5b9bbb2908b1b94,21896084,1637821990,2021-11-25 06:33:10,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xcd4fde514c238c734a8cffa076b7a023e55b766a,,0,0,0,0.000416865,0.000740769105,,,,Set Financial Agreement Parties,
0xb0aa7197bdebbcab168af43070d8a68dc4a1b99a642fb955fda9de9d4bacc5d0,21896089,1637822000,2021-11-25 06:33:20,0x9049ce69906d3cd891556810c39f09ea921fc087,0xcd4fde514c238c734a8cffa076b7a023e55b766a,,0,0,0,0.000089094,0.000158320038,,,,Confirm Financial Agreement,
0xce26306ddc59c216ff08334ce066f973ba63ddee8e50b9ad5a9fad87e1bf65e2,21896094,1637822010,2021-11-25 06:33:30,0x9049ce69906d3cd891556810c39f09ea921fc087,0xcd4fde514c238c734a8cffa076b7a023e55b766a,,0,0,0,0.000417537,0.000741963249,,,,Set LC Agreement,
0xf01bf5491fe6012200303ed9e854a48e3d2fa573e51cb678e81ddf064f855b9d,21896098,1637822018,2021-11-25 06:33:38,0x9049ce69906d3cd891556810c39f09ea921fc087,0xcd4fde514c238c734a8cffa076b7a023e55b766a,,0,0,0,0.000161151,0.000286365327,,,,Add Document,
