Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(MATIC),Value_OUT(MATIC),CurrentValue @ $1.677/MATIC,TxnFee(MATIC),TxnFee(USD),Historical $Price/MATIC,Status,ErrCode,Method,
0x24f1c790afff325db274cc7e785a76f3bad8d6166369f6a0e641fb6bc684acf4,21950427,1637936965,2021-11-26 14:29:25,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x5b31440fd067dbe36722fce051bbf578cbc7f61e,0,0,0,0.0181313545,0.0304062814965,,,,Accepire-BT Contract,
0xd22e831e613805734c7a82f8a94edfc2b97728b8642d4347669aba1c204980c7,21950430,1637936971,2021-11-26 14:29:31,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x5b31440fd067dbe36722fce051bbf578cbc7f61e,,0,0,0,0.0003921925,0.0006577068225,,,,Set Sales Agreement,
0x290884832b7c07044442d314ed32a588f3f3e98581e739fb51c027722ec90ef5,21950443,1637936997,2021-11-26 14:29:57,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x5b31440fd067dbe36722fce051bbf578cbc7f61e,,0,0,0,0.000670705,0.001124772285,,,,Add Order,
0xb38a34b73397ec59bf21138c1ba8602065adb612439d9acd64ce71362916a85b,21950446,1637937003,2021-11-26 14:30:03,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x5b31440fd067dbe36722fce051bbf578cbc7f61e,,0,0,0,0.000421771,0.000707309967,,,,Create Invoice,
0x495d42c4275279171315924f0a89eb4394afc8e77886a7f885ba38fc74e6afb8,21950451,1637937013,2021-11-26 14:30:13,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x5b31440fd067dbe36722fce051bbf578cbc7f61e,,0,0,0,0.0001631105,0.0002735363085,,,,Confirm Invoice,
0x78775570c33554d5464bdfc94941a9a681794d1f817f0d69f9f1c80ced3c0be8,21950454,1637937019,2021-11-26 14:30:19,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x5b31440fd067dbe36722fce051bbf578cbc7f61e,,0,0,0,0.0001719865,0.0002884213605,,,,Confirm Order,
0x8af5d37ae6b634cc054e9c967a66e8a9fdd1f823968c74e9287e3ba82a0634f9,21950462,1637937035,2021-11-26 14:30:35,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x5b31440fd067dbe36722fce051bbf578cbc7f61e,,0,0,0,0.0004863425,0.0008155963725,,,,Set Financial Agreement Parties,
0x931ccfbf13ed104ba1d9de91fa7f11be593a766ccb493a2aaebef4b82f1d17c2,21950466,1637937047,2021-11-26 14:30:47,0x9049ce69906d3cd891556810c39f09ea921fc087,0x5b31440fd067dbe36722fce051bbf578cbc7f61e,,0,0,0,0.000103943,0.000174312411,,,,Confirm Financial Agreement,
0x2401c148ac552851741da76022c06af61544ea6e7b406cfdab0803556646de03,21950470,1637937055,2021-11-26 14:30:55,0x9049ce69906d3cd891556810c39f09ea921fc087,0x5b31440fd067dbe36722fce051bbf578cbc7f61e,,0,0,0,0.0004871265,0.0008169111405,,,,Set LC Agreement,
0x38d7794b7ffc468b1d5ce6f67e4c415db9895fcf5eace357046e588ad6e59766,21950475,1637937065,2021-11-26 14:31:05,0x9049ce69906d3cd891556810c39f09ea921fc087,0x5b31440fd067dbe36722fce051bbf578cbc7f61e,,0,0,0,0.0001880095,0.0003152919315,,,,Add Document,
