Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(MATIC),Value_OUT(MATIC),CurrentValue @ $1.683/MATIC,TxnFee(MATIC),TxnFee(USD),Historical $Price/MATIC,Status,ErrCode,Method,
0x998024eb80b19fb52406738fc7c2ab0506dbb248c206962afbe1c401e4545a61,21966852,1637976613,2021-11-27 01:30:13,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,0,0,0,0.0181313545,0.0305150696235,,,,Accepire-BT Contract,
0x505c298c080abe55f792937eab8c8dfd9cc9963063dd9558781594c9f5185d37,21966854,1637976621,2021-11-27 01:30:21,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.0003921925,0.0006600599775,,,,Set Sales Agreement,
0x575744bef9214a3c63b9f267dde88b275980d0c95b62a1670a9546586403af0e,21966856,1637976629,2021-11-27 01:30:29,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.000670705,0.001128796515,,,,Add Order,
0xe712dd6774fcc499f24d424211e63197344df237dceb7a735e9fa0e09b47d539,21966858,1637976637,2021-11-27 01:30:37,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.000421771,0.000709840593,,,,Create Invoice,
0xe6e32215e4e29d173f1e80a407c6ec946b86982d4b7fcbf30179c01abc21fea2,21966860,1637976645,2021-11-27 01:30:45,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.0001631105,0.0002745149715,,,,Confirm Invoice,
0x162e5ce0a0603764a94f20fce0fdbb366cd6fc51c939b0e1083c8fbfcd6364a3,21966861,1637976649,2021-11-27 01:30:49,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.0001719865,0.0002894532795,,,,Confirm Order,
0xf3df17c4576a37d334710d2211157efb35f4303aebcc4db5d6d2829123b3663d,21966864,1637976661,2021-11-27 01:31:01,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.0004863425,0.0008185144275,,,,Set Financial Agreement Parties,
0x0a48463a899ca331341ee6c714bb6823eec4043c4833100a2d7219800ee630c6,21966866,1637976669,2021-11-27 01:31:09,0x9049ce69906d3cd891556810c39f09ea921fc087,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.000103943,0.000174936069,,,,Confirm Financial Agreement,
0x8a3bd75d97bf1e55afe6ad2ca7fe9c178f9181f1f39b7e3528f3250793ca3b98,21966868,1637976677,2021-11-27 01:31:17,0x9049ce69906d3cd891556810c39f09ea921fc087,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.0004871265,0.0008198338995,,,,Set LC Agreement,
0xe9c6ca65f43034a055221cb031f6c07e27221eca3672b7603eaebcfdbb9e5216,21966869,1637976681,2021-11-27 01:31:21,0x9049ce69906d3cd891556810c39f09ea921fc087,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.0001880095,0.0003164199885,,,,Add Document,
0xb74a9e5643f9e7b8191262646250762134207b893b48ec84abee80ec18d0e104,21966873,1637976697,2021-11-27 01:31:37,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.0001670235,0.0002811005505,,,,Validate Document,
0x5831a6328aece15bac59b9a1561cc1136f41cc7f4deb143e1eeb6a88db88c24c,21966875,1637976705,2021-11-27 01:31:45,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.000661038,0.001112526954,,,,Set Shipping Agreement,
0x70ab8d216056b9a754ff7ae0e6b8f82828670ca612433c9bb8267f8c5a8d7c4d,21966877,1637976713,2021-11-27 01:31:53,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.0001030645,0.0001734575535,,,,Verify Goods,
0x45cfd2bbbcd79bf5954da5ebdcd4dad2d857b33bed87bb6015e3fe6dcec971eb,21966879,1637976721,2021-11-27 01:32:01,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.000119007,0.000200288781,,,,Verify Goods,
0xa7f1e6a176b404e63fd411135e12a9fd37454c8081d43a7dba4a29f5c0d4eb5f,21966881,1637976729,2021-11-27 01:32:09,0x209b153a796c1924b675e5cd9476384cd38e9387,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.0001138515,0.0001916120745,,,,Initiate Shipment,
0xddb952bbb3ca775ccd185fe3edfe68298c7f875f1dc4554df167528b28890936,21966883,1637976737,2021-11-27 01:32:17,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.000119175,0.000200571525,,,,Verify Goods,
0xf8cef16d1e7a45d457bb6f13bdc3cbd6f1e4bfb6442e60be8fba5e515b2ace81,21966885,1637976745,2021-11-27 01:32:25,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.000104286,0.000175513338,,,,Confirm Shipment,
0x94140e1dda87ead7b573ff5e09dc7f5edbc5a56a5248d127e94bcd054b9fa233,21966887,1637976753,2021-11-27 01:32:33,0x9049ce69906d3cd891556810c39f09ea921fc087,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.0004036935,0.0006794161605,,,,Set Payment Agreement,
0x219587a88b9f9ba1be170bb3fc93763fdddad2ae8e03de73ed5928eff18220a6,21966889,1637976761,2021-11-27 01:32:41,0x9049ce69906d3cd891556810c39f09ea921fc087,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.000112203,0.000188837649,,,,Initiate Payment,
0xaf91b276950543e92b285f3bf6e8b03394349119140b588dbf6af89c39826e23,21966891,1637976769,2021-11-27 01:32:49,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.000104482,0.000175843206,,,,Processpayment,
0xbfab41f303e7e231b3fccf306876a5b1cdc7db07e720bb8f1462de861928c317,21966893,1637976777,2021-11-27 01:32:57,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x91f37d83523f0e83fed4b56c6d3e7f3d0504acf5,,0,0,0,0.0001058225,0.0001780992675,,,,Payment Received,
