Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(MATIC),Value_OUT(MATIC),CurrentValue @ $1.671/MATIC,TxnFee(MATIC),TxnFee(USD),Historical $Price/MATIC,Status,ErrCode,Method,
0xa113edd924bcbcdcee668edd6ea81ea548d2bb7de8dffd5349a6042d8f62c999,21972364,1637990173,2021-11-27 05:16:13,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x1d730779c7047a809600bc51e450d8c46202a81b,0,0,0,0.0181313545,0.0302974933695,,,,Accepire-BT Contract,
0x76c6200e3048ba64e8524dbd8d9422d48e59aa24c8d75f7568002cad90f75df5,21972366,1637990181,2021-11-27 05:16:21,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x1d730779c7047a809600bc51e450d8c46202a81b,,0,0,0,0.0003921925,0.0006553536675,,,,Set Sales Agreement,
0x8998fd85c749c4dc5d63dc31d6a6b92134530f0ee0340a74895e40328e7a6cd9,21972368,1637990189,2021-11-27 05:16:29,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x1d730779c7047a809600bc51e450d8c46202a81b,,0,0,0,0.000670705,0.001120748055,,,,Add Order,
0x990ba2859a96ea81ad9acb76962af5be96fa16d2887f787f7a94d2315c72fc1c,21972370,1637990197,2021-11-27 05:16:37,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x1d730779c7047a809600bc51e450d8c46202a81b,,0,0,0,0.000421771,0.000704779341,,,,Create Invoice,
0xfb1420ece776894dc5b8b317060e9724a6e7f011c202ad15040b202de61f20e6,21972372,1637990205,2021-11-27 05:16:45,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x1d730779c7047a809600bc51e450d8c46202a81b,,0,0,0,0.0001631105,0.0002725576455,,,,Confirm Invoice,
0x2dae7f1ff43ec10f2c25e768ccbf32a7ae7d05b6ff9cc31f2b1c2def35623657,21972374,1637990213,2021-11-27 05:16:53,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x1d730779c7047a809600bc51e450d8c46202a81b,,0,0,0,0.0001719865,0.0002873894415,,,,Confirm Order,
0xb1635bb58b402e3f24b676a933a2d303c3ddaf26fed99b376fe5fe76cb71e0b6,21972377,1637990225,2021-11-27 05:17:05,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x1d730779c7047a809600bc51e450d8c46202a81b,,0,0,0,0.0004863425,0.0008126783175,,,,Set Financial Agreement Parties,
0x8f1cd6c12d204c39d904c12366c9abc4b6915df6251066bba27505538cfed145,21972379,1637990233,2021-11-27 05:17:13,0x9049ce69906d3cd891556810c39f09ea921fc087,0x1d730779c7047a809600bc51e450d8c46202a81b,,0,0,0,0.000103943,0.000173688753,,,,Confirm Financial Agreement,
0x2d0bc7f252c728e62d78b4ac0173c6dfef58b156edb9d488ffc71fed35125e13,21972381,1637990241,2021-11-27 05:17:21,0x9049ce69906d3cd891556810c39f09ea921fc087,0x1d730779c7047a809600bc51e450d8c46202a81b,,0,0,0,0.0004871265,0.0008139883815,,,,Set LC Agreement,
0xcdfbbe588ff1a51211f9de3ff6a4abe7938f4a9386dc7f474dc07876c13d20aa,21972383,1637990249,2021-11-27 05:17:29,0x9049ce69906d3cd891556810c39f09ea921fc087,0x1d730779c7047a809600bc51e450d8c46202a81b,,0,0,0,0.0001880095,0.0003141638745,,,,Add Document,
