Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(MATIC),Value_OUT(MATIC),CurrentValue @ $1.562/MATIC,TxnFee(MATIC),TxnFee(USD),Historical $Price/MATIC,Status,ErrCode,Method,
0x03a4b6fe0a8b1e6ae393b814ec88201cb7460a4cc8f17e320f32cccce352ca2e,22012966,1638074015,2021-11-28 04:33:35,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x857e41911acb73065507af5954a1afbca6cd7ed9,0,0,0,0.0181313545,0.028321175729,,,,Accepire-BT Contract,
0x82cbdb64e47b78a5b87fa47757fc53cd00daa9548b2e9100737a49644188f651,22012969,1638074021,2021-11-28 04:33:41,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x857e41911acb73065507af5954a1afbca6cd7ed9,,0,0,0,0.0003921925,0.000612604685,,,,Set Sales Agreement,
0xd559df8f0e13e6147b17103effb8ab809253eafc18d46ac05e5ed8f94586c2fb,22012974,1638074031,2021-11-28 04:33:51,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x857e41911acb73065507af5954a1afbca6cd7ed9,,0,0,0,0.000670705,0.00104764121,,,,Add Order,
0xd99aaec76094fd3984cbb274d983a851012868491b91786331fa622f92d5dd91,22012978,1638074039,2021-11-28 04:33:59,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x857e41911acb73065507af5954a1afbca6cd7ed9,,0,0,0,0.000421771,0.000658806302,,,,Create Invoice,
0x6c9fd2fffc5a410c67abc59f1d2b7f844ee1ba4f73fd81db741b831172656a6f,22012983,1638074049,2021-11-28 04:34:09,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x857e41911acb73065507af5954a1afbca6cd7ed9,,0,0,0,0.0001631105,0.000254778601,,,,Confirm Invoice,
0xb5ebe57a9bceee3f438c7642fc70a9a0aac5fc54058d7032854325ab52bf936e,22012987,1638074057,2021-11-28 04:34:17,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x857e41911acb73065507af5954a1afbca6cd7ed9,,0,0,0,0.0001719865,0.000268642913,,,,Confirm Order,
0x624e28e08223474634d121fa5414344b975547b7fefecb975b6c441a676fda73,22012992,1638074071,2021-11-28 04:34:31,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x857e41911acb73065507af5954a1afbca6cd7ed9,,0,0,0,0.0004863425,0.000759666985,,,,Set Financial Agreement Parties,
0xaacfc7e41fd6787fa053afadb5e52a3df0b7e92044d2a3142f0112307a369977,22012996,1638074079,2021-11-28 04:34:39,0x9049ce69906d3cd891556810c39f09ea921fc087,0x857e41911acb73065507af5954a1afbca6cd7ed9,,0,0,0,0.000103943,0.000162358966,,,,Confirm Financial Agreement,
0x9e05542fdfb5089e41604c82c5c3a0b486738012be400d1e37de203c57a78511,22013001,1638074089,2021-11-28 04:34:49,0x9049ce69906d3cd891556810c39f09ea921fc087,0x857e41911acb73065507af5954a1afbca6cd7ed9,,0,0,0,0.0004871265,0.000760891593,,,,Set LC Agreement,
0xf7e24fb80267b713a8a04cd0743d00614c959daa252033631fc12c6ee8ed251f,22013006,1638074099,2021-11-28 04:34:59,0x9049ce69906d3cd891556810c39f09ea921fc087,0x857e41911acb73065507af5954a1afbca6cd7ed9,,0,0,0,0.0001880095,0.000293670839,,,,Add Document,
