Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(MATIC),Value_OUT(MATIC),CurrentValue @ $1.584/MATIC,TxnFee(MATIC),TxnFee(USD),Historical $Price/MATIC,Status,ErrCode,Method,
0xa72af5bd4d65bde4abbae97e15b4b83ac0a41a9dc689fe3dd051df761ad213e7,22025325,1638099505,2021-11-28 11:38:25,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,0,0,0,0.0181313545,0.028720065528,,,,Accepire-BT Contract,
0x5fdc154aeaf54c2a1fc960d4cbc9307d739fbbff6646d113bafca6232b931b62,22025330,1638099515,2021-11-28 11:38:35,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.0003921925,0.00062123292,,,,Set Sales Agreement,
0x3a707a02006070b0aa74e999fe2aa264ba825e083a6e75804b7b7f7a50627962,22025333,1638099521,2021-11-28 11:38:41,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.000670705,0.00106239672,,,,Add Order,
0x8cf7100bb2a53559e867ae340a89976395df976487e70e07b5dfb6ead335fc33,22025338,1638099531,2021-11-28 11:38:51,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.000421771,0.000668085264,,,,Create Invoice,
0x319c62cf361e59e4a391e79e06d4725f8e3dd16b1483e16838cb9f3c6e3ff7ed,22025343,1638099541,2021-11-28 11:39:01,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.0001631105,0.000258367032,,,,Confirm Invoice,
0x2c71493b5f04e0e677fd463041cb8060fe33f4a3f8eaf8cfc3cf023e42a9d790,22025345,1638099549,2021-11-28 11:39:09,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.0001719865,0.000272426616,,,,Confirm Order,
0xd78cb84748a306201fd64300e6ecee206361abed8f831b5bcb2324b0e378c148,22025353,1638099565,2021-11-28 11:39:25,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.0004863425,0.00077036652,,,,Set Financial Agreement Parties,
0xf4e0e53fc21e96d60915156cc0312b7d907c968ee5d94e16d1131ac499a6b242,22025358,1638099575,2021-11-28 11:39:35,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.000103943,0.000164645712,,,,Confirm Financial Agreement,
0x2be5217f0b543dd4f248fe784d81d31b653ef5e97365bc8d5b2289215c8f65f7,22025362,1638099583,2021-11-28 11:39:43,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.0004871265,0.000771608376,,,,Set LC Agreement,
0xee9553968fca9b15c01fdb873d1fe7e988179d4758af0fb9eb540ee9ab097e77,22025366,1638099591,2021-11-28 11:39:51,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.0001880095,0.000297807048,,,,Add Document,
0xaffb6fabdd954660ca5facb21eea9f1a135a7693a4d26aae4e7a639fcfc0897c,22025370,1638099599,2021-11-28 11:39:59,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.0001670235,0.000264565224,,,,Validate Document,
0x9879790b18a750704a828ae839718bd6fcc1e839c1abca664625689e15452f5e,22025373,1638099605,2021-11-28 11:40:05,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.000661038,0.001047084192,,,,Set Shipping Agreement,
0x2c243b412eade94226651df5d820fe28225a5cc00c71a4b2fe7cf6422a1a7378,22025378,1638099615,2021-11-28 11:40:15,0x00b73d5f916c2f010e391d0ea39b8ed95dc8d9a6,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.0001030645,0.000163254168,,,,Verify Goods,
0x8b93d9d791c1548fbbd21c942697d2a769d4bbaa344f0e6c90045638b83a270b,22025382,1638099623,2021-11-28 11:40:23,0x413209e0c7b8bede4d6a510a8282fd7e92811eee,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.000119007,0.000188507088,,,,Verify Goods,
0x7c6b1181843e03ffa104ac01edb943eb5280229d4e69e142f779d37c9e5e0705,22025387,1638099633,2021-11-28 11:40:33,0x209b153a796c1924b675e5cd9476384cd38e9387,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.0001138515,0.000180340776,,,,Initiate Shipment,
0xf8e7e5429f138638ab7a25b1ba29f640694ea1fdbb2abbc6a6749ac79b82e7ff,22025391,1638099641,2021-11-28 11:40:41,0xe323b722518c16b903eb840d6ee00c504bfec25b,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.000119175,0.0001887732,,,,Verify Goods,
0x53feb3fb22abc324ce95e86f93c82a2fd77ff1ac399e2e0692ca4fd02816013d,22025394,1638099647,2021-11-28 11:40:47,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.000104286,0.000165189024,,,,Confirm Shipment,
0xec2e69f9177a6064aa593d81c3cf500dd28df320cf696997329439995e9a23e3,22025399,1638099657,2021-11-28 11:40:57,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.0004036935,0.000639450504,,,,Set Payment Agreement,
0x92f59ba6f1aabca655677a9fe0bd52e0b8a2eb9a1485bcc22f085ee5bfc17013,22025403,1638099665,2021-11-28 11:41:05,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.000112203,0.000177729552,,,,Initiate Payment,
0xdf5097c52a8a190ac7562b346f395a2c3cf738509e62f8ec9ef59538ac9616ab,22025407,1638099673,2021-11-28 11:41:13,0x1131e2a8ab95fb76ddea099b7ba4532e2105ae25,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.000104482,0.000165499488,,,,Processpayment,
0x07f962227a5d866716c4f9bedeafb751cd71401d64ae73ff35f6a53cd94814c5,22025409,1638099681,2021-11-28 11:41:21,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x6a7c38f047b5c13e92bbedd98012fbd375c09a9b,,0,0,0,0.0001058225,0.00016762284,,,,Payment Received,
