Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(MATIC),Value_OUT(MATIC),CurrentValue @ $1.712/MATIC,TxnFee(MATIC),TxnFee(USD),Historical $Price/MATIC,Status,ErrCode,Method,
0x7026d22ac45023c7ff206091d0d255f1f05ca0b5e1e362be883e1f88c2821770,22053270,1638165207,2021-11-29 05:53:27,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x6262f36e7e61e52c7d896517302fa903d0a599c2,0,0,0,0.31082322,0.53212935264,,,,Accepire-BT Contract,
0x0616e1d716492863e039d74c1a9ca2ec6f647aefedbd75e8477f961afdbbe09d,22053274,1638165215,2021-11-29 05:53:35,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6262f36e7e61e52c7d896517302fa903d0a599c2,,0,0,0,0.0067233,0.0115102896,,,,Set Sales Agreement,
0x78aa5db0caf00cc5b38f1157570261f590f889f1451647fccd578c7153eec1eb,22053278,1638165223,2021-11-29 05:53:43,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6262f36e7e61e52c7d896517302fa903d0a599c2,,0,0,0,0.0114978,0.0196842336,,,,Add Order,
0x13455f36e7d286d022c6685402079565bdf80283001526cd90f062cd45ec3ff6,22053282,1638165231,2021-11-29 05:53:51,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x6262f36e7e61e52c7d896517302fa903d0a599c2,,0,0,0,0.00723036,0.01237837632,,,,Create Invoice,
0xedf365053c4f69cc8c20c379f9189b4ff92dd1ecde872fb31347806900e42eff,22053286,1638165239,2021-11-29 05:53:59,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6262f36e7e61e52c7d896517302fa903d0a599c2,,0,0,0,0.00279618,0.00478706016,,,,Confirm Invoice,
0xac619933f004febfcf1a4d85ee46d02703447f9fe030de9026b27e8b0b0c6a0a,22053291,1638165249,2021-11-29 05:54:09,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x6262f36e7e61e52c7d896517302fa903d0a599c2,,0,0,0,0.00294834,0.00504755808,,,,Confirm Order,
0xd2f0b8c097be2e3001c935981f4bb736d670724b815cb5b39921111df095f9c9,22053298,1638165263,2021-11-29 05:54:23,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x6262f36e7e61e52c7d896517302fa903d0a599c2,,0,0,0,0.0083373,0.0142734576,,,,Set Financial Agreement Parties,
0xf488c6bf6e01ad3fad7c479e4b1ad1a0e1b516dc321dea6378db64d888d30010,22053302,1638165271,2021-11-29 05:54:31,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6262f36e7e61e52c7d896517302fa903d0a599c2,,0,0,0,0.00178188,0.00305057856,,,,Confirm Financial Agreement,
0x711afda628169fa24ab83623015f77e7aded0d4c49883f8b35750a2beb17413d,22053305,1638165277,2021-11-29 05:54:37,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6262f36e7e61e52c7d896517302fa903d0a599c2,,0,0,0,0.00835074,0.01429646688,,,,Set LC Agreement,
0xb9242c4474b8623c0bc7ddfe55d2b94482c1cfa3f82294423bbf330d41f1e54b,22053310,1638165287,2021-11-29 05:54:47,0x9049ce69906d3cd891556810c39f09ea921fc087,0x6262f36e7e61e52c7d896517302fa903d0a599c2,,0,0,0,0.00322302,0.00551781024,,,,Add Document,
