Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(MATIC),Value_OUT(MATIC),CurrentValue @ $1.774/MATIC,TxnFee(MATIC),TxnFee(USD),Historical $Price/MATIC,Status,ErrCode,Method,
0xc5fb8d62ae781590da235b1812f1ca2bb405d07d18bc375c32a4d80fac5c12fd,22066717,1638198445,2021-11-29 15:07:25,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0x427a48fa7fc04d61a7807dc3c3af03d828077115,0,0,0,0.0181313545,0.032165022883,,,,Accepire-BT Contract,
0x7af891763e62b8dc444bdc39aa7e5e4fdd4089f420128682444106d020a203cc,22066721,1638198453,2021-11-29 15:07:33,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x427a48fa7fc04d61a7807dc3c3af03d828077115,,0,0,0,0.0003921925,0.000695749495,,,,Set Sales Agreement,
0x2d2cb81186f1ebf882f720d59f1c3f51dab0032b9541f73aa38d34b5b368435a,22066726,1638198463,2021-11-29 15:07:43,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x427a48fa7fc04d61a7807dc3c3af03d828077115,,0,0,0,0.000670705,0.00118983067,,,,Add Order,
0x8edde3413de095dbd11b75fefe3128f736747424d7cad4f1abe28e2bd214075e,22066730,1638198471,2021-11-29 15:07:51,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x427a48fa7fc04d61a7807dc3c3af03d828077115,,0,0,0,0.000421771,0.000748221754,,,,Create Invoice,
0x02cc5a6f0cea58a2b0b0ab5a9de8e900229296383561b5fdf14c8fe4b1b2261b,22066735,1638198481,2021-11-29 15:08:01,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x427a48fa7fc04d61a7807dc3c3af03d828077115,,0,0,0,0.0001631105,0.000289358027,,,,Confirm Invoice,
0x337dff52972138ca0bfc66110d2223457d723737857843fd47a9ebdc8f295531,22066739,1638198489,2021-11-29 15:08:09,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0x427a48fa7fc04d61a7807dc3c3af03d828077115,,0,0,0,0.0001719865,0.000305104051,,,,Confirm Order,
0xfff957d745df7cdcfa3168e4d5ae76081d46306a7698e8afd1a49a85673b2117,22066745,1638198501,2021-11-29 15:08:21,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0x427a48fa7fc04d61a7807dc3c3af03d828077115,,0,0,0,0.0004863425,0.000862771595,,,,Set Financial Agreement Parties,
0xb7612d27e41b3d0a187efcb8abdaaf0dbe4439f3a42c136f58c066abbd39e84c,22066749,1638198509,2021-11-29 15:08:29,0x9049ce69906d3cd891556810c39f09ea921fc087,0x427a48fa7fc04d61a7807dc3c3af03d828077115,,0,0,0,0.000103943,0.000184394882,,,,Confirm Financial Agreement,
0xc184ed1b3b356210d1251917b80ce7e684fcb0f33e183512490f739616558daf,22066752,1638198519,2021-11-29 15:08:39,0x9049ce69906d3cd891556810c39f09ea921fc087,0x427a48fa7fc04d61a7807dc3c3af03d828077115,,0,0,0,0.0004871265,0.000864162411,,,,Set LC Agreement,
0x18bd014793592d431dbfc747d50767a0b3e6b55375015f44d8e12a2157746084,22066757,1638198529,2021-11-29 15:08:49,0x9049ce69906d3cd891556810c39f09ea921fc087,0x427a48fa7fc04d61a7807dc3c3af03d828077115,,0,0,0,0.0001880095,0.000333528853,,,,Add Document,
