Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $4275.00/Eth,TxnFee(ETH),TxnFee(USD),Method,
0x13f400ac16ae37ddbefd9ff7b9e08be0eb9b2ef8b1f26ccda0d5c1587f0592c7,9695909,1637721909,2021-11-24 02:45:09,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,,0xb7ee610aa98bb15db1f1b6b01d4fc74eaed53f04,0,0,0,0.005180387046623480,22.146154624315400000,Accepire-BT Contract,
0xe7fa3a82b5b9bd27164c4e85513bbb01daab2307aa413c0d3f72236aba0690a9,9695910,1637721924,2021-11-24 02:45:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xb7ee610aa98bb15db1f1b6b01d4fc74eaed53f04,,0,0,0,0.000112055001008495,0.479035129311316000,Set Sales Agreement,
0x3eb956e83e037bc2b3c7d9c365b89bc34206eebb64d201750a2ebc3df0783e01,9695911,1637721939,2021-11-24 02:45:39,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xb7ee610aa98bb15db1f1b6b01d4fc74eaed53f04,,0,0,0,0.00038326,1.63843650,Add Order,
0xd03ca206b2b98f6023d3919ae43c34c86534b27f61a6268c6608ed5124b9326b,9695913,1637721969,2021-11-24 02:46:09,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xb7ee610aa98bb15db1f1b6b01d4fc74eaed53f04,,0,0,0,0.00012050600120506,0.51516315515163200,Create Invoice,
0xcda4156d1ae5eb8bb338bba9129f9597e9c7db93479053a4b7dcda95f46c1115,9695914,1637721984,2021-11-24 02:46:24,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xb7ee610aa98bb15db1f1b6b01d4fc74eaed53f04,,0,0,0,0.000093206,0.398455650,Confirm Invoice,
0x4ae5b6d0f7c5a6ac69d17a14c4fb6ece44872944d9f52c93c26df7049603a0c6,9695915,1637721999,2021-11-24 02:46:39,0xd14960983333af76a1a5d02221ae6a71dd6ab1cd,0xb7ee610aa98bb15db1f1b6b01d4fc74eaed53f04,,0,0,0,0.000098278,0.420138450,Confirm Order,
0x9fed407c79b01980666a8fda30a62516e25b0aba2118eb9c5d2d5a6f9e0fded5,9695917,1637722029,2021-11-24 02:47:09,0xb48b8d4a342054be5bf03981fd36358bf4e2bd29,0xb7ee610aa98bb15db1f1b6b01d4fc74eaed53f04,,0,0,0,0.00027791,1.18806525,Set Financial Agreement Parties,
0xb301d149817a59772a177b53aaad9e5561655bd292f105eaed62b99bd8a9f3ef,9695919,1637722059,2021-11-24 02:47:39,0x9049ce69906d3cd891556810c39f09ea921fc087,0xb7ee610aa98bb15db1f1b6b01d4fc74eaed53f04,,0,0,0,0.00007424500029698,0.31739737626959000,Confirm Financial Agreement,
0x1de48b5545d36d0c9382eec5b4d97bca1e051c0b7292edc7bcc974f4996ca56b,9695921,1637722089,2021-11-24 02:48:09,0x9049ce69906d3cd891556810c39f09ea921fc087,0xb7ee610aa98bb15db1f1b6b01d4fc74eaed53f04,,0,0,0,0.00013917900139179,0.59499023094990200,Set LC Agreement,
0x20310708a6929672602b6249d0e1bdeb8ab3e008e05d6c9f2b2250928908d453,9695922,1637722104,2021-11-24 02:48:24,0x9049ce69906d3cd891556810c39f09ea921fc087,0xb7ee610aa98bb15db1f1b6b01d4fc74eaed53f04,,0,0,0,0.000107434,0.459280350,Add Document,
